Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,TN,F_TN,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,SiO4F,F_SiO4F,TSS,F_TSS,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,Color,F_Color,SALT_N,F_SALT_N,TURB_N,F_TURB_N,WTEM_N,F_WTEM_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,01/03/2011 11:30,2,1,,0.007,0,0.083,0,0.334,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0031,0,,<-4> [SCB],1.42,0,51.0,0,13.0,0,14.6,0,3.3,0,18.8,0,27.0,0,13.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/03/2011 14:00,2,1,,0.004,0,0.063,0,0.306,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],1.70,0,55.2,0,16.1,0,18.4,0,4.5,0,17.3,0,25.0,0,10.1,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/03/2011 16:30,2,1,,0.005,0,0.072,0,0.303,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0027,0,,<-4> [SCB],2.11,0,50.6,0,15.6,0,18.1,0,4.8,0,21.1,0,25.0,0,9.4,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/03/2011 19:00,2,1,,0.007,0,0.086,0,0.301,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],1.84,0,49.6,0,16.5,0,18.9,0,4.7,0,24.7,0,24.0,0,10.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/03/2011 21:30,2,1,,0.004,0,0.073,0,0.310,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],2.78,0,56.2,0,12.1,0,15.0,0,5.5,0,21.6,0,25.0,0,9.6,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/04/2011 00:00,2,1,,0.005,0,0.044,0,0.352,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],1.81,0,52.6,0,10.7,0,12.3,0,3.1,0,19.4,0,25.0,0,7.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/04/2011 02:30,2,1,,0.008,0,0.071,0,0.337,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],2.03,0,53.4,0,12.3,0,14.0,0,3.3,0,16.5,0,25.0,0,7.8,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/04/2011 05:00,2,1,,0.008,0,0.068,0,0.316,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],1.38,0,53.8,0,13.4,0,15.8,0,4.6,0,24.0,0,27.0,0,8.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/04/2011 07:30,2,1,,0.006,0,0.068,0,0.309,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],2.56,0,51.6,0,15.6,0,17.8,0,4.3,0,21.4,0,24.0,0,7.6,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/04/2011 10:00,2,1,,0.004,0,0.074,0,0.286,0,0.0153,<-4> [SBL],0.0022,<-4> [SBL],,<-4> [SCB],0.0025,0,,<-4> [SCB],2.29,0,54.0,0,12.5,0,14.7,0,4.2,0,23.6,0,26.0,0,8.4,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpinut,01/04/2011 10:30,1,1,,0.005,0,0.034,0,0.294,0,0.019,0,0.0022,<-4> [SBL],,<-4> [SCB],0.0025,<-4> [SBL],,<-4> [SCB],0.74,0,34.4,0,5.4,0,6.0,0,1.2,0,11.3,0,34.8,0,3.8,0,13.0,0,9.4,0,6.5,0,1.5,0,1274.0,0,364.2,0,1.252,0
gtmpinut,01/04/2011 10:31,1,2,,0.007,0,0.041,0,0.265,0,0.044,0,0.0022,<-4> [SBL],,<-4> [SCB],0.0028,0,0.047,0,0.78,0,27.6,0,4.7,0,5.4,0,1.4,0,15.2,0,34.8,0,4.5,0,13.0,0,9.4,0,6.5,0,1.5,0,1274.0,0,364.2,0,1.252,0
gtmssnut,01/04/2011 11:45,1,1,,0.009,0,0.029,0,0.249,0,0.040,0,0.0022,<-4> [SBL],,<-4> [SCB],0.0089,0,0.049,0,0.55,0,34.0,0,4.0,0,4.6,0,1.1,0,3.9,0,34.4,0,3.8,0,13.0,0,10.0,0,6.5,0,1.2,0,1173.0,0,286.2,0,1.411,0
