Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,SECCHI,F_SECCHI,TKN,F_TKN,TON,F_TON,FECCOL,F_FECCOL
gtmfmnut,1/9/2013 12:01,1,1,,0.009,,0.022,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.006,,0.016,,0.476,,1.7,,1.9,,0.5,<1> [SBL],5,,17.5,,35.77,,6.93,,8,,,,,,0.47,,0.46,,8,<1> [SUL] (CHB)
gtmfmnut,1/9/2013 12:18,1,2,,0.009,,0.026,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.006,,0.016,,0.436,,1.7,,1.8,,0.55,<1> [SBL],12,<0> (CSM),17.4,,35.67,,7.05,,8.01,,,,,,0.43,,0.42,,2,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 10:53,1,1,,0.02,,0.069,,0.016,<1> [SBL],0.002,<1> [SBL],0.033,,0.034,,0.05,,0.564,,4.5,,5.8,,2,,22,<0> (CSM),18.7,,28.6,,6.5,,7,,,,1,,0.53,,0.514,,180,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 11:19,1,2,,0.022,,0.073,,0.01,<1> [SBL],0.002,<1> [SBL],0.008,,0.008,,0.018,,0.558,,4.6,,5.6,,1.4,,17,,18.9,,27.1,,6.37,,7,,,,,,0.55,,0.54,,190,<1> [SUL] (CHB)
gtmpcnut,1/8/2013 9:30,2,1,,0.014,<1> (CHB),0.038,,0.01,<1> [SBL],0.002,<1> [SBL] (CHB),0.005,<1> (CHB),0.005,,0.015,,0.435,,1,<1> (CHB),1.4,<1> (CHB),0.66,<1> (CHB),4,,,,,,,,,,,,,,0.43,,0.42,,,
gtmpcnut,1/8/2013 12:00,2,1,,0.026,,0.055,,0.012,,0.002,<1> [SBL],0.013,,0.013,,0.025,,0.533,,2.7,,3.4,,1,,5,,,,,,,,,,,,,,0.52,,0.508,,220,<1> (CHB)
gtmpcnut,1/8/2013 14:30,2,1,,0.032,,0.059,,0.01,<1> [SBL],0.002,<1> [SBL],0.01,,0.01,,0.02,,0.5,,3.5,,4.4,,1.2,,4,,,,,,,,,,,,,,0.49,,0.48,,230,<1> [SUL] (CHB)
gtmpcnut,1/8/2013 17:00,2,1,,0.028,,0.062,,0.01,<1> [SBL],0.002,,0.007,,0.01,,0.02,,0.54,,4.7,,5.6,,1.1,,4,,,,,,,,,,,,,,0.53,,0.52,,320,<1> (CHB)
gtmpcnut,1/8/2013 19:30,2,1,,0.025,,0.056,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.487,,2.6,,3.2,,0.79,,6,,,,,,,,,,,,,,0.48,,0.47,,370,<1> (CHB)
gtmpcnut,1/8/2013 22:00,2,1,,0.026,,0.052,,0.01,<1> [SBL],0.002,<1> [SBL],0.012,,0.012,,0.022,,0.532,,2.9,,3.6,,1.1,,5,,,,,,,,,,,,,,0.52,,0.51,,310,<1> (CHB)
gtmpcnut,1/9/2013 0:30,2,1,,0.029,,0.061,,0.011,,0.002,<1> [SBL],0.01,,0.01,,0.021,,0.47,,4.3,,4.9,,0.85,,4,,,,,,,,,,,,,,0.46,,0.449,,210,<1> (CHB)
gtmpcnut,1/9/2013 3:00,2,1,,0.031,,0.062,,0.016,,0.002,<1> [SBL],0.011,,0.011,,0.027,,0.551,,3.4,,4.2,,1.1,,6,,,,,,,,,,,,,,0.54,,0.524,,240,<1> (CHB)
gtmpcnut,1/9/2013 5:30,2,1,,0.032,,0.058,,0.012,,0.002,,0.008,,0.01,,0.022,,0.52,,2.8,,3.4,,0.92,,5,,,,,,,,,,,,,,0.51,,0.498,,200,<1> [SUL] (CHB)
gtmpcnut,1/9/2013 8:00,2,1,,0.024,,0.05,,0.01,<1> [SBL],0.002,<1> [SBL],0.007,,0.007,,0.017,,0.557,,2.3,,3,,1,,4,,,,,,,,,,,,,,0.55,,0.54,,310,<1> (CHB)
