Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpinut,1/20/2016 8:27:00 AM,1,1,,0.02,,0.043,,0.017,,0.002,<-4> [SBL],0.009,,0.011,,0.028,,0.621,,0.61,,0.593,,3.2,,4.8,,2.4,,7,,3,<1> (CHB),,<-1>,12.6,,29.83,,8.07,,6.95,,,<-1>,,<-1>
gtmpinut,1/20/2016 8:30:00 AM,1,2,,0.022,,0.046,,0.016,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.02,,0.454,,0.45,,0.434,,4.1,,4.9,,1.1,,6,,7,<1> (CHB),,<-1>,12.6,,29.83,,8.07,,6.95,,,<-1>,,<-1>
gtmssnut,1/20/2016 10:30:00 AM,1,1,,0.018,,0.037,,0.036,,0.003,,0.024,,0.027,,0.063,,0.377,,0.35,,0.314,,2.9,,3.4,,0.75,,9,,48,<1> (CHB),,<-1>,13,,31.67,,8.25,,7.28,,,<-1>,,<-1>
gtmssnut,1/20/2016 10:32:00 AM,1,2,,0.017,,0.036,,0.035,,0.003,,0.02,,0.023,,0.058,,0.303,,0.28,,0.245,,3,,3.7,,1,,10,,36,<1> (CHB),,<-1>,13,,31.67,,8.25,,7.28,,,<-1>,,<-1>
gtmfmnut,1/20/2016 11:52:00 AM,1,1,,0.009,,0.028,,0.018,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.022,,0.224,,0.22,,0.202,,1.3,,1.6,,0.4,,3,<-4> [SBL],10,<1> (CHB),,<-1>,12.6,,32.92,,8.23,,7.77,,,<-1>,,<-1>
gtmfmnut,1/20/2016 11:54:00 AM,1,2,,0.01,,0.023,,0.017,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.021,,0.244,,0.24,,0.223,,0.88,,1.2,,0.4,<-4> [SBL],4,,2,<1> [SBL] (CHB),,<-1>,12.6,,32.92,,8.23,,7.77,,,<-1>,,<-1>
gtmpcnut,1/20/2016 10:35:00 AM,1,1,,0.03,,0.06,,0.007,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.011,,0.414,,0.41,,0.403,,9,,10,,1.1,,6,,48,<1> (CHB),,<-1>,11.4,,,<-2> [GDM],8.91,,7.77,,1.3,,,<-1>
gtmpcnut,1/20/2016 10:38:00 AM,1,2,,0.029,,0.063,,0.005,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.009,,0.684,,0.68,<1> (CSM),0.675,,9.1,,10,,1.5,,6,,36,<1> (CHB),,<-1>,11.4,,,<-2> [GDM],8.91,,7.77,,1.3,,,<-1>
gtmpcnut,1/19/2016 9:30:00 AM,2,1,,0.028,<1> (CHB),0.064,,0.015,,0.002,<1> [SBL] (CHB),0.002,<1> [SCB] (CHB),0.004,<-4> [SBL],0.019,,0.464,,0.46,,0.445,,3.9,<1> (CHB),5.6,<1> (CHB),2.6,<1> (CHB),22,,,<1> (CHB),,<-1>,12.7,,18,,8.5,,7.8,,,<-1>,,<-1>
gtmpcnut,1/19/2016 12:00:00 PM,2,1,,0.037,,0.062,,0.046,,0.002,<-4> [SBL],0.032,,0.034,,0.08,,0.414,,0.38,,0.334,,1.2,,2.2,,1.6,,7,,33,<1> (CHB),,<-1>,12.9,,17.5,,8,,7.9,,,<-1>,,<-1>
gtmpcnut,1/19/2016 2:30:00 PM,2,1,,0.051,,0.073,,0.098,,0.002,<-4> [SBL],0.013,,0.015,,0.113,,0.435,,0.42,,0.322,,0.91,,2.3,,2.2,,7,,26,<1> (CHB),,<-1>,13.5,,13.4,,8.1,,7.8,,,<-1>,,<-1>
gtmpcnut,1/19/2016 5:00:00 PM,2,1,,0.033,,0.069,,0.021,,0.002,<-4> [SBL],0.018,,0.02,,0.041,,0.41,,0.39,,0.369,,3,,5.2,,3.3,,22,,46,<1> (CHB),,<-1>,14.3,,14.7,,9.6,,7.9,,,<-1>,,<-1>
gtmpcnut,1/19/2016 7:30:00 PM,2,1,,0.027,,0.062,,0.023,,0.002,<-4> [SBL],0.002,<-4> [SCB],0.004,<-4> [SBL],0.027,,0.434,,0.43,,0.407,,2.2,,3.3,,1.8,,23,,31,<1> (CHB),,<-1>,14,,18.7,,9.8,,8,,,<-1>,,<-1>
