2005,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0.35,0.4,0.27,0.07,0.86,0.91,0.7,0.07,0,0,0.15,0.25,0,0,0,0,0,0
2,0,0,0,0,0,0,1.23,1.44,0.13,0.08,0.03,0.02,0.2,0.1,0.18,1,0,0,0.06,0,0.33,0.23,0,0
3,0,0,0.18,0.21,0,0,0,0,0,0,0,0,0.98,0.33,0,0,0,0,0.02,0.04,0,0,0,0
4,0,0,0.12,0.13,0.07,0.11,0,0,0,0,0.73,0.27,0.47,1.7,0.1,0.12,0,0,0.99,0.5,0,0,0,0
5,0,0,0,0,0,0,0,0,0.33,0.38,0,0,1.41,0.96,0.1,0,1.44,0.38,1.68,2.62,0,0,0,0
6,0,0,0,0,0,0,0,0,0.57,0.76,0,0,0,0,0.18,0.04,1.4,1.01,2.92,3.25,0,0,0.04,0.05
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,2.45,0,0,0,0,0,0
8,0,0,0,0,0.5,0.48,1.41,1.35,0,0,0,0,0,0,0,0,0.84,0.24,0.64,0.84,0,0,0.04,0.15
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,1.87,1.54,0,0,0,0,1.65,1.15
10,0,0,0.13,0.13,0,0,0,0,0,0,0,0,0.97,1.72,0,0,0,0,0,0,0,0,0.15,0.15
11,0,0,0,0,0,0,0,0,0,0,0.32,0.25,0.13,0.13,0,0,0,0,0,0,0,0,0.03,0.03
12,0,0,0,0,0,0,0,0,0,0,1.82,1.49,0.24,0.25,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.3,0.35,0,0,0,0,0,0,0,0,0,0,0.3,0.27,0,0,0,0,0,0,0,0,0,0
15,0.45,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.38,0.55,0,0,0.32,,0,0,0,0,0.15,0.33,0.09,0.09,0,0,0,0,0,0,0,0,0.06,0.09
17,0,0,0,0,0.83,0.95,0,0,0,0,0.15,0.2,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0.15,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1.82
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15
20,0.01,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,1,0,0
21,0,0,0,0,0,0,0,0,0.05,0.35,0,0,0,0,0,0,0.15,0.11,0,0,0.54,0.52,0,0
22,0,0,,,0.26,0.1,0,0,0.01,0.02,0,0,0,0,0,0,2.74,2.17,1.95,1.22,0.12,0.13,0,0
23,0,0,,,1.15,1.19,0.08,0.05,0,0,0,0,0.28,0,0,0,0.07,0.16,0,0,0,0,0,0
24,0,0,0.4,0.66,0,0,0,0,0,0,0,0,0.07,0.06,0,0,0,0,0.47,0.54,0,0,0,0
25,0,0,0.14,0.14,0,0,0,0,0.03,0.3,0.63,0.7,0,0,0,0,0,0,0.33,0.44,0,0,0.1,0.07
26,0,0,0.16,0.16,0.46,1.15,0,0,0,0,0,0,0,0,0.25,0.12,0,0,0,0,0,0,0,0
27,0,0,1.25,1.38,0.5,0.57,0.4,0.3,0,0,0,0,0,0,0.11,0.27,0,0,0,0,0,0,0,0
28,0,0,1.96,1.77,1.5,0.88,0,0,0,0,0.41,0.26,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,,,0,0,0,0,0,0,0.04,0.08,0,0,0.06,0.02,0,0,0,0,1,0.84,0,0
30,0.58,0.43,,,0,0,0,0,0,0,2.35,2.2,0.05,0.14,0.27,0.54,0,0,0,0,0.02,0.05,0,0
31,0,0,,,0,0,,,0.58,0.46,,,0.07,0.45,0.24,0.05,,,0,0,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
Totals,1.72,1.74,4.34,4.58,5.74,5.6,3.77,3.74,1.97,2.42,7.49,6.71,5.96,6.27,1.49,2.31,11.31,8.31,9.06,9.45,2.86,2.77,4.5,3.66
YTD,1.72,1.74,6.06,6.32,11.8,11.92,15.57,15.66,17.54,18.08,25.03,24.79,30.99,31.06,32.48,33.37,43.79,41.68,52.85,51.13,55.71,53.9,60.21,57.56
