2008,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,,,,,
,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,N. Lot,Shop,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0.1,0.3,0,0,0,0,0,0,0,0,0.9,0.61,0.86,1.25,0,0,0,0,0.13,0.01,0.5,0.55,,,,,
2,0,0,0,0.05,0,0,0,0,0,0,0.03,0,0.4,0,,,0,0,0,0,0.1,0.02,0.11,0.12,,,,,
3,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0.27,0.07,0.07,0,0,0.05,0.1,0.02,0.02,,,,,
4,0,0,0,0,0,0,0.63,0.18,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0.02,0,0,,,,,
5,0,0,0,0,0.09,0.1,0.04,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,,,,,
6,0,0,0,0,0,0,0.45,0.62,0,0,0,0,0.27,0.15,0,0,0.11,0.19,0,0.17,0.05,0.05,0.05,0.05,,,,,
7,0.03,0,0,0,0.55,0.4,0.3,0.51,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,,,,,
8,0.02,0.02,0.2,0.17,2.1,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.03,0.03,0,0,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.17,0.12,0,0.33,0.37,0,0,0,0,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0.26,0.98,0,0,0.04,0.04,,,,,
11,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0.13,0.02,0.02,0.02,0,0,0,0,,,,,
12,0,0,0,0,0.03,0.04,0,0,0,0,0,0.04,0.07,0.02,0.02,0.05,0,0,0,0,0,0,0.26,0.34,,,,,
13,0,0,3,2.02,0,0,0,0,0,0,0,0.45,0.08,0.12,0.26,1.93,0,0,0.15,0.14,0.07,0.13,0,0,,,,,
14,0.54,0.65,0.18,0.07,0,0,0,0,0,0,0,0,0,0,0.34,0.43,0,0,0,0,0.03,0,0,0,,,,,
15,0,0,0,0,0,0.03,0,0,0,0,0,0,0.07,0,0.35,0,0,0,0,0,0.54,0.28,0,0,,,,,
16,0,0,0,0,0,0,0.14,0.04,0,0,1.24,0.5,0,0,0,0,0,0,0,0,0.03,0.03,0,0,,,,N lot,Shop
17,0.9,0.57,0,0,0,0,0,0,0.63,0.45,0,1,0.42,0.31,0,0,0,0,0,0,0,0,0,0,,,1992,54.12,48.51
18,0.06,0.02,0,0,0,0,0,0,0,0,0.15,0.4,0.22,0.17,0.64,0.18,0.1,0.1,0,0,0,0,0.03,0.04,,,1993,46.97,49.8
19,0.35,0.25,0.6,0.41,0,0,0,0,0,0.03,0.79,2.35,0.4,0.05,,,0,0.15,0,0.01,0,0,0,0,,,1994,62.94,57.83
20,0.8,0.65,0,0,0.42,0.52,0,0,0,0,0,0.01,0,0,1.46,,1,0.79,0,0,0,0,0,0,,,1995,70.19,57.81
21,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0.62,0,,,0.55,1.1,0,0,0,0,0,0,,,1996,56.02,61.6
22,0,0,0.26,0.23,0,0,0,0.01,0,0,0.2,0.31,0,0,,,0.1,0.02,0,0,0,0,0,0,,,1997,75.03,66.37
23,0.08,0.1,1.12,1.19,0,0,0,0,0,0,0.4,0.05,0.07,0.41,8.34,9.24,1.1,0.3,0,0,0,0,0,0,,,1998,52.6,47.72
24,0,0,0,0,0,0,0,0,0.44,0.21,0.15,0.15,0.56,0.45,0,0,0,0,0.15,0.17,0,0,0,0,,,1999,47.27,42.51
25,0,0,0,0,0,0,0,0.02,0,0,0.14,0.05,0,0,0.45,0.19,0,0,0.3,0.34,0,0,0,0,,,2000,47.62,40.24
