2009,January,,February,,March,,April,,May,,June,,July,,August,,September,,October,,November,,December,,,,,,,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,2.6,3.6,0,0,0,0,0.02,1.5,0.17,0.1,0.05,0,0,0,0,0,0,0,,,,,,
2,0,0,0,0,0.26,0.15,1.3,0.95,0,0,0,0,0,0,0.05,0.04,0.34,0.43,0,0,0,0,0.02,0.02,,,,,,
3,0,0,0.57,1.17,0,0,0.35,0.05,0,0,0,0,0.09,0.25,0.02,0.2,0.54,2.03,0,0,0,0,0.62,0.34,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.37,0.2,0.06,0.41,0,0,0,0,0,0,,,,,,
5,0,0,0,0,0,0,0,0,0,0,2.45,0.63,0.03,0,0.24,0.24,0,0,0,0,0,0,1.75,1.84,,,,,,
6,0,0,0,0,0,0,0,0,0,0,0.15,0.25,0,0,0.54,0.31,0,0,0.5,0.35,0,0,0.35,0.06,,,,,,
7,0,0,0.02,0,0,0,0.05,0.07,0,0.02,1,0.64,0.1,0.62,0.1,0.54,0,0,0.7,0.4,0,0,0,0,,,,,,
8,0.12,0.02,0,0,0,0,0,0,0,0,0.32,0,0.45,0.85,0,0,0,0,0.02,0,0,0,0.03,0.02,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0.06,0.95,0.1,0.12,0,0,0,0,0,0,0,0,0,0,,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0.37,1.39,0,0,0,0,0.02,0,0.29,0.09,0.05,0,,,,,,
11,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.3,0,0,0.57,0,0.02,0.39,0.25,0.22,0,0,,,,,,
12,0.04,0.05,0.06,0.04,0,0,0,0,0.52,0,0,0,0,0.07,0,0,0,0,0,0,0.07,0.14,0.02,0.02,,,,,,
13,0.7,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.12,0.92,0.54,0,0,0,0,2.07,1.75,,,,,,
14,1,0.7,0.19,0.24,0,0,1.03,1.03,0,0,0.15,0.78,0.15,0.1,0.3,0.15,0.05,0,0,0,0,0,0,0,,,,,,
15,0,0,0.2,0.08,0,0,0.28,0.55,0.05,0.07,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,,,,,,
16,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0.18,0.16,0,0,0.02,0,0.1,0.1,0,0,0,0,,,,,,
17,0,0,0,0,0,0,0,0,0,0,1.12,1.13,0,0.15,0,0,0,0,0.6,0,0,0,0,0,,,,,,
18,0,0,0,0,0,0,0,0,0.75,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0.25,,,,,,
19,0,0,0.55,0.2,0.02,0.02,0,0,2.37,1.42,0.02,0.02,0.1,0,0,0,0,0,0,0,0.03,0.03,0.73,0.83,,,,,,
20,0.1,0.09,0.35,0.75,0,0,0,0,2.65,3,0,0,0.73,0.68,0.3,0.55,0,0,0,0,0,0,0,0,,,,,,
21,0,0,0,0.02,0,0,0.1,0.02,5.7,4,0,0,0,0,0.16,0.03,0,0,0,0,0,0,0,0,,,,,,
22,0,0,0,0,0,0,0,0,0.2,0.25,0,0,0,0,0.4,1.25,0,0,0,0,0,0,0,0,,,,,,
23,0,0,0,0,0.24,0.8,0,0,0.64,0.43,0.62,0.45,0,0,1.1,0.33,0,0,0,0,0.04,0.06,0,0,,,,,,
24,0,0,0,0,0.14,0.04,0,0,0.97,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
25,0.02,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.02,0,0,0,0,0,0.26,0,0,0,,,,,,
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.54,0.62,0.2,0.2,,,,,,
27,0,0,0,0,0,0,0,0,0.24,0.15,0.01,0.02,0.08,0.12,0,0,0,0,0.29,0.05,0,0,0,0,,,,,,
28,0,0,0,0,0.24,0.15,0,0,0.08,0.49,0,0,0.45,0.7,0,0,0,0,0.05,0.05,0,0,0,0,,,,,,
29,0.42,0.15,,,3.62,2.4,0,0,0.24,0.84,0.3,0.27,0.02,0.05,0.38,0.38,0,0,0,0,0,0,0,0,,,,,,
30,1,0.07,,,0.1,0,0,0,0.02,0,0.1,0,2.4,0,0,0,0,0,0,0,0,0,0,0,,,,,,
31,0.03,0.03,,,0,0,,,0,0,,,0.05,0.25,0,0,0,0,0,0,,,0.02,0.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,3.43,1.98,1.96,2.52,4.62,3.56,5.71,6.27,14.43,13.88,6.3,5.14,5.82,7.31,4.81,4.46,2.55,3.41,2.3,1.34,1.48,1.16,6.24,5.34,,,,,,
YTD,3.43,1.98,5.39,4.5,10.01,8.06,15.72,14.33,30.15,28.21,36.45,33.35,42.27,40.66,47.08,45.12,49.63,48.53,51.93,49.87,53.41,51.03,59.65,56.37,,,,,,
