2012,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,
Date,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.01,0.02,0,0,0.01,0,1.07,1.37,0,0,1.2,1.21,0,0,0.05,0.55,0,0,0.95,0.36,0,0,0.02,0,
2,0,0,0,0,0,0,0,0,0,0,0.17,0.05,0,0,0.78,0.36,0,0,0.09,0.2,0,0,0.36,0.03,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.09,0,0,0.02,0.03,0,0,0.15,0.15,
4,0,0,0,0,0.41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0.15,0.14,
5,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,4.3,4.46,0,0,5.09,1.28,0,0,0.03,0.01,
6,0,0,0,0.08,0,0,0.01,0,0,0,2.5,1.53,0,0,0.13,0.01,0,0,0.09,0.07,0.1,0.13,0.05,0.04,
7,0.01,0.01,0,0.01,0,0,0,0,0.1,0,2.27,1.76,0,0,0.01,0,0,0.05,0.09,0.06,0.08,0.05,0,0,
8,0.03,0.01,0,0.02,0,0,0,0,0,0,0.89,4.36,0,0,0.94,0.59,0,0.07,0,0,0.08,0,0,0.01,
9,0,0,0,0,0,0,0,0,0.68,0.03,0.01,0.04,0,0,0.28,1.4,0.15,0.1,0.21,0.25,0.11,0.11,0.01,0.01,
10,0,0,0,0,0,0,0,0,0.29,0.03,0.71,1.69,0,0,0.15,0.94,0,0,0.02,0.01,0,0,0,0,
11,0.02,0.01,0.31,0.11,0,0,0,0,0,0,0.39,0.18,0.04,0.27,0.82,0.07,0,0,0,0,0,0,3.63,3.54,
12,0.01,0.02,0,0,0,0,0,0,0,0,0.2,0.51,0.01,0,0.32,0.07,0.05,0,0,0,0.22,0.14,2.44,1.36,
13,0,0,0,0,0,0,1.18,0,0,0,0.02,1.13,0.06,0.12,1.45,1.58,0.08,0.02,0,0,0,0.03,0.23,1.5,
14,0,0,0,0,0,0,0,0,0,0,0.16,0.01,0.12,0,0.3,0.45,0.75,0.03,0.02,0.07,0.01,,0.04,0.06,
15,0,0,0,0,0,0,0,0,0.61,0.58,0.03,0.55,0.03,0,0.11,0.15,0.26,0.76,0,0,0,0,0,0.03,
16,0,0,0,0,0,0,0,0,0.92,0.03,0.02,0.02,0.03,0,0.76,1.21,0,0,0,0,0.01,0,0,0.03,
17,0,0,0,0,0,0,0,0,0.02,0.03,0.03,0.25,0,0,0.22,0.23,0,0,0,0.08,0.07,0.09,0.02,0.02,
18,0,0,0.04,0.02,0,0,0,0,0.03,1.4,0,0,0,0.03,1.2,0.49,0,0,0.07,1.04,0,0,0.29,0.2,
19,0.09,0.1,0,0,0,0,0,0,0,0.01,0.02,0,0,0.01,0.06,,0.18,1.84,0,0.01,0,0,0,0,
20,0,0,0,0,0,0,0.03,1.05,0,0,0,0,1,0.58,0.5,0.78,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,1.96,1.21,2.72,0.15,0,0,0.03,0.01,0.73,0.3,
22,0,0,0,0,0,0,0.38,0.38,0,0,0,0,0,0,0.58,1.19,0.01,0.36,0,0,0,0,0.01,0.01,
23,0,0,0.22,,0,0,0,0,0.01,0.01,0,0,0,0,0.02,0.02,0.01,0.01,0,0,0,0.01,0,0,
24,0,0.02,0,0,0.08,0.02,0,0,0,0,0,0.15,0,0,0.02,0.05,0,0,0,0,0,0,0,0,
25,0.03,0.02,0.02,0.015,0.26,0.15,0.03,0,0,0,4.2,3.8,0,0.14,0,0,0.27,0,0,0.02,0,0,0,0,
26,0.02,0.02,0.01,0,0,0,0,0,0,0,5.1,2.7,0,0.01,0,0,0.05,0,0.01,0,0,0,0,0,
27,0.04,0.03,0.21,0.22,0,0,0,0,0,0,3.56,3.04,0,0,0.2,0.18,0,0,0,0,0,0,0.29,0.32,
28,0.02,,0.12,0.11,0,,0,0,2.1,2.4,0.01,0,0,0,0.72,0.89,0,0,0,0,0,0,0,0,
29,0.01,,0.18,0.02,0,0,0,0,0.39,0.33,0,0,0.17,0.03,0.3,0.75,0,0,0,0,0,0,0.89,0.6,
30,0,0,,,0,0,0,0,0.56,0.63,0,0,0,0,0.08,0.83,0,0,0,0,0.01,0.01,0.03,0,
31,0,0,,,0,0,,,0,0,,,0.4,0.96,0.01,0.16,,,0,0,,,0,0,
,,,,,,0,,,,,,,,,,,,,,,,,,,
Total,0.29,0.26,1.12,0.615,0.76,0,2.71,2.82,5.71,5.48,21.49,22.98,1.86,2.15,16.3,18.71,4.53,3.39,6.67,3.5,0.72,0.58,9.37,8.36,0
YTD,0.29,0.26,1.41,0.875,2.17,0,4.88,2.82,10.59,8.3,32.08,31.28,33.94,33.43,50.24,52.14,54.77,55.53,61.44,59.03,62.16,59.61,71.53,67.97,71.53
