2016,January,,February,,March,,April,,May,,June,,July,,August,,September,,October       ,,November,,December,
,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop,N. Lot,Shop,N.Lot,Shop
Date,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.29,0.03,1.61,1.26,0.00,0.00,0.08,0.06,0.00,0.00,0.00,0.00,0.09,0.20
2,0.25,0.16,0.00,0.00,0.00,0.00,0.28,0.19,0.00,0.00,0.01,0.01,0.40,0.52,0.08,0.03,0.55,0.53,0.00,0.00,0.01,0.02,0.06,0.02
3,0.45,0.44,0.00,0.00,0.00,0.00,0.41,0.27,0.00,0.21,0.00,0.00,0.24,0.51,0.02,0.00,0.45,1.24,0.14,0.14,0.00,0.00,0.00,0.00
4,0.18,0.16,0.00,0.00,0.26,0.13,0.00,0.00,0.18,0.10,0.00,0.00,0.35,0.23,0.01,0.02,0.39,1.10,1.02,1.04,0.24,0.28,0.00,0.00
5,0.00,0.00,2.15,2.13,0.00,0.00,0.00,0.00,1.69,0.55,0.00,0.00,0.00,0.00,5.58,1.32,0.00,0.00,1.06,1.14,0.00,0.00,0.00,0.00
6,0.07,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.31,0.00,0.00,0.63,0.19,0.00,0.00,,,0.06,0.05,1.52,2.06
7,0.34,0.18,0.67,0.52,0.00,0.00,0.02,0.02,0.00,0.00,1.56,1.33,0.00,0.00,0.00,0.00,0.00,0.00,,,0.04,0.00,0.06,0.13
8,0.14,0.11,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.02,0.02
9,0.02,0.02,0.05,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.04,0.00,0.00,,,0.00,0.00,0.00,0.00
10,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.64,0.00,0.00,,,0.05,0.06,0.00,0.00
11,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.02,,0.00,0.00,0.00,0.00
12,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.11,0.00,0.00,0.02,0.02
13,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.01,0.01,0.01,0.00,0.00
14,0.00,0.00,0.00,0.00,0.26,0.78,0.19,0.10,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.07,0.00,0.00,0.08,0.46,0.89,0.79,,,0.00,0.00,0.33,0.18
16,0.25,0.43,0.29,0.47,0.00,0.00,0.23,0.24,0.00,0.00,0.00,0.00,0.04,0.09,0.00,0.00,0.47,0.32,0.21,0.12,0.00,0.00,0.00,0.00
17,1.02,0.64,0.00,0.00,0.53,0.34,0.04,0.23,0.00,0.00,0.12,0.22,0.00,0.00,0.00,0.00,0.01,0.03,0.00,0.00,0.00,0.02,0.01,0.01
18,0.10,0.10,0.00,0.01,0.05,0.05,0.00,0.00,1.02,1.03,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
19,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.00,0.32,0.19,0.32,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.02,0.00,0.00
