2022,January,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October       ,,,November,,,December,,
,N.Lot,Shop,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,0,0,,0.79,0.55,,0.56,1.09,,0,0,3,0,0.04,3.3,0,0,3.3,0,0,3.5,0.56,0.55,3.4,,,2.5,0.03,0,3.1,0.22,0.17,3.4
2,0,0,0,0,,0,0,,0.01,0.07,,0,0,2.9,0,0,3.3,0.16,,3.3,0,0,3.5,0.18,0.15,3.4,1.1,,2.5,0.02,0,3.2,0.02,0,3.2
3,0.05,0.04,,,,0,0,,0.5,0.52,,0,0,3.1,0,0,3.3,1.59,4.36,3.4,0.42,0.41,3.5,1.74,0.84,3.4,0,0,3.3,0,0,3.2,0,0,3.2
4,0,0,0.03,0,,0,0,,0,0,,0,0,3,0,0,3.3,0.23,0.07,3.3,0,0,3.4,0.05,0.07,3.4,0,0,3.4,0,0,3.4,0,0,3.1
5,0,0,0,0.05,,,,,0,0,2.88,0,0,3.1,0,0.1,3.3,0,0,3.4,0,0,3.4,0,0,3.4,0,0,3.4,0,0,3.3,0.01,0,3.1
6,0,0,0.77,0.5,,0.02,0,,0.19,0.6,2.9,0,0,3,0,0,3.3,0,0,3.4,0,0,3.4,0,0,3.4,0,0,2.8,0.08,0.18,3.3,0,0,3.1
7,0,0,0.14,0.08,,0,0,,0,0.89,2.88,0.05,0.24,3,0.05,0,3.3,0,0,3.4,0,0,3.4,0,0,3.4,0,0,2.7,0.16,0.11,3.4,0,0,3.1
8,,,0.38,0.44,,0,0,,0.11,0.15,2.9,0,0,3,0,0,3.3,0,0,3.4,0,0,3.3,0,0,3.4,0,0,2.6,0.03,0.27,3.5,0.02,0,3.1
9,0,0.1,0.31,0.25,,0.12,0.53,,0.01,0.01,2.81,0,0,3,0,0,3.3,0.13,0,3.4,0,0,3.3,2.1,,3.5,0,0,2.5,0,0,4.2,0.02,0,3
10,0.11,0.2,0,0,,2,0.9,,0,0,2.78,0,0,3,0.09,0,3.1,0,1.26,3.4,0,0,3.3,1.42,,3.5,0,0,2.4,,,,0,0,3
11,0.02,0.02,0.02,0.03,,0.56,0.9,,0,0,2.8,0,0,3,0.04,0.01,3.2,1.58,0.26,3.4,0,0,3.3,1.83,1.63,3.5,0,0,2.4,2.32,2.15,3.6,0.01,0,3
12,0,0,,,,1.61,2.6,,0,0,2.78,0,0,3,0.4,0.34,3.2,0.86,0.96,3.4,0,0.31,3.3,0.23,0.31,3.5,0.55,0.7,2.6,0.02,0.03,3.5,0,0,3.1
13,0,0,0.17,0.16,,0.37,0.69,,0,0,2.76,0,0,3,0,0.03,3.1,0,0,3.4,1,1.41,3.3,1.03,0.34,3.5,0.23,0.12,2.6,0,0,3.4,0,0,3.1
14,0,0,0.02,0,,0,0,,0,0,2.78,0,0,3.25,0,0,3.4,0.04,0,3.4,0.75,0.33,3.3,0.14,0,,0,0,2.8,0.01,0.01,3.3,0.05,0.05,2.9
15,0,0,0,0,,0,0,,0.11,0,2.8,0,0,3,0,0,3.4,0,0.12,3.4,0,0,3.3,0.04,0,3.5,0,0,2.7,0,0,,0.07,0.03,2.9
16,0.2,0.22,0,0,,0.9,1.66,,0,0,2.79,0,0,3.1,0,0,3.4,0,0,,0,0,3.3,0,0,3.5,0,0,2.7,0,0,3.1,0.25,0.36,2.9
17,0.31,0.37,0,0,,0,0,,0,0,2.78,0,0,3.2,0,0,3.4,0.43,2,3.5,0,0,3.3,0.1,0.91,3.5,0,0,2.8,0,0,3.1,0.02,0,2.9
18,0,0,0,0,,0,0,,1.9,1.05,3.08,0,0,3.4,0,0,3,0.12,0.14,3.5,0.27,0.48,3.5,1.14,2.63,3.5,0.63,0.3,2.9,0,0,3.1,0,0.02,2.8
19,0,0,0.21,0.06,,0,0,,0,0,3.37,0,0,3.4,0.11,0.09,3.4,0.3,0.24,3.5,0.61,1.18,3.6,,,,0,0.03,3,0,0,3.1,0,0,2.8
20,0,0,0,0,,0.09,0.17,,0,0,3.4,0,0.04,3.4,0,0,3.4,0.9,1.04,3.5,,,,0.05,0.03,3.1,0,0,2.9,0,0,3.1,0.03,0.03,2.9
21,0,0,0,0,,0,0,,0,0,3.1,0.04,0.03,3.45,0,0,3.4,0.89,0.81,3.5,0.18,0.12,3.6,0.07,0.6,3,0,0,2.9,0.04,0.04,3.1,0.14,0.07,3
22,0,0,0,0,,0,0,,0,0,3.1,0.25,0.22,3.4,0,0,3.4,0,0,3.5,0.03,0.02,3.6,0,0,2.6,0,0,2.9,0,0.01,3.3,0.31,0.28,3.1
23,0.05,0.03,0,0,,0,0,,0,0,3.1,0.02,0.02,3.4,0,0,3.3,0,0,3.5,1.08,0.45,3.6,,,,0,0,2.9,0,0.08,3.2,0,0,3
24,0,0,0,0,,0.41,0.25,,0,0,3.1,0,0,3.4,0,0,3.3,0,0,3.5,0.14,0.66,3.6,0,0,2.5,0,0,2.9,0.08,,3.2,0,0,3.1
25,0,0,0,0,,1.16,1.51,,0,0,3.12,0,0,3.2,0,0,3.3,0,0,3.5,0,0,3.6,0,0,2.5,0,0,2.9,0.03,0.03,3.1,0,0,3
26,0.1,0.11,,,,0,0,,0,0,3.1,0,0,3.4,0,0,3.3,0,0,3.5,0.25,0.77,3.6,0,0,2.5,0,0,2.9,0.02,0.07,3.1,0,0,2.9
27,0.01,0,0,0,,0,0,,0,0,3.1,0,0,3.3,0,0,3.3,0,0,3.6,0.06,0.16,3.6,0,0,,0,0.21,2.9,0,0.01,3,0,0,2.9
