2023,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October       ,,,November,,,December,,,
,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.03,0.01,2.8,0,0,2.9,0,0,3,0,0,3.1,0,0.01,3.1,0,0,3.1,0,0,3.3,0.17,0.07,3.5,0,0.33,3,0,0,3.6,0,0,3.4,0,0,3.1,
2,0.02,,2.8,0.01,0.01,2.9,0,0,3,0,0,3.1,0,0,3.2,0.22,0,3.1,0,0,3.2,0.14,0.03,3.3,0,0,3,0.06,0.12,3.6,0,0,3.4,0.01,0.01,3.1,
3,,,,0.28,0.46,3.3,0,0,2.7,0,0,3.2,0,0,3.1,0,0,3.3,0,0,3.2,0,0.01,3.6,0,0,3,0,0.26,3.6,0.43,0.07,3.4,0.08,0.01,3.2,
4,0.01,0,2.7,0.14,0.16,3.3,0,0,2.8,0,0,3,0,0,3.1,0,0,3.2,0,0,3.3,0,0,3.6,0,0,3.1,0.11,0.02,3.5,,,,0,0.01,3.2,
5,0.85,0.55,2.7,0.03,0.11,3.2,0.51,0.26,2.9,0,0,3.1,0,0,3.1,0,0,3.5,0,0,3.3,0.68,0.16,,0,0,3,0.05,0.09,3.5,0.01,0,3.2,0,0,3.2,
6,0,0,2.7,0.01,0.01,2.9,0.03,0.01,2.9,0,0,2.9,0,0,3.2,0,0,3.1,0,0,3.2,,0.08,3.4,0,0,3,0.09,0.01,3.4,0.19,0.18,3.3,0,0,2.7,
7,0,0,2.7,0,0,2.9,0.02,0.01,2.9,0,0,3,0.04,0.02,3.1,0.04,0,3.2,0.84,1.36,3.2,0,0,3.3,0,0,3,0.02,0.01,3.4,0,0,3.5,0,0,2.7,
8,0.01,0,2.7,0.01,0,2.8,0,0,3.1,0,0,2.9,0,0,3.1,0,0.07,3.2,0.51,0.17,3.3,0,0,3,0,0,3,0,0.01,3.4,0,0,3.5,0,0,2.7,
