2024,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October       ,,,November,,,December,,
,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.,N. Lot,Shop,Dam lvl.,N.Lot,Shop,Dam lvl.
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,2.8,0,0,2.7,0.01,0,2.1,0,0,1.5,0,0,2.6,,,,,,,,,,,,,,,,,,,,,
2,0,0,2.8,0,0,2.7,,,,0,0,1.4,0,0,2.6,0,0,2.9,,,,,,,,,,,,,,,,,,
3,0,0.01,2.7,0,0,2.7,,,,0,0,1.3,0,0,2.7,0,0,3,,,,,,,,,,,,,,,,,,
4,0.36,0.31,2.7,0,0,2.7,0.97,3,2.1,1.71,3.1,1.42,0,0,2.7,0,0,3,,,,,,,,,,,,,,,,,,
5,0,0,2.9,0.52,0.69,2.8,0.02,,,0,0,1.3,0,0,2.7,0,,,,,,,,,,,,,,,,,,,,
6,0.39,0.38,2.6,0.02,0.03,3.1,0.16,0.13,1.6,0,0,1.3,0,0,2.7,0,0.01,3,,,,,,,,,,,,,,,,,,
7,0.02,0.03,2.7,0,0.01,3.3,0,0.01,2.7,0,0,1.3,0,0,2.8,0,0,3,,,,,,,,,,,,,,,,,,
8,0,0,2.7,0,0,3.1,0,,,0,0,1.3,0,0,2.8,,,,,,,,,,,,,,,,,,,,,
9,0.04,0.03,2.7,0,0,3,,,,0,0,1.3,0,0,2.8,0,0,3,,,,,,,,,,,,,,,,,,
10,1,1.32,3,0,0,3.1,1,1.23,1.9,0,0,1.9,0,0.03,2.8,0,0,3,,,,,,,,,,,,,,,,,,
11,0.23,0,2.9,0,0,3.2,0.02,0.02,1.9,1.25,0.75,1.9,0.25,0.2,2.9,0,0,3,,,,,,,,,,,,,,,,,,
12,0,0.01,2.9,0,0,2.9,0,0,2,0,0,,0.3,0,2.9,0,0,3,,,,,,,,,,,,,,,,,,
13,0.22,0.2,3,0.22,0.22,2.9,0,0,1.9,0,0,2.3,0.2,0.01,2.85,0,0,3,,,,,,,,,,,,,,,,,,
14,0,0,3,0,0,2.9,0,0,1.9,0,0,2.3,1.03,0.77,2.9,0,0,3,,,,,,,,,,,,,,,,,,
15,0,0,3,0,0,2.9,0,0,2,0,0,2.3,0.07,,,0,0,3,,,,,,,,,,,,,,,,,,
16,0.22,0.29,2.9,0,0,2.9,0,0,1.9,0,0,2.3,0.23,0.5,2.9,,0,2.9,,,,,,,,,,,,,,,,,,
17,0.46,1,3.2,0.03,0.02,2.9,0,0,1.8,0,0,2.3,0,0,2.9,0,0,2.9,,,,,,,,,,,,,,,,,,
18,0,0.02,3,0.6,0.76,3,0.06,0,1.9,0,0,2.3,0,0,2.9,0.2,0,2.8,,,,,,,,,,,,,,,,,,
19,0.09,0.06,2.9,1.81,2.04,2.9,0.1,0.24,1.9,0,0,2.3,0.14,0.19,3,0.19,0.17,2.9,,,,,,,,,,,,,,,,,,
20,0,0.01,2.9,0,0.03,2.8,0,0,1.6,0,0,2.3,0.05,0.17,3.1,0.42,0.48,2.9,,,,,,,,,,,,,,,,,,
21,0,0,3.1,0,0,2.7,0,0,1.6,,0,2.35,0,0.01,3.1,0.17,0.2,2.9,,,,,,,,,,,,,,,,,,
22,0,0,3,0.01,,,0.51,0.06,1.3,0.82,0.33,2.5,0.33,0,3.1,0.52,0.33,3.1,,,,,,,,,,,,,,,,,,
23,0.02,0,2.9,0,0.01,2.7,0.35,0.54,,0,0.01,2.6,0,0,3.1,0.1,0.09,3,,,,,,,,,,,,,,,,,,
24,0.04,0,2.8,0.5,0.9,,0.4,1.28,2.1,0,0,2.6,0,0,3.1,0.22,0,3,,,,,,,,,,,,,,,,,,
25,0,0,2.8,0,0,2.3,0,0.01,1.7,0,0,2.6,,,,0,0,3,,,,,,,,,,,,,,,,,,
26,0,0,2.7,0,0,2.3,0,0,1.6,0,0,2.6,0.27,0.54,3.1,0,0,3,,,,,,,,,,,,,,,,,,
27,0.14,0.01,2.7,0,0,2.3,0,0,1.6,0,0,2.6,0,0,3.1,0,0,3,,,,,,,,,,,,,,,,,,
28,0.02,0.03,2.7,0,0,2.3,0.04,0.11,1.7,0.17,0,2.7,0,0,3,0.12,0.19,3,,,,,,,,,,,,,,,,,,
29,0,0,2.8,0,,,0.72,0.55,1.8,0,0,2.6,0,0,3,0.24,0.25,3.15,,,,,,,,,,,,,,,,,,
30,0,0,2.7,,,,0,0,1.7,0,0,2.6,0,0,3,0,0.01,3,,,,,,,,,,,,,,,,,,
31,,,,,,,0,0,1.6,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
