Season,Date,Region,County,Harvest,Reef,ReefID,Lat,Long,ReefHeight_m,HeightDistance_m,ReefSlope,Location,TransectLength_m,RandomTransectLocation,Collected,CollectionName,Clusters_#/m^2,TotalCrownConchs_#/m^2,LiveCrownConch_#/m^2,LiveCover_%,ShellCover_%,BoxCover_%,SubstrateCover_%,OtherCover_%,Notes
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,2,N,NA,NA,0,NA,24,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,8,Y,S14FM3R8,NA,0,NA,22,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,10,N,NA,NA,0,NA,7,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,12,N,NA,NA,0,NA,14,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,18,Y,S14FM3R18,NA,0,NA,9,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM3,FM3,29.748994,-81.256516,NA,NA,NA,Ridge,NA,20,N,NA,NA,0,NA,9,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,2,N,NA,NA,0,NA,17,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,6,Y,S14FM4R6,NA,0,NA,18,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,8,N,NA,NA,0,NA,12,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,14,N,NA,NA,0,NA,10,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,16,N,NA,NA,0,NA,9,NA,NA,NA,NA,
S14,5/9/2014,Fort Matanzas,St Johns,Y,FM4,FM4,29.746007,-81.257489,NA,NA,NA,Ridge,NA,18,Y,S14FM4R18,NA,0,NA,10,NA,NA,NA,NA,
S14,5/20/2014,Pellicer Flats,Flagler,N,PF1,PF1,29.66048,-81.22808,NA,NA,NA,Ridge,NA,1.5,N,NA,NA,2,NA,15,NA,NA,NA,NA,No oyster samples taken
S14,5/20/2014,Pellicer Flats,Flagler,N,PF1,PF1,29.66048,-81.22808,NA,NA,NA,Ridge,NA,2.5,N,NA,NA,2,NA,18,NA,NA,NA,NA,No oyster samples taken
S14,5/20/2014,Pellicer Flats,Flagler,N,PF1,PF1,29.66048,-81.22808,NA,NA,NA,Ridge,NA,4,N,NA,NA,1,NA,12,NA,NA,NA,NA,No oyster samples taken
S14,5/20/2014,Pellicer Flats,Flagler,N,PF2,PF2,29.66054,-81.22813,NA,NA,NA,Ridge,NA,1,N,NA,NA,2,NA,13,NA,NA,NA,NA,No oyster samples taken
S14,5/20/2014,Pellicer Flats,Flagler,N,PF2,PF2,29.66054,-81.22813,NA,NA,NA,Ridge,NA,2,N,NA,NA,2,NA,12,NA,NA,NA,NA,No oyster samples taken
S14,5/20/2014,Pellicer Flats,Flagler,N,PF2,PF2,29.66054,-81.22813,NA,NA,NA,Ridge,NA,4,N,NA,NA,3,NA,9,NA,NA,NA,NA,No oyster samples taken
