Season,Date,Region,Harvest,Reef,ReefID,CollectionName,Oysters_#/0.0625m^2,Barnacles_#/0.0625m^2,Mussels_#/0.0625m^2,Clams_#/0.0625m^2,PorcelainCrab_#/0.0625m^2,OtherGastropods,Total_#/0.0625m^2,Location,Notes
S14,5/9/2014,Fort Matanzas,Y,FM3,FM3,S14FM3R18,29,0,0,NA,NA,NA,29,Ridge,
S14,5/9/2014,Fort Matanzas,Y,FM3,FM3,S14FM3R8,186,7,46,NA,NA,NA,239,Ridge,
S14,5/9/2014,Fort Matanzas,Y,FM4,FM4,S14FM4R18,125,0,6,NA,NA,NA,131,Ridge,
S14,5/9/2014,Fort Matanzas,Y,FM4,FM4,S14FM4R6,51,0,3,NA,NA,NA,54,Ridge,
S14,5/22/2014,Guana River,N,GR1,GR1,S14GR1R5,66,24,14,NA,NA,NA,104,Ridge,
S14,5/22/2014,Guana River,N,GR1,GR1,S14GR1R9,59,16,14,NA,NA,NA,89,Ridge,
S14,5/22/2014,Guana River,N,GR2,GR2,S14GR2R3,52,0,27,NA,NA,NA,79,Ridge,
S14,5/22/2014,Guana River,N,GR2,GR2,S14GR2R6,49,0,18,NA,NA,NA,67,Ridge,
S14,5/23/2014,Fort Matanzas,Y,CO,CO,S14COR2,110,8,5,NA,NA,NA,123,Ridge,
S14,5/23/2014,Fort Matanzas,Y,CO,CO,S14COR8,215,3,22,NA,NA,NA,240,Ridge,
S14,5/23/2014,Fort Matanzas,Y,FM1,FM1,S14FM1R3,137,0,10,NA,NA,NA,147,Ridge,
S14,5/23/2014,Fort Matanzas,Y,FM1,FM1,S14FM1R5,141,0,12,NA,NA,NA,153,Ridge,
S14,6/3/2014,Salt Run,Y,SR1,SR1,S14SR1R6,23,4,0,NA,NA,NA,27,Ridge,
S14,6/3/2014,Salt Run,Y,SR1,SR1,S14SR1R8,32,0,0,NA,NA,NA,32,Ridge,
S14,6/3/2014,Salt Run,Y,SR2,SR2,S14SR2R16,27,7,0,NA,NA,NA,34,Ridge,
S14,6/3/2014,Salt Run,Y,SR2,SR2,S14SR2R24,39,3,0,NA,NA,NA,42,Ridge,
S14,6/3/2014,Salt Run,Y,SR3,SR3,S14SR3R4,35,0,6,NA,NA,NA,41,Ridge,
S14,6/3/2014,Salt Run,Y,SR3,SR3,S14SR3R6,62,10,9,NA,NA,NA,81,Ridge,
S14,6/3/2014,Salt Run,N,SR4,SR4,S14SR4R10,119,7,13,NA,NA,NA,139,Ridge,
S14,6/3/2014,Salt Run,N,SR4,SR4,S14SR4R8,47,1,2,NA,NA,NA,50,Ridge,
S14,6/4/2014,Tolomato River,N,TR2,TR2,S14TR2R2,262,5,5,1,5,NA,278,Ridge,
S14,6/4/2014,Tolomato River,N,TR2,TR2,S14TR2R3,199,3,14,1,0,NA,217,Ridge,
S14,6/4/2014,Tolomato River,Y,TR3A,TR3A,S14TR3AR6,83,0,2,NA,NA,NA,85,Ridge,
S14,6/4/2014,Tolomato River,Y,TR3A,TR3A,S14TR3AR9,93,1,6,NA,NA,NA,100,Ridge,
