Station ID,Station Name,Station Type,County,Start Date,End Date,Location_1,Location_2
14SEAS090,Northern end of Blacks Island,Estuary,GULF,3/18/2015,12/20/2023,29.7348333,-85.331666
14SEAS090,Northern end of Blacks Island,Estuary,Gulf,1/10/1985,-,29.7348333,-85.331666
14SEAS101,Clam area south of Oak Grove bridge,Estuary,Gulf,4/21/1988,-,29.7888333,-85.3405
14SEAS101,Clam area south of Oak Grove bridge,Estuary,GULF,3/18/2015,12/20/2023,29.7888333,-85.3405
14SEAS151,ICWW Channel Marker 36,Estuary,GULF,3/18/2015,3/16/2020,29.831,-85.347666
14SEAS151,ICWW Channel Marker 36,Estuary,Gulf,4/25/1985,-,29.831,-85.347666
14SEAS180,Midway between Blacks Is and Eagle Harbor,Estuary,Gulf,1/10/1985,-,29.7723333,-85.379333
14SEAS180,Midway between Blacks Is and Eagle Harbor,Estuary,GULF,3/18/2015,6/17/2020,29.7723333,-85.379333
32030Q31,St. Andrews Bay-North of the previous pass,Estuary,Bay,12/18/2006,6/15/2015,30.069639,-85.615417
32030Q31,St. Andrews Bay-North of the previous pass,Estuary,BAY,7/20/2016,12/20/2023,30.0696388,-85.615416
3203LAS1,GRAND LAGOON PANAMA CITY,Estuary,BAY,7/20/2016,6/25/2020,30.145,-85.740833
3203LAS1,GRAND LAGOON PANAMA CITY,Estuary,Bay,1/9/2000,6/15/2015,30.145,-85.740833
3203LAS2,GRAND LAGOON PANAMA CITY-SE OF CO.RD 3031,Estuary,BAY,7/20/2016,6/25/2020,30.1425,-85.740833
3203LAS3,GRAND LAGOON P.C. SSE OF BAY PT MARINA,Estuary,BAY,7/20/2016,6/25/2020,30.1383333,-85.730833
3203LAS3,GRAND LAGOON P.C. SSE OF BAY PT MARINA,Estuary,Bay,1/9/2000,6/15/2015,30.138333,-85.730833
3203LAS4,GRAND LAGOON P.C. NW OF STATE PARK BOAT RAMP,Estuary,Bay,1/9/2000,6/15/2015,30.135556,-85.732222
3203LAS4,GRAND LAGOON P.C. NW OF STATE PARK BOAT RAMP,Estuary,BAY,7/20/2016,12/20/2023,30.1355556,-85.732222
3203Q13S7,ST. ANDREWS BAY-W. OF BEACON BEACH,Estuary,BAY,7/20/2016,6/25/2020,30.1,-85.662222
3203Q13S7,ST. ANDREWS BAY-W. OF BEACON BEACH,Estuary,Bay,1/9/2000,6/15/2015,30.1,-85.662222
3203Q21S8,ST. ANDREWS BAY- SE. OF SPANISH SHANTY PT,Estuary,Bay,1/9/2000,6/15/2015,30.09,-85.665833
3203Q21S8,ST. ANDREWS BAY- SE. OF SPANISH SHANTY PT,Estuary,BAY,7/20/2016,12/20/2023,30.09,-85.665833
3203Q25S10,ST. ANDREWS BAY-W. OF EAST PASS/SHELL ISLAND,Estuary,BAY,7/20/2016,6/25/2020,30.0786111,-85.644166
3203Q25S10,ST. ANDREWS BAY-W. OF EAST PASS/SHELL ISLAND,Estuary,Bay,1/9/2000,6/15/2015,30.078611,-85.644167
3203Q26S9,ST. ANDREWS BAY- NW OF EAST PASS,Estuary,Bay,1/9/2000,6/15/2015,30.0825,-85.635833
3203Q26S9,ST. ANDREWS BAY- NW OF EAST PASS,Estuary,BAY,7/20/2016,6/25/2020,30.0825,-85.635833
3203Q7S5,ST. ANDREWS BAY- S. OF DAVIS PT.,Estuary,BAY,7/20/2016,12/20/2023,30.1144444,-85.683333
3203Q8S6,ST. ANDREWS BAY- W. OF SPANISH SHANTY PT,Estuary,BAY,7/20/2016,6/25/2020,30.1030556,-85.699444
37SEAS090,CM #23 Crystal River,Estuary,CITRUS,9/26/2017,11/15/2021,28.9221666,-82.6785
37SEAS090,CM #23 Crystal River,Estuary,Citrus,5/12/1981,-,28.9221666,-82.6785
