"ANALYSIS_METHOD_ID"|"LONG_NAME"|"EPA_SOURCE_NAME"|"EPA_CODE_ID"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"|"MODIFICATION_EXPLANATION_TEXT"
"1"|"AOAC 973.41"|"AOAC"|"973.41"|"01-JAN-2014 00:00:00"|""|""|""|""
"2"|"AOAC 973.45B"|"AOAC"|"973.45"|"01-JAN-2014 00:00:00"|""|""|""|""
"3"|"AOAC 973.48"|"AOAC"|"973.48"|"01-JAN-2014 00:00:00"|""|""|""|""
"4"|"ASTM D1293"|"NO MATCH"|"ASTM D1293"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"18-SEP-2017 10:54:47"|""
"5"|"ASTM D888"|"NO MATCH"|"ASTM D888"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"18-SEP-2017 13:14:22"|""
"6"|"EPA 110.2"|"USEPA"|"110.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"7"|"EPA 120.1"|"USEPA"|"120.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"8"|"EPA 150.1"|"USEPA"|"150.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"9"|"EPA 160.1"|"USEPA"|"160.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"10"|"EPA 160.2"|"USEPA"|"160.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"11"|"EPA 160.4"|"USEPA"|"160.4"|"01-JAN-2014 00:00:00"|""|""|""|""
"12"|"EPA 1600"|"USEPA"|"1600"|"01-JAN-2014 00:00:00"|""|""|""|""
"13"|"EPA 170.1"|"USEPA"|"170.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"14"|"EPA 180.1"|"USEPA"|"180.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"15"|"EPA 200.7 (180 day hold time)"|"USEPA"|"200.7"|"01-JAN-2014 00:00:00"|""|""|""|""
"16"|"EPA 200.8 (180 day hold time)"|"USEPA"|"200.8"|"01-JAN-2014 00:00:00"|""|""|""|""
"17"|"EPA 200.8 (28 day hold time)"|"USEPA"|"200.8"|"01-JAN-2014 00:00:00"|""|""|""|""
"18"|"EPA 300.0 (28 day hold time)"|"USEPA"|"300.0"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"11-JAN-2023 18:28:12"|""
"19"|"EPA 300.0 (48 hour hold time)"|"USEPA"|"300.0"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"11-JAN-2023 18:28:26"|""
"20"|"EPA 310.1"|"USEPA"|"310.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"21"|"EPA 310.2"|"USEPA"|"310.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"22"|"EPA 325.2"|"USEPA"|"325.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"23"|"EPA 340.2"|"USEPA"|"340.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"24"|"EPA 350.1"|"USEPA"|"350.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"25"|"EPA 350.2"|"NO MATCH"|"EPA 350.2"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"18-SEP-2017 13:15:01"|""
"26"|"EPA 351.2"|"USEPA"|"351.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"27"|"EPA 351.3"|"NO MATCH"|"EPA 351.3"|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"18-SEP-2017 13:17:15"|""
"28"|"EPA 353.1 (28 day hold time)"|"USEPA"|"353.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"29"|"EPA 353.1 (48 hour hold time)"|"USEPA"|"353.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"30"|"EPA 353.2 (28 day hold time)"|"USEPA"|"353.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"31"|"EPA 353.2 (48 hour hold time)"|"USEPA"|"353.2"|"01-JAN-2014 00:00:00"|""|""|""|""
"32"|"EPA 354.1"|"USEPA"|"354.1"|"01-JAN-2014 00:00:00"|""|""|""|""
"33"|"EPA 360.1"|"USEPA"|"360.1"|"01-JAN-2014 00:00:00"|""|""|""|""
