"ANALYTE_PRIMARY_KEY"|"ANALYTE_GROUP_CODES"|"RESULT_VALUE_TYPE_CODES"|"ADAPT_ANALYTE_ID"|"LONG_NAME"|"DESCRIPTION"|"BEGIN_DATE"|"METSPC_METHOD_SPECIATION_ID"|"EPA_CODE_ID"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"1"|"Pesticides"|"Calculated"|"150505"|"Merphos"|"Merphos"|"01-JAN-2014 00:00:00"|""|"Merphos"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"2"|"Volatiles"|"Calculated"|"156605"|"trans-1,2-Dichloroethene"|"trans-1,2-Dichloroethene"|"01-JAN-2014 00:00:00"|""|"trans-1,2-Dichloroethylene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"3"|"Semi-Volatiles"|"Calculated"|"191242"|"Benzo(g,h,i)perylene"|"Benzo(g,h,i)perylene"|"01-JAN-2014 00:00:00"|""|"Benzo[ghi]perylene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"4"|"Semi-Volatiles"|"Calculated"|"193395"|"Indeno(1,2,3-cd)pyrene"|"Indeno(1,2,3-cd)pyrene"|"01-JAN-2014 00:00:00"|""|"Indeno[1,2,3-cd]pyrene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"5"|"Semi-Volatiles"|"Calculated"|"198550"|"Perylene"|"Perylene"|"01-JAN-2014 00:00:00"|""|"Perylene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"6"|"Semi-Volatiles"|"Calculated"|"205992"|"Benzo(b)fluoranthene"|"Benzo(b)fluoranthene"|"01-JAN-2014 00:00:00"|""|"Benzo(b)fluoranthene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"7"|"Semi-Volatiles"|"Calculated"|"206440"|"Fluoranthene"|"Fluoranthene"|"01-JAN-2014 00:00:00"|""|"Fluoranthene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"8"|"Semi-Volatiles"|"Calculated"|"207089"|"Benzo(k)fluoranthene"|"Benzo(k)fluoranthene"|"01-JAN-2014 00:00:00"|""|"Benzo[k]fluoranthene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"9"|"Semi-Volatiles"|"Calculated"|"208968"|"Acenaphthylene"|"Acenaphthylene"|"01-JAN-2014 00:00:00"|""|"Acenaphthylene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"10"|"Semi-Volatiles"|"Calculated"|"218019"|"Chrysene"|"Chrysene"|"01-JAN-2014 00:00:00"|""|"Chrysene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"11"|"Semi-Volatiles"|"Calculated"|"224420"|"Dibenz(a,j)acridine"|"Dibenz(a,j)acridine"|"01-JAN-2014 00:00:00"|""|"Dibenz[a,j]acridine"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"12"|"Pesticides"|"Calculated"|"298000"|"Methyl parathion"|"Methyl parathion"|"01-JAN-2014 00:00:00"|""|"Methyl parathion"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"13"|"Pesticides"|"Calculated"|"298022"|"Phorate"|"Phorate"|"01-JAN-2014 00:00:00"|""|"Phorate"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"14"|"Pesticides"|"Calculated"|"298033"|"Demeton-O"|"Demeton-O"|"01-JAN-2014 00:00:00"|""|"Demeton-O"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"15"|"Pesticides"|"Calculated"|"298044"|"Disulfoton"|"Disulfoton"|"01-JAN-2014 00:00:00"|""|"Disulfoton"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"16"|"Pesticides"|"Calculated"|"299843"|"Ronnel"|"Ronnel"|"01-JAN-2014 00:00:00"|""|"Ronnel"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"17"|"Pesticides"|"Calculated"|"300765"|"Naled"|"Naled"|"01-JAN-2014 00:00:00"|""|"Naled"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"18"|"Pesticides"|"Calculated"|"309002"|"Aldrin"|"Aldrin"|"01-JAN-2014 00:00:00"|""|"Aldrin"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"19"|"Pesticides"|"Calculated"|"314409"|"Bromacil"|"Bromacil"|"01-JAN-2014 00:00:00"|""|"Bromacil"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"20"|"Pesticides"|"Calculated"|"319846"|"a-BHC"|"a-BHC"|"01-JAN-2014 00:00:00"|""|".alpha.-Hexachlorocyclohexane"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"21"|"Pesticides"|"Calculated"|"319857"|"b-BHC"|"b-BHC"|"01-JAN-2014 00:00:00"|""|".beta.-Hexachlorocyclohexane"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"22"|"Pesticides"|"Calculated"|"319868"|"d-BHC"|"d-BHC"|"01-JAN-2014 00:00:00"|""|".delta.-Hexachlorocyclohexane"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"23"|"Pesticides"|"Calculated"|"327980"|"Trichloronate"|"Trichloronate"|"01-JAN-2014 00:00:00"|""|"Trichloronate"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"24"|"Pesticides"|"Calculated"|"330541"|"Diuron"|"Diuron"|"01-JAN-2014 00:00:00"|""|"Diuron"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"25"|"Pesticides"|"Calculated"|"330552"|"Linuron"|"Linuron"|"01-JAN-2014 00:00:00"|""|"Linuron"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"26"|"Pesticides"|"Calculated"|"333415"|"Diazinon"|"Diazinon"|"01-JAN-2014 00:00:00"|""|"Diazinon"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"27"|"Pesticides"|"Calculated"|"465736"|"Isodrin"|"Isodrin"|"01-JAN-2014 00:00:00"|""|"Isodrin"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"28"|"General Physical-Chemical"|"Calculated"|"471341"|"Calcium Carbonate"|"Calcium Carbonate"|"01-JAN-2014 00:00:00"|""|"Calcium carbonate"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"29"|"Pesticides"|"Calculated"|"510156"|"Chlorobenzilate"|"Chlorobenzilate"|"01-JAN-2014 00:00:00"|""|"Chlorobenzilate"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"30"|"Biological"|"Calculated"|"519620"|"Chlorophyll b"|"Chlorophyll b"|"01-JAN-2014 00:00:00"|""|"Chlorophyll b"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"31"|"Semi-Volatiles"|"Calculated"|"534521"|"4,6-Dinitro-2-methylphenol"|"4,6-Dinitro-2-methylphenol"|"01-JAN-2014 00:00:00"|""|"4,6-Dinitro-o-cresol"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"32"|"Volatiles"|"Calculated"|"541731"|"1,3-Dichlorobenzene"|"1,3-Dichlorobenzene"|"01-JAN-2014 00:00:00"|""|"m-Dichlorobenzene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"33"|"Pesticides"|"Calculated"|"563122"|"Ethion"|"Ethion"|"01-JAN-2014 00:00:00"|""|"Ethion"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"34"|"Volatiles"|"Calculated"|"563586"|"1,1-Dichloropropene"|"1,1-Dichloropropene"|"01-JAN-2014 00:00:00"|""|"1,1-Dichloropropene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"35"|"Volatiles"|"Calculated"|"594207"|"2,2-Dichloropropane"|"2,2-Dichloropropane"|"01-JAN-2014 00:00:00"|""|"2,2-Dichloropropane"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"36"|"Biological"|"Calculated"|"603178"|"Pheophytin a"|"Pheophytin a"|"01-JAN-2014 00:00:00"|""|"Pheophytin a"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"37"|"Semi-Volatiles"|"Calculated"|"606202"|"2,6-Dinitrotoluene"|"2,6-Dinitrotoluene"|"01-JAN-2014 00:00:00"|""|"2,6-Dinitrotoluene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"38"|"Pesticides"|"Calculated"|"608731"|"Hexachlorocyclohexane (mixture)"|"Hexachlorocyclohexane (mixture)"|"01-JAN-2014 00:00:00"|""|"Hexachlorocyclohexane"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"39"|"Semi-Volatiles"|"Calculated"|"608935"|"Pentachlorobenzene"|"Pentachlorobenzene"|"01-JAN-2014 00:00:00"|""|"Pentachlorobenzene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"40"|"Semi-Volatiles"|"Calculated"|"621647"|"N-Nitrosodi-n-propylamine"|"N-Nitrosodi-n-propylamine"|"01-JAN-2014 00:00:00"|""|"N-Nitrosodi-n-propylamine"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"41"|"Volatiles"|"Calculated"|"630206"|"1,1,1,2-Tetrachloroethane"|"1,1,1,2-Tetrachloroethane"|"01-JAN-2014 00:00:00"|""|"1,1,1,2-Tetrachloroethane"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"42"|"Semi-Volatiles"|"Calculated"|"680319"|"Hexamethylphosphoramide"|"Hexamethylphosphoramide"|"01-JAN-2014 00:00:00"|""|"Hexamethylphosphoramide"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"43"|"Pesticides"|"Calculated"|"732116"|"Phosmet"|"Phosmet"|"01-JAN-2014 00:00:00"|""|"Phosmet"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"44"|"Pesticides"|"Calculated"|"786196"|"Carbophenothion"|"Carbophenothion"|"01-JAN-2014 00:00:00"|""|"Carbophenothion"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"45"|"Pesticides"|"Calculated"|"789026"|"DDT-o,p'"|"DDT-o,p'"|"01-JAN-2014 00:00:00"|""|"o,p'-DDT"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"46"|"Pesticides"|"Calculated"|"834128"|"Ametryn"|"Ametryn"|"01-JAN-2014 00:00:00"|""|"Ametryn"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"47"|"Pesticides"|"Calculated"|"944229"|"Fonophos"|"Fonophos"|"01-JAN-2014 00:00:00"|""|"Fonofos"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"48"|"Pesticides"|"Calculated"|"1024573"|"Heptachlor epoxide"|"Heptachlor epoxide"|"01-JAN-2014 00:00:00"|""|"Heptachlor epoxide"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"49"|"Pesticides"|"Calculated"|"1031078"|"Endosulfan sulfate"|"Endosulfan sulfate"|"01-JAN-2014 00:00:00"|""|"Endosulfan sulfate"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"50"|"Pesticides"|"Calculated"|"1563662"|"Carbofuran"|"Carbofuran"|"01-JAN-2014 00:00:00"|""|"Carbofuran"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"51"|"Pesticides"|"Calculated"|"1582098"|"Trifluralin"|"Trifluralin"|"01-JAN-2014 00:00:00"|""|"Trifluralin"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"52"|"Pesticides"|"Calculated"|"1610180"|"Prometon"|"Prometon"|"01-JAN-2014 00:00:00"|""|"Prometon"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"53"|"General Physical-Chemical"|"Calculated"|"1505"|"Alkalinity (CaCO3)"|"Alkalinity (CaCO3)"|"01-JAN-2014 00:00:00"|""|"Alkalinity, total"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"54"|"Nutrients"|"Calculated"|"1515"|"Ammonia (N)"|"Ammonia (N)"|"01-JAN-2014 00:00:00"|"4"|"Ammonia"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"55"|"Oxygen Demand"|"Calculated"|"1530"|"BOD"|"BOD"|"01-JAN-2014 00:00:00"|""|"Biochemical oxygen demand, standard conditions"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"56"|"General Physical-Chemical"|"Calculated"|"1610"|"Specific Conductance"|"Specific Conductance"|"01-JAN-2014 00:00:00"|""|"Specific conductance"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"57"|"General Physical-Chemical"|"Calculated"|"1705"|"Residues- Filterable (TDS)"|"Residues- Filterable (TDS)"|"01-JAN-2014 00:00:00"|""|"Total dissolved solids"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"58"|"General Physical-Chemical"|"Calculated"|"1725"|"Residues- Fixed"|"Residues- Fixed"|"01-JAN-2014 00:00:00"|""|"Total fixed solids"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"59"|"General Physical-Chemical"|"Calculated"|"1750"|"Hardness (CaCO3)"|"Hardness (CaCO3)"|"01-JAN-2014 00:00:00"|""|"Total Hardness"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"60"|"Nutrients"|"Calculated"|"1795"|"Nitrogen- Total Kjeldahl"|"Nitrogen- Total Kjeldahl"|"01-JAN-2014 00:00:00"|"4"|"Total Kjeldahl nitrogen (Organic N & NH3)"|""|"SANKURATRI_L"|"28-JAN-2021 17:41:14"
"61"|"Nutrients"|"Calculated"|"1805"|"Nitrate (N)"|"Nitrate (N)"|"01-JAN-2014 00:00:00"|"4"|"Nitrate"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"62"|"Nutrients"|"Calculated"|"1820"|"Nitrate-Nitrite (N)"|"Nitrate-Nitrite (N)"|"01-JAN-2014 00:00:00"|"4"|"Nitrate + Nitrite"|""|"NELSON_JM"|"11-JAN-2023 17:39:31"
"63"|"Nutrients"|"Calculated"|"1835"|"Nitrite (N)"|"Nitrite (N)"|"01-JAN-2014 00:00:00"|"4"|"Nitrite"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"64"|"Nutrients"|"Calculated"|"1870"|"Orthophosphate (P)"|"Orthophosphate (P)"|"01-JAN-2014 00:00:00"|"9"|"Orthophosphate"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"65"|"General Physical-Chemical"|"Calculated"|"1900"|"pH"|"pH"|"01-JAN-2014 00:00:00"|""|"pH"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"66"|"Nutrients"|"Calculated"|"1910"|"Phosphorus- Total"|"Phosphorus- Total"|"01-JAN-2014 00:00:00"|"9"|"Phosphorus"|""|"SANKURATRI_L"|"28-JAN-2021 17:41:14"
"67"|"General Physical-Chemical"|"Calculated"|"1960"|"Residues- Nonfilterable (TSS)"|"Residues- Nonfilterable (TSS)"|"01-JAN-2014 00:00:00"|""|"Total suspended solids"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"68"|"General Physical-Chemical"|"Calculated"|"1970"|"Volatile Residues- Total"|"Volatile Residues- Total"|"01-JAN-2014 00:00:00"|""|"Total volatile solids"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"69"|"General Physical-Chemical"|"Calculated"|"1975"|"Salinity"|"Salinity"|"01-JAN-2014 00:00:00"|""|"Salinity"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"70"|"General Physical-Chemical"|"Calculated"|"2040"|"Carbon- Organic"|"Carbon- Organic"|"01-JAN-2014 00:00:00"|""|"Organic carbon"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"71"|"General Physical-Chemical"|"Calculated"|"2055"|"Turbidity"|"Turbidity"|"01-JAN-2014 00:00:00"|""|"Turbidity"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"72"|"Volatiles"|"Calculated"|"5205"|"Trihalomethanes- Total"|"Trihalomethanes- Total"|"01-JAN-2014 00:00:00"|""|"Trihalomethanes"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"73"|"Pesticides"|"Calculated"|"50293"|"4,4'-DDT"|"4,4'-DDT"|"01-JAN-2014 00:00:00"|""|"p,p'-DDT"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"74"|"Semi-Volatiles"|"Calculated"|"50328"|"Benzo(a)pyrene"|"Benzo(a)pyrene"|"01-JAN-2014 00:00:00"|""|"Benzo[a]pyrene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"75"|"Semi-Volatiles"|"Calculated"|"52686-D"|"Trichlorofon"|"Trichlorofon"|"01-JAN-2014 00:00:00"|""|"Trichlorfon"|"13-MAY-2019 04:00:00"|"ADAMS_TL"|"13-MAY-2019 09:13:16"
"76"|"Semi-Volatiles"|"Calculated"|"52857"|"Famphur"|"Famphur"|"01-JAN-2014 00:00:00"|""|"Famphur"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"77"|"Semi-Volatiles"|"Calculated"|"53703"|"Dibenzo(a,h)anthracene"|"Dibenzo(a,h)anthracene"|"01-JAN-2014 00:00:00"|""|"Dibenz[a,h]anthracene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"78"|"Semi-Volatiles"|"Calculated"|"53963"|"2-Acetylaminofluorene"|"2-Acetylaminofluorene"|"01-JAN-2014 00:00:00"|""|"2-Acetylaminofluorene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"79"|"Semi-Volatiles"|"Calculated"|"55185"|"N-Nitrosodiethylamine"|"N-Nitrosodiethylamine"|"01-JAN-2014 00:00:00"|""|"N-Nitrosodiethylamine"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"80"|"Volatiles"|"Calculated"|"56235"|"Carbon tetrachloride"|"Carbon tetrachloride"|"01-JAN-2014 00:00:00"|""|"Carbon tetrachloride"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"81"|"General Physical-Chemical"|"Calculated"|"7782414"|"Fluoride"|"Fluoride"|"01-JAN-2014 00:00:00"|""|"Fluoride"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"82"|"Metals"|"Calculated"|"7782492"|"Selenium"|"Selenium"|"01-JAN-2014 00:00:00"|""|"Selenium"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"83"|"Pesticides"|"Calculated"|"7786347"|"Mevinphos"|"Mevinphos"|"01-JAN-2014 00:00:00"|""|"Mevinphos"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"84"|"Pesticides"|"Calculated"|"8001352"|"Toxaphene"|"Toxaphene"|"01-JAN-2014 00:00:00"|""|"Toxaphene"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"85"|"Pesticides"|"Calculated"|"8065483"|"Demeton-O+S"|"Demeton-O+S"|"01-JAN-2014 00:00:00"|""|"Demeton"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"86"|"Volatiles"|"Calculated"|"10061015"|"cis-1,3-Dichloropropene"|"cis-1,3-Dichloropropene"|"01-JAN-2014 00:00:00"|""|"cis-1,3-Dichloropropene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"87"|"Volatiles"|"Calculated"|"10061026"|"trans-1,3-Dichloropropene"|"trans-1,3-Dichloropropene"|"01-JAN-2014 00:00:00"|""|"trans-1,3-Dichloropropene"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"88"|"Pesticides"|"Calculated"|"10265926"|"Methamidophos"|"Methamidophos"|"01-JAN-2014 00:00:00"|""|"Methamidophos"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"89"|"Semi-Volatiles"|"Calculated"|"11096825"|"PCB-1260"|"PCB-1260"|"01-JAN-2014 00:00:00"|""|"Aroclor 1260"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"90"|"Semi-Volatiles"|"Calculated"|"11097691"|"PCB-1254"|"PCB-1254"|"01-JAN-2014 00:00:00"|""|"Aroclor 1254"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"91"|"Semi-Volatiles"|"Calculated"|"11104282"|"PCB-1221"|"PCB-1221"|"01-JAN-2014 00:00:00"|""|"Aroclor 1221"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"92"|"Semi-Volatiles"|"Calculated"|"11141165"|"PCB-1232"|"PCB-1232"|"01-JAN-2014 00:00:00"|""|"Aroclor 1232"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"93"|"Semi-Volatiles"|"Calculated"|"12672296"|"PCB-1248"|"PCB-1248"|"01-JAN-2014 00:00:00"|""|"Aroclor 1248"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"94"|"Semi-Volatiles"|"Calculated"|"12674112"|"PCB-1016"|"PCB-1016"|"01-JAN-2014 00:00:00"|""|"Aroclor 1016"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"95"|"Pesticides"|"Calculated"|"13071799"|"Terbufos"|"Terbufos"|"01-JAN-2014 00:00:00"|""|"Terbufos"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"96"|"Pesticides"|"Calculated"|"13171216"|"Phosphamidon"|"Phosphamidon"|"01-JAN-2014 00:00:00"|""|"Phosphamidon"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"97"|"Pesticides"|"Calculated"|"13194484"|"Ethoprop"|"Ethoprop"|"01-JAN-2014 00:00:00"|""|"Ethoprop"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"98"|"General Physical-Chemical"|"Calculated"|"14808798"|"Sulfate"|"Sulfate"|"01-JAN-2014 00:00:00"|""|"Sulfate"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"99"|"General Physical-Chemical"|"Calculated"|"15541454"|"Bromate"|"Bromate"|"01-JAN-2014 00:00:00"|""|"Bromate"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"100"|"Pesticides"|"Calculated"|"15972608"|"Alachlor"|"Alachlor"|"01-JAN-2014 00:00:00"|""|"Alachlor"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"101"|"Pesticides"|"Calculated"|"16655826"|"3-Hydroxycarbofuran"|"3-Hydroxycarbofuran"|"01-JAN-2014 00:00:00"|""|"3-Hydroxycarbofuran"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"102"|"Pesticides"|"Calculated"|"16752775"|"Methomyl"|"Methomyl"|"01-JAN-2014 00:00:00"|""|"Methomyl"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"103"|"General Physical-Chemical"|"Calculated"|"16887006"|"Chloride"|"Chloride"|"01-JAN-2014 00:00:00"|""|"Chloride"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"104"|"Pesticides"|"Calculated"|"17804352"|"Benomyl"|"Benomyl"|"01-JAN-2014 00:00:00"|""|"Benomyl"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
"105"|"General Physical-Chemical"|"Calculated"|"18496258"|"Sulfide"|"Sulfide"|"01-JAN-2014 00:00:00"|""|"Sulfide"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"106"|"Biological"|"Calculated"|"18901569"|"Chlorophyll c"|"Chlorophyll c"|"01-JAN-2014 00:00:00"|""|"Chlorophyll c"|""|"ZIMMERMAN_JM"|"24-OCT-2018 00:00:00"
"107"|"Pesticides"|"Calculated"|"21087649"|"Metribuzin"|"Metribuzin"|"01-JAN-2014 00:00:00"|""|"Metribuzin"|""|"SANKURATRI_L"|"02-DEC-2019 17:47:15"
