"ANALYTE_CHOICELIST_ID"|"DEP_PRIMARY_ANALYTE_NAME"|"SHORT_NAME"|"LONG_NAME"|"EPA_CODE_ID"|"BEGIN_DATE"|"CREATE_USER_NAME"|"CREATE_TS"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"1"|"Ronnel"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|"SCHWENNING_L"|"06-OCT-2023 12:25:10"
"2"|"Naled"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"3"|"Aldrin"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"4"|"Bromacil"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"5"|"a-BHC"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"6"|"b-BHC"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"7"|"d-BHC"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"8"|"Trichloronate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"9"|"Diuron"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"10"|"Linuron"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"11"|"Diazinon"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"12"|"Isodrin"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"13"|"Calcium Carbonate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"14"|"Chlorobenzilate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"15"|"Chlorophyll b"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"16"|"4,6-Dinitro-2-methylphenol"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"17"|"1,3-Dichlorobenzene"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"18"|"Ethion"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"19"|"1,1-Dichloropropene"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"20"|"2,2-Dichloropropane"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"21"|"Pheophytin a"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"22"|"2,6-Dinitrotoluene"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"23"|"Hexachlorocyclohexane (mixture)"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"24"|"Pentachlorobenzene"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"25"|"N-Nitrosodi-n-propylamine"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"26"|"1,1,1,2-Tetrachloroethane"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"27"|"Hexamethylphosphoramide"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"28"|"Phosmet"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"29"|"Carbophenothion"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"30"|"DDT-o,p'"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"31"|"Ametryn"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"32"|"Fonophos"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"33"|"Endosulfan I"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"34"|"Heptachlor epoxide"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"35"|"Endosulfan sulfate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"36"|"Carbofuran"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"37"|"Trifluralin"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"38"|"Prometon"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"39"|"Methyl-t-butyl ether"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"40"|"Aldicarb sulfoxide"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"41"|"Aldicarb sulfone"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"42"|"3,5-Dibromo-4-hydroxybenzonitrile"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"43"|"Pyrene-d10"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"44"|"2,3,7,8-TCDD"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"45"|"Dibutyl Chlorendate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"46"|"2,4-Dichloro-1-(4-nitrophenoxy)benzene"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"47"|"Dacthal"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"48"|"Chlorothalonil"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"49"|"Atrazine"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"50"|"Dicamba"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"51"|"Butylate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"52"|"Methiocarb"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"53"|"2-Chlorobiphenyl"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"54"|"EPN"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"55"|"Fluometuron"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"56"|"1,2-Dichlorobenzene-d4"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"57"|"Molinate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"58"|"Diallate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"59"|"Triallate"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"60"|"Phosalone"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
"61"|"Mirex"|"Not Reported"|"Not Reported"|"Not Reported"|"01-JAN-2014 00:00:00"|"WIN_USER_LOAD"|"25-APR-2017 00:00:00"|""|""|""
