"ANALYTE_SYNONYM_KEY"|"DEP_PRIMARY_ANALYTE_NAME"|"DEP_ANALYTE_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"1"|"trans-1,2-Dichloroethene"|"156605"|"(E)-1,2-Dichloroethene"|"01-JAN-2014 00:00:00"|""|""|""
"2"|"trans-1,2-Dichloroethene"|"156605"|"Dichloroethene, trans-1,2-"|"01-JAN-2014 00:00:00"|""|""|""
"3"|"Benzo(g,h,i)perylene"|"191242"|"Benzo(ghi)perylene"|"01-JAN-2014 00:00:00"|""|""|""
"4"|"Benzo(g,h,i)perylene"|"191242"|"Benzo[g,h,i]perylene"|"01-JAN-2014 00:00:00"|""|""|""
"5"|"Indeno(1,2,3-cd)pyrene"|"193395"|"Indeno[1,2,3-cd]pyrene"|"01-JAN-2014 00:00:00"|""|""|""
"6"|"Benzo(b)fluoranthene"|"205992"|"Benz[e]acephenathrylene"|"01-JAN-2014 00:00:00"|""|""|""
"7"|"Benzo(b)fluoranthene"|"205992"|"Benzo[b]fluoranthene"|"01-JAN-2014 00:00:00"|""|""|""
"8"|"Benzo(k)fluoranthene"|"207089"|"Benzo[k]fluoranthene"|"01-JAN-2014 00:00:00"|""|""|""
"9"|"Methyl parathion"|"298000"|"Parathion methyl"|"01-JAN-2014 00:00:00"|""|""|""
"10"|"Demeton-O"|"298033"|"Demeton, o-"|"01-JAN-2014 00:00:00"|""|""|""
"11"|"Ronnel"|"299843"|"O,O-dimethyl O-(2,4,5-trichlorophenyl) phosphorothioate"|"01-JAN-2014 00:00:00"|""|""|""
"12"|"a-BHC"|"319846"|"alpha-1,2,3,4,5,6-Hexachlorocyclohexane"|"01-JAN-2014 00:00:00"|""|""|""
"13"|"a-BHC"|"319846"|"alpha-benzene hexachloride"|"01-JAN-2014 00:00:00"|""|""|""
"14"|"a-BHC"|"319846"|"alpha-BHC"|"01-JAN-2014 00:00:00"|""|""|""
"15"|"a-BHC"|"319846"|"BHC-alpha"|"01-JAN-2014 00:00:00"|""|""|""
"16"|"b-BHC"|"319857"|"beta-1,2,3,4,5,6-hexachlorocyclohexane"|"01-JAN-2014 00:00:00"|""|""|""
"17"|"b-BHC"|"319857"|"beta-benzene hexachloride"|"01-JAN-2014 00:00:00"|""|""|""
"18"|"b-BHC"|"319857"|"beta-BHC"|"01-JAN-2014 00:00:00"|""|""|""
"19"|"d-BHC"|"319868"|"delta-1,2,3,4,5,6-hexachlorocyclohexane"|"01-JAN-2014 00:00:00"|""|""|""
