"LABORATORY_ID"|"SHORT_NAME"|"LONG_NAME"|"LAB_APPROVED_IND"|"MODIFY_USER_NAME"|"MODIFY_TS"|"BEGIN_DATE"|"END_DATE"|"PRIOR_LAB_NAMES"
"1"|"E83330"|"DB ENVIRONMENTAL LABORATORIES, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"2"|"E51586"|"DESTIN WATER USERS, INC"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"3"|"E87559"|"DHL ANALYTICAL - MOBILE LAB T-4"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"4"|"E87548"|"DHL ANALYTICAL - MOBILE UNIT T3"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"5"|"E87544"|"DHL ANALYTICAL, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"6"|"E86772"|"E. M. ANALYTICAL, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"7"|"E87550"|"EA ENGINEERING, SCIENCE, AND TECHNOLOGY - ECOTOXICOLOGY LABORATORY"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"8"|"E86352"|"EAST COAST LABORATORY"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"9"|"E87673"|"EASTERN RESEARCH GROUP, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"10"|"E87486"|"EASTMAN KODAK COMPANY - ENVIRONMENTAL ANALYTICAL SERVICES"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"11"|"E87037"|"ECOLOGY & ENVIRONMENT, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"12"|"E85394"|"ECOSYSTEMATICS, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"13"|"E87646"|"ELAB OF TENNESSEE, LLC"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"14"|"E83079"|"ELAB, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"15"|"E87825"|"EMAX LABORATORIES, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"16"|"E87788"|"EMSL ANALYTICAL,  INC. - HADDON AVENUE"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"17"|"E87786"|"EMSL ANALYTICAL, INC. - COOPER STREET"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"18"|"E86795"|"EMSL ANALYTICAL, INC. - FL"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"19"|"E87804"|"EMSL ANALYTICAL, INC. - ORLANDO"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"20"|"E87855"|"ENCHEM, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"21"|"E87641"|"ENERGY LABORATORIES INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"22"|"E87668"|"ENERGY LABORATORIES, INC. - MT"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"23"|"E87669"|"ENERGY LABORATORIES, INC. #2"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"24"|"E87286"|"ENVIRODATA GROUP, LLC"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"25"|"E86188"|"ENVIRODYNE, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"26"|"E87635"|"ENVIRONMENTAL CHEMISTRY, INC"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"27"|"E87610"|"ENVIRONMENTAL CONSERVATION LABORATORIES, INC. - CARY"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"28"|"E82277"|"ENVIRONMENTAL CONSERVATION LABORATORIES, INC. (ENCO) - JACKSONVILLE"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"29"|"E83182"|"ENVIRONMENTAL CONSERVATION LABORATORIES, INC. (ENCO) - ORLANDO"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"30"|"E87833"|"ENVIRONMENTAL HAZARDS SERVICES, L.L.C."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"31"|"E87775"|"ENVIRONMENTAL HEALTH LABORATORIES - IN"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"32"|"E87623"|"ENVIRONMENTAL MANAGEMENT SERVICES, INC."|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"33"|"E87783"|"ENVIRONMENTAL QUALITY LABORATORIES, INC. - PR"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"34"|"E86563"|"ENVIRONMENTAL REAGENT SERVICE"|"Y"|"ZIMMERMAN_JM"|"26-JUL-2018 17:04:44"|"01-JAN-2014 00:00:00"|""|""
"35"|"E93351"|"ENVIRONMENTAL RESEARCH & DESIGN, INC."|"Y"|"ZIMMERMAN_JM"|"26-OCT-2018 13:56:48"|"01-JAN-2014 00:00:00"|"26-OCT-2018 04:00:00"|""
