"PREPARATION_METHOD_ID"|"LONG_NAME"|"EPA_CODE_ID"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"1"|"AOAC 973.49"|"AOAC 973.49"|"01-JAN-2014 00:00:00"|""|""|""
"2"|"AOAC 973.55"|"AOAC 973.55"|"01-JAN-2014 00:00:00"|""|""|""
"3"|"ASTM D3987"|"ASTM D3987"|"01-JAN-2014 00:00:00"|""|""|""
"4"|"ASTM D4646"|"ASTM D4646"|"01-JAN-2014 00:00:00"|""|""|""
"5"|"ASTM D5233"|"ASTM D5233"|"01-JAN-2014 00:00:00"|""|""|""
"6"|"CEM Corp"|"CEM Corp"|"01-JAN-2014 00:00:00"|""|""|""
"7"|"Digestion"|"Digestion"|"01-JAN-2014 00:00:00"|""|""|""
"8"|"Distillation"|"Distillation"|"01-JAN-2014 00:00:00"|""|""|""
"9"|"EPA 1311"|"EPA 1311"|"01-JAN-2014 00:00:00"|""|""|""
"10"|"EPA 1312"|"EPA 1312"|"01-JAN-2014 00:00:00"|""|""|""
"11"|"EPA 1630"|"EPA 1630"|"01-JAN-2014 00:00:00"|""|""|""
"12"|"EPA 1631"|"EPA 1631"|"01-JAN-2014 00:00:00"|""|""|""
"13"|"EPA 200.2"|"EPA 200.2"|"01-JAN-2014 00:00:00"|""|""|""
"14"|"EPA 200.3"|"EPA 200.3"|"01-JAN-2014 00:00:00"|""|""|""
"15"|"EPA 245.1"|"EPA 245.1"|"01-JAN-2014 00:00:00"|""|""|""
"16"|"EPA 245.5"|"EPA 245.5"|"01-JAN-2014 00:00:00"|""|""|""
"17"|"EPA 245.6"|"EPA 245.6"|"01-JAN-2014 00:00:00"|""|""|""
"18"|"EPA 3005"|"EPA 3005"|"01-JAN-2014 00:00:00"|""|""|""
"19"|"EPA 3010"|"EPA 3010"|"01-JAN-2014 00:00:00"|""|""|""
"20"|"EPA 3015"|"EPA 3015"|"01-JAN-2014 00:00:00"|""|""|""
"21"|"EPA 3020"|"EPA 3020"|"01-JAN-2014 00:00:00"|""|""|""
"22"|"EPA 3030 E"|"EPA 3030 E"|"01-JAN-2014 00:00:00"|""|""|""
"23"|"EPA 3030 F"|"EPA 3030 F"|"01-JAN-2014 00:00:00"|""|""|""
"24"|"EPA 3031"|"EPA 3031"|"01-JAN-2014 00:00:00"|""|""|""
"25"|"EPA 3040"|"EPA 3040"|"01-JAN-2014 00:00:00"|""|""|""
"26"|"EPA 3050"|"EPA 3050"|"01-JAN-2014 00:00:00"|""|""|""
"27"|"EPA 3051"|"EPA 3051"|"01-JAN-2014 00:00:00"|""|""|""
"28"|"EPA 3052"|"EPA 3052"|"01-JAN-2014 00:00:00"|""|""|""
"29"|"EPA 3060"|"EPA 3060"|"01-JAN-2014 00:00:00"|""|""|""
"30"|"EPA 335.2"|"EPA 335.2"|"01-JAN-2014 00:00:00"|""|""|""
"31"|"EPA 335.4"|"EPA 335.4"|"01-JAN-2014 00:00:00"|""|""|""
"32"|"EPA 350.2"|"EPA 350.2"|"01-JAN-2014 00:00:00"|""|""|""
"33"|"EPA 351.2"|"EPA 351.2"|"01-JAN-2014 00:00:00"|""|""|""
"34"|"EPA 3510"|"EPA 3510"|"01-JAN-2014 00:00:00"|""|""|""
"35"|"EPA 3511"|"EPA 3511"|"01-JAN-2014 00:00:00"|""|""|""
"36"|"EPA 3520"|"EPA 3520"|"01-JAN-2014 00:00:00"|""|""|""
"37"|"EPA 3535"|"EPA 3535"|"01-JAN-2014 00:00:00"|""|""|""
"38"|"EPA 3535A"|"EPA 3535A"|"01-JAN-2014 00:00:00"|""|""|""
"39"|"EPA 3540"|"EPA 3540"|"01-JAN-2014 00:00:00"|""|""|""
"40"|"EPA 3541"|"EPA 3541"|"01-JAN-2014 00:00:00"|""|""|""
"41"|"EPA 3542"|"EPA 3542"|"01-JAN-2014 00:00:00"|""|""|""
"42"|"EPA 3545"|"EPA 3545"|"01-JAN-2014 00:00:00"|""|""|""
"43"|"EPA 3546"|"EPA 3546"|"01-JAN-2014 00:00:00"|""|""|""
"44"|"EPA 3550"|"EPA 3550"|"01-JAN-2014 00:00:00"|""|""|""
"45"|"EPA 3560"|"EPA 3560"|"01-JAN-2014 00:00:00"|""|""|""
"46"|"EPA 3561"|"EPA 3561"|"01-JAN-2014 00:00:00"|""|""|""
"47"|"EPA 3570"|"EPA 3570"|"01-JAN-2014 00:00:00"|""|""|""
"48"|"EPA 3580"|"EPA 3580"|"01-JAN-2014 00:00:00"|""|""|""
"49"|"EPA 3585"|"EPA 3585"|"01-JAN-2014 00:00:00"|""|""|""
"50"|"EPA 365.1"|"EPA 365.1"|"01-JAN-2014 00:00:00"|""|""|""
"51"|"EPA 365.2"|"EPA 365.2"|"01-JAN-2014 00:00:00"|""|""|""
"52"|"EPA 365.4"|"EPA 365.4"|"01-JAN-2014 00:00:00"|""|""|""
"53"|"EPA 420.1"|"EPA 420.1"|"01-JAN-2014 00:00:00"|""|""|""
"54"|"EPA 445.0"|"EPA 445.0"|"01-JAN-2014 00:00:00"|""|""|""
"55"|"EPA 5021"|"EPA 5021"|"01-JAN-2014 00:00:00"|""|""|""
"56"|"EPA 5030"|"EPA 5030"|"01-JAN-2014 00:00:00"|""|""|""
"57"|"EPA 5031"|"EPA 5031"|"01-JAN-2014 00:00:00"|""|""|""
"58"|"EPA 5032"|"EPA 5032"|"01-JAN-2014 00:00:00"|""|""|""
"59"|"EPA 5035"|"EPA 5035"|"01-JAN-2014 00:00:00"|""|""|""
"60"|"EPA 504"|"EPA 504"|"01-JAN-2014 00:00:00"|""|""|""
"61"|"EPA 5041"|"EPA 5041"|"01-JAN-2014 00:00:00"|""|""|""
"62"|"EPA 5050"|"EPA 5050"|"01-JAN-2014 00:00:00"|""|""|""
