"SAMPLING_AGENCY_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"63"|"HSA ENV"|"01-JAN-2014 00:00:00"|""|""|""
"104"|"FDEP FLORIDA COASTAL OFFICE (NERRS)"|"06-JUN-2017 00:00:00"|"28-AUG-2018 04:00:00"|"ZIMMERMAN_JM"|"28-AUG-2018 10:07:33"
"105"|"ALACHUA COUNTY ENVIRONMENTAL PROTECTION DEPARTMENT"|"06-JUN-2017 00:00:00"|""|""|""
"106"|"AMEC ENVIRONMENT AND INFRASTRUCTURE INC."|"06-JUN-2017 00:00:00"|""|""|""
"107"|"ATKINS"|"06-JUN-2017 00:00:00"|""|""|""
"108"|"AVON PARK AIR FORCE RANGE (23 WG DET 1 OLA)"|"06-JUN-2017 00:00:00"|""|""|""
"109"|"BREAM FISHERMAN ASSOCIATION"|"06-JUN-2017 00:00:00"|""|""|""
"110"|"BROWARD COUNTY DEP"|"06-JUN-2017 00:00:00"|""|""|""
"111"|"CARDNO ENTRIX"|"06-JUN-2017 00:00:00"|""|""|""
"112"|"CHARLOTTE HARBOR NATIONAL ESTUARIES PROGRAM (MATLACHA PASS)"|"06-JUN-2017 00:00:00"|""|""|""
"113"|"CHOCTAWHATCHEE BASIN ALLIANCE"|"06-JUN-2017 00:00:00"|""|""|""
"114"|"CITY OF ATLANTIC BEACH"|"06-JUN-2017 00:00:00"|""|""|""
"115"|"CITY OF BONITA SPRINGS"|"06-JUN-2017 00:00:00"|""|""|""
"116"|"FDEP TALLAHASSEE REGIONAL OPERATIONS CENTER"|"06-JUN-2017 00:00:00"|""|""|""
"117"|"FDEP WATER QUALITY STANDARDS PROGRAM"|"06-JUN-2017 00:00:00"|""|""|""
"118"|"FDEP WATERSHED EVALUATION AND TMDL SECTION"|"06-JUN-2017 00:00:00"|""|""|""
"119"|"BEM SYSTEMS INC."|"06-JUN-2017 00:00:00"|""|""|""
"120"|"BIG CYPRESS NATIONAL PRESERVE"|"06-JUN-2017 00:00:00"|""|""|""
"121"|"BREVARD COUNTY STORMWATER UTILITY DEPARTMENT"|"06-JUN-2017 00:00:00"|""|""|""
"122"|"BUCK ISLAND RANCH"|"06-JUN-2017 00:00:00"|""|""|""
"123"|"CITY OF CAPE CORAL"|"06-JUN-2017 00:00:00"|""|""|""
"124"|"CITY OF DELTONA"|"06-JUN-2017 00:00:00"|""|""|""
"125"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"06-JUN-2017 00:00:00"|""|""|""
"126"|"CITY OF LAKELAND"|"06-JUN-2017 00:00:00"|""|""|""
"127"|"CITY OF NAPLES"|"06-JUN-2017 00:00:00"|""|""|""
"128"|"CITY OF NEPTUNE BEACH"|"06-JUN-2017 00:00:00"|""|""|""
"129"|"CITY OF ORLANDO STREETS AND STORMWATER DIVISION"|"06-JUN-2017 00:00:00"|""|""|""
"130"|"CITY OF SAINT PETERSBURG"|"06-JUN-2017 00:00:00"|""|""|""
"131"|"CITY OF SANIBEL NATURAL RESOURCES DEPARTMENT"|"06-JUN-2017 00:00:00"|""|""|""
"132"|"CITY OF TALLAHASSEE STORMWATER MANAGEMENT DIVISION"|"06-JUN-2017 00:00:00"|""|""|""
"133"|"CITY OF WEST PALM BEACH"|"06-JUN-2017 00:00:00"|""|""|""
"134"|"COASTAL AND FRESHWATER RESOURCES"|"06-JUN-2017 00:00:00"|""|""|""
"135"|"COLLIER COUNTY"|"06-JUN-2017 00:00:00"|"22-MAY-2018 04:00:00"|"ZIMMERMAN_JM"|"22-MAY-2018 09:34:13"
"136"|"COLLIER COUNTY COASTAL ZONE MANAGEMENT DEPARTMENT"|"06-JUN-2017 00:00:00"|""|""|""
"137"|"COLLIER COUNTY POLLUTION CONTROL"|"06-JUN-2017 00:00:00"|""|""|""
"138"|"CONSERVANCY OF SOUTHWEST FLORIDA"|"06-JUN-2017 00:00:00"|""|""|""
"139"|"DADE ENVIRONMENTAL RESOURCE MANAGEMENT"|"06-JUN-2017 00:00:00"|"13-FEB-2018 05:00:00"|"ZIMMERMAN_JM"|"13-FEB-2018 11:59:11"
"140"|"DEPARTMENT OF AGRICULTURE AND CONSUMER SERVICES"|"06-JUN-2017 00:00:00"|""|""|""
"141"|"DISPERSED WATER L.L.C"|"06-JUN-2017 00:00:00"|""|""|""
"142"|"ENVIRONMENTAL CONSULTING & TECHNOLOGY INC."|"06-JUN-2017 00:00:00"|""|""|""
"143"|"ENVIRONMENTAL QUALITY INC."|"06-JUN-2017 00:00:00"|""|""|""
"144"|"ENVIRONMENTAL RESEARCH & DESIGN (ERD)"|"06-JUN-2017 00:00:00"|""|""|""
"145"|"EVERGLADES NATIONAL PARK"|"06-JUN-2017 00:00:00"|""|""|""
"146"|"EW CONSULTANTS INC."|"06-JUN-2017 00:00:00"|""|""|""
"147"|"FDEP CENTRAL REGIONAL OPERATIONS CENTER"|"06-JUN-2017 00:00:00"|""|""|""
"148"|"FDEP CHARLOTTE HARBOR AQUATIC PRESERVES"|"06-JUN-2017 00:00:00"|""|""|""
"149"|"FDEP FLORIDA GEOLOGICAL SURVEY"|"06-JUN-2017 00:00:00"|""|""|""
"150"|"FDEP GROUNDWATER MANAGEMENT SECTION"|"06-JUN-2017 00:00:00"|""|""|""
"151"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"06-JUN-2017 00:00:00"|""|""|""
"152"|"FDEP NORTHWEST REGIONAL OPERATIONS CENTER"|"06-JUN-2017 00:00:00"|""|""|""
"153"|"FDEP SOUTH REGIONAL OPERATIONS CENTER"|"06-JUN-2017 00:00:00"|""|""|""
