"WATERBODY_ID"|"LONG_NAME"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"2"|"SADDLEBUNCH NUMBER THREE CHANNEL"|"01-JAN-2014 00:00:00"|""|""|""
"4"|"CITY FRONT REACH"|"01-JAN-2014 00:00:00"|""|""|""
"5"|"SEABOARD REACH"|"01-JAN-2014 00:00:00"|""|""|""
"7"|"IRONWOOD CHANNEL"|"01-JAN-2014 00:00:00"|""|""|""
"8"|"TROUT RIVER CUT RANGE"|"01-JAN-2014 00:00:00"|""|""|""
"9"|"TRAINING WALL REACH"|"01-JAN-2014 00:00:00"|""|""|""
"10"|"SHERMAN CUT RANGE"|"01-JAN-2014 00:00:00"|""|""|""
"11"|"COFFEE BRANCH"|"01-JAN-2014 00:00:00"|""|""|""
"12"|"PORTER REACH"|"01-JAN-2014 00:00:00"|""|""|""
"14"|"SAND KEY CHANNEL"|"01-JAN-2014 00:00:00"|""|""|""
"15"|"BELL PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"16"|"BROCK FLATS"|"01-JAN-2014 00:00:00"|""|""|""
"17"|"DOE PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"18"|"EDWARDS FLATS"|"01-JAN-2014 00:00:00"|""|""|""
"19"|"FOUR STAKE PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"20"|"GRASS PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"21"|"KANAPAHA PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"22"|"LONG PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"23"|"LOST DOG PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"24"|"MESSER PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"25"|"PINEY PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"26"|"RABBIT KEY GRASSES"|"01-JAN-2014 00:00:00"|""|""|""
"27"|"BIG PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"28"|"SOFT PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"29"|"STARVATION PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"30"|"TEAL MILLER FLATS"|"01-JAN-2014 00:00:00"|""|""|""
"31"|"THE FLATWOODS"|"01-JAN-2014 00:00:00"|""|""|""
"32"|"TWELVEMILE PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"33"|"BIRD RACKS"|"01-JAN-2014 00:00:00"|""|""|""
"34"|"NESSER FLAT"|"01-JAN-2014 00:00:00"|""|""|""
"35"|"COON GAP"|"01-JAN-2014 00:00:00"|""|""|""
"36"|"COON HAMMOCK CREEK"|"01-JAN-2014 00:00:00"|""|""|""
"37"|"DEADMAN SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"38"|"EMERSON BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"39"|"FIRST SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"40"|"FOX SLIP"|"01-JAN-2014 00:00:00"|""|""|""
"41"|"GANNET SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"42"|"GOPHER SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"43"|"GUM BRANCH"|"01-JAN-2014 00:00:00"|""|""|""
"44"|"HAGANS SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"45"|"HENDERSON CREEK"|"01-JAN-2014 00:00:00"|""|""|""
"46"|"HUNTER SPRING RUN"|"01-JAN-2014 00:00:00"|""|""|""
"47"|"INDIAN MOUND SLOUGH"|"01-JAN-2014 00:00:00"|""|""|""
"48"|"FLORIDAN AQUIFER SYSTEM"|"01-JAN-2014 00:00:00"|""|""|""
"50"|"ANCLOTE ANCHORAGE"|"01-JAN-2014 00:00:00"|""|""|""
"51"|"BIMINI BAY"|"01-JAN-2014 00:00:00"|""|""|""
"52"|"BULL COVE"|"01-JAN-2014 00:00:00"|""|""|""
"53"|"BUTTONWOOD HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"54"|"CALIFORNIA BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"55"|"CARRIN BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"56"|"CENTIPEDE BAY"|"01-JAN-2014 00:00:00"|""|""|""
"57"|"CHOKOLOSKEE BAY"|"01-JAN-2014 00:00:00"|""|""|""
"58"|"CINCO BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"59"|"CONRAD CREEK"|"01-JAN-2014 00:00:00"|""|""|""
"60"|"COW PEN CREEK"|"01-JAN-2014 00:00:00"|""|""|""
"62"|"DEADMAN BAY"|"01-JAN-2014 00:00:00"|""|""|""
"63"|"OLD PASS LAGOON"|"01-JAN-2014 00:00:00"|""|""|""
"64"|"DOUBLE BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"66"|"FELLS COVE"|"01-JAN-2014 00:00:00"|""|""|""
"67"|"GASPARILLA SOUND"|"01-JAN-2014 00:00:00"|""|""|""
"68"|"GREEN BAY"|"01-JAN-2014 00:00:00"|""|""|""
"69"|"GREENS BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"71"|"HAND COVE"|"01-JAN-2014 00:00:00"|""|""|""
"72"|"HAYES BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"73"|"HOGGS COVE"|"01-JAN-2014 00:00:00"|""|""|""
"74"|"HURRICANE BAY"|"01-JAN-2014 00:00:00"|""|""|""
"75"|"INNER CLAM BAY"|"01-JAN-2014 00:00:00"|""|""|""
"76"|"JEWFISH HOLE"|"01-JAN-2014 00:00:00"|""|""|""
"77"|"JOHN BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"78"|"KLOSTERMAN BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"79"|"LITTLE BOKEELIA BAY"|"01-JAN-2014 00:00:00"|""|""|""
"80"|"LITTLE JOHNSON BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"81"|"LOWER THIRTY-SIX BAY"|"01-JAN-2014 00:00:00"|""|""|""
"82"|"MUD HOLE"|"01-JAN-2014 00:00:00"|""|""|""
"83"|"MULBERRY COVE"|"01-JAN-2014 00:00:00"|""|""|""
"84"|"NAPLES BAY"|"01-JAN-2014 00:00:00"|""|""|""
"85"|"NEGRO COVE"|"01-JAN-2014 00:00:00"|""|""|""
"87"|"NORTHKEY HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"88"|"PEARL BASIN"|"01-JAN-2014 00:00:00"|""|""|""
"89"|"PEEKINS RANCH COVE"|"01-JAN-2014 00:00:00"|""|""|""
"90"|"PONCE DE LEÓN BAY"|"01-JAN-2014 00:00:00"|"05-MAY-2019 04:00:00"|"ZIMMERMAN_JM"|"05-FEB-2019 09:47:11"
"91"|"ROCKY CREEK BAY"|"01-JAN-2014 00:00:00"|""|""|""
"92"|"RODGERS RIVER BAY"|"01-JAN-2014 00:00:00"|""|""|""
"94"|"SAN CARLOS BAY"|"01-JAN-2014 00:00:00"|""|""|""
"95"|"SEAPLANE BASIN"|"01-JAN-2014 00:00:00"|""|""|""
"96"|"SHELL CREEK"|"01-JAN-2014 00:00:00"|""|""|""
"97"|"SHIRK BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"98"|"SHIVERS BAY"|"01-JAN-2014 00:00:00"|""|""|""
"99"|"SNAG HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"100"|"SOLDIER HOLE"|"01-JAN-2014 00:00:00"|""|""|""
"101"|"STEWARD BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"102"|"PALM HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"103"|"TAVERNIER HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"104"|"TERRAPIN BAY"|"01-JAN-2014 00:00:00"|""|""|""
"105"|"TIGER SHOAL"|"01-JAN-2014 00:00:00"|""|""|""
"106"|"VACA KEY BIGHT"|"01-JAN-2014 00:00:00"|""|""|""
"107"|"WARNER COVE"|"01-JAN-2014 00:00:00"|""|""|""
"108"|"WATER TURKEY BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"109"|"WAUSEON BAY"|"01-JAN-2014 00:00:00"|""|""|""
"111"|"WEEKLEY BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"112"|"WHALE HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"113"|"WITHLACOOCHEE BAY"|"01-JAN-2014 00:00:00"|""|""|""
"114"|"BISHOP HARBOR"|"01-JAN-2014 00:00:00"|""|""|""
"116"|"CLAMBAR BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"119"|"DAUGHTRY BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"120"|"FAKAHATCHEE BAY"|"01-JAN-2014 00:00:00"|""|""|""
"121"|"MIGUEL BAY"|"01-JAN-2014 00:00:00"|""|""|""
"122"|"OLD RIVER"|"01-JAN-2014 00:00:00"|""|""|""
"123"|"SAINT ANDREW BAY"|"01-JAN-2014 00:00:00"|""|""|""
"129"|"COFFEEPOT COVE"|"01-JAN-2014 00:00:00"|""|""|""
"131"|"FACTORY BAY"|"01-JAN-2014 00:00:00"|""|""|""
"132"|"BAY SAN BLAS"|"01-JAN-2014 00:00:00"|""|""|""
"134"|"GOOSE CREEK BAY"|"01-JAN-2014 00:00:00"|""|""|""
"135"|"LOW BAY"|"01-JAN-2014 00:00:00"|""|""|""
"136"|"MUD CREEK COVE"|"01-JAN-2014 00:00:00"|""|""|""
"137"|"PRATT BAYOU"|"01-JAN-2014 00:00:00"|""|""|""
"138"|"DUMMIT COVE"|"01-JAN-2014 00:00:00"|""|""|""
"139"|"KITCHING COVE"|"01-JAN-2014 00:00:00"|""|""|""
"140"|"INDIAN PASS"|"01-JAN-2014 00:00:00"|""|""|""
"141"|"INDIAN RIVER LAGOON"|"01-JAN-2014 00:00:00"|""|""|""
"142"|"BEAR GULLY CANAL"|"01-JAN-2014 00:00:00"|""|""|""
"143"|"BIG SLOUGH CANAL"|"01-JAN-2014 00:00:00"|""|""|""
"144"|"BLACK BRANCH CANAL"|"01-JAN-2014 00:00:00"|""|""|""
"146"|"LAKE MANATEE"|"01-JAN-2014 00:00:00"|""|""|""
"147"|"LAKE FRETWELL"|"01-JAN-2014 00:00:00"|""|""|""
"148"|"BLACK DOG LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"149"|"MYAKKA CUTOFF"|"01-JAN-2014 00:00:00"|""|""|""
"150"|"LAKE PHILLIPS"|"01-JAN-2014 00:00:00"|""|""|""
"151"|"LAKE PICKETT"|"01-JAN-2014 00:00:00"|""|""|""
"152"|"PINE LOG LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"153"|"PINEY LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"155"|"PLEASANT POINT LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"156"|"POOLE POND"|"01-JAN-2014 00:00:00"|""|""|""
"157"|"PRALLS LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"158"|"LAKE PRICE"|"01-JAN-2014 00:00:00"|""|""|""
"159"|"RIGGINS LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"160"|"RIGHT ARM LOCHLOOSA LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"162"|"LAKE ROSA"|"01-JAN-2014 00:00:00"|""|""|""
"164"|"ROSE APPLE LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"165"|"LAKE ROWELL"|"01-JAN-2014 00:00:00"|""|""|""
"166"|"LAKE ROWENA"|"01-JAN-2014 00:00:00"|""|""|""
"167"|"LAKE RUTHERFORD"|"01-JAN-2014 00:00:00"|""|""|""
"168"|"SADDLE BLANKET LAKES"|"01-JAN-2014 00:00:00"|""|""|""
"169"|"SAGE POND"|"01-JAN-2014 00:00:00"|""|""|""
"170"|"SAILBOAT LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"171"|"SALT SICK LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"172"|"SANCHEZ LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"173"|"SANDY POND"|"01-JAN-2014 00:00:00"|""|""|""
"174"|"SAPPHIRE LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"175"|"SARATOGA LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"176"|"SEA POND"|"01-JAN-2014 00:00:00"|""|""|""
"177"|"SECRET LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"178"|"LAKE SENAC"|"01-JAN-2014 00:00:00"|""|""|""
"179"|"SESSIONS POND"|"01-JAN-2014 00:00:00"|""|""|""
"180"|"SEVEN PALM LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"181"|"LAKE SHEEN"|"01-JAN-2014 00:00:00"|""|""|""
"182"|"LAKE SHEFFIELD"|"01-JAN-2014 00:00:00"|""|""|""
"183"|"SHERMAN COVE"|"01-JAN-2014 00:00:00"|""|""|""
"184"|"SMITHS PRAIRIE"|"01-JAN-2014 00:00:00"|""|""|""
"185"|"SMOKEHOUSE LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"186"|"SOUTH CRYSTAL LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"187"|"SPARKLEBERRY LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"188"|"LAKE SPENCER"|"01-JAN-2014 00:00:00"|""|""|""
"189"|"LAKE SPERRY"|"01-JAN-2014 00:00:00"|""|""|""
"190"|"SPIVEY LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"191"|"LAKE STAFFORD"|"01-JAN-2014 00:00:00"|""|""|""
"192"|"LAKE STARR"|"01-JAN-2014 00:00:00"|""|""|""
"193"|"STATION POND"|"01-JAN-2014 00:00:00"|""|""|""
"194"|"STEVENS LAKE"|"01-JAN-2014 00:00:00"|""|""|""
"195"|"STEVENS POND"|"01-JAN-2014 00:00:00"|""|""|""
"196"|"STRAW POND"|"01-JAN-2014 00:00:00"|""|""|""
"197"|"LAKE SUMMIT"|"01-JAN-2014 00:00:00"|""|""|""
"198"|"SUNK POND"|"01-JAN-2014 00:00:00"|""|""|""
"199"|"LAKE SUNSHINE"|"01-JAN-2014 00:00:00"|""|""|""
"200"|"SURVEYOR POND"|"01-JAN-2014 00:00:00"|""|""|""
"201"|"SYLVIA LAKE"|"01-JAN-2014 00:00:00"|""|""|""
