"WIN_HELP_ID"|"DESCRIPTION"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"|"SCREEN_NAME"|"SECTION_NAME"|"PAGE_NBR"|"USE_CASE_NBR"
"1"|"N/A"|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"06-OCT-2023 12:26:56"|"N/A"|"N/A"|"0"|"UC-00"
"2"|"Public Welcome - DEP Announcements    This screen is used to view announcements, register new organizations, register within an existing organization or register for a WIN User role.    DEP ANNOUNCEMENTS section:  All announcements that have not expired will be listed in Date Posted order.    You can sort the announcements on any field by clicking on the pull-down arrows next to the field header at the top of the row to alternate between ascending and descending order.   You can use the text boxes below the fields to filter the records displayed.  For Text fields, the filter searches for “like” match of the value entered, and you can use the % wildcard (i.e. aa%, %aa, %aa%). The search is not case sensitive.  For Numeric, Date, SVL and Smart Search fields, the filter searches for an “equal” match of the value entered. On Dates, the time portion is not included in the filter process.  After entering the filters, press the Enter key to filter the records.  To clear the filter, click on the X next to the text box.  • Announcement Title - High level description of the announcement.  • Announcement - Displays the first 3 lines of the announcement.  You can click within the text field to see the full announcement in a popup screen.  To close the popup, click on the X.  • Posted Date - Date the announcement was posted.  • History Icon - If you click on the “H” icon, you will be taken to the “View Announcement History” screen to view expired announcements.    GENERAL GUIDANCE BLOCK:    • Register a New Organization as a Data Provider Administrator - You will click on this button if you want to register a new organization to upload data.  When clicked, you will be taken to the “Request New Organization” screen.  • Register within an Existing Organization - You will click on this button to register within an existing organization.  When clicked, you will be taken to the “Request Org Role” screen.  • Register as a WIN User - If you do not have a WIN User role, you may click on this button to request one.  • Login - If you are a registered WIN User, use this button to Login."|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"27-FEB-2019 14:39:21"|"Public Welcome"|"DEP Announcements"|"1"|"UC-01"
"3"|"Welcome Screen - DEP Announcements    This screen is used to view announcements, request additional roles or review information specific to your Organization(s).    DEP ANNOUNCEMENTS section:  All announcements that have not expired will be listed in Date Posted order.  You can sort the announcements on any field by clicking on the pull-down arrows next to the field header at the top of the row to alternate between ascending and descending order.  You can use the text boxes below the fields to filter the records displayed.  For Text fields, the filter searches for “like” match of the value entered, and you can use the % wildcard (i.e. aa%, %aa, %aa%). The search is not case sensitive.  For Numeric, Date, SVL and Smart Search fields, the filter searches for an “equal” match of the value entered. On Dates, the time portion is not included in the filter process.  After entering the filters, press the Enter key to filter the records.  To clear the filter, click on the X next to the text box.  • Announcement Title - High level description of the announcement.  • Announcement - Displays the first 3 lines of the announcement.  You can click within the text field to see the full announcement in a popup screen.  To close the popup, click on the X.  • Posted Date - Date the announcement was posted.  • History Icon - If you click on the “H” icon, you will be taken to the “View Announcement History” screen to view expired announcements.    ORGANIZATION ID FILTER (optional):  Use the dropdown list displaying the ID and Name of the organizations in ID order to select one of the organizations.    LOAD REPORT button:   If you select this button, you will be taken to the “Load Report” screen.  If you have selected an Organization ID, it will be passed, otherwise you will see load information for all organizations with which you are associated.    ANOMALY IDENTIFIER:   Includes a Flagged count of the records requiring attention which will be displayed as a hyperlink to take you to the “Anomaly Search and List” screen.  • If you are a Data Provider (have a role of DPA, DL or MLM for the selected organization), the Anomaly Flagged record count will include the anomaly records which have a Response Code of “Waiting for Data Provider” and “Under Review by Data Provider” but does not yet have your resolution.  • If you are a DEP user (have a role of WA, WC or PSU), the Anomaly Flagged record count will include the anomaly records which you have created and the data provider has provided a response for your review (i.e., “Insufficient Information to Resolve”, “Resolved – changes implemented”, “Reviewed – no changes needed”).  The record will be removed from the count once you have entered your Resolution (i.e., “Anomaly Resolved”, “Anomaly Not Resolved”, “Nonresponsive”)."|"01-JAN-2014 00:00:00"|""|"NELSON_JM"|"27-FEB-2019 14:47:00"|"Welcome"|"DEP Announcements"|"1"|"UC-01"
"4"|"Welcome Screen - My Reminders    This screen is used to view messages specific to the Organization to which you are associated.  Each section allows you to sort the list by clicking on the pull-down arrows next to a field header at the top of the row to alternate between ascending and descending order.    MY REMINDERS:  • Import Files that are about to expire for the selected organization(s) - This section will list the import files that are about to expire in ascending order of the date to be purged.    • List of Audit ID's - This section will list Audits entered within the last 14 days in descending order of the “Audit ID”.   All audits will be visible regardless of Organization.  The “Audit ID” is displayed as a hyperlink and will transfer you to the “Audit Detail” screen.    • List of Users requesting a role - Users will be listed in ascending order by the requested date.  Their User ID is displayed as a hyperlink and will transfer you to the “Org Role Setup” screen.  WA, WC (their orgs only), and DPAs (their orgs only) will only see role requests with a “Pending” status. If your role is other than WA, WC or DPA, you will see your requests for any status.  Note that once approved or declined, the requests will only be displayed for 14 days.    • List of Code Table Requests - Code Table Requests will be listed in ascending order by the requested date with the “Request ID” being displayed as a hyperlink to allow you to click to be taken to the “Standard Value List (SVL) Request Detail” screen.  If you have a role of WA or CM, you will see “Pending” status requests for code tables you are associated.  If your role is other than WA or CM you will only see your requests for any status.  Note that once approved or declined, the requests will only be displayed for 14 days.    • List of Projects - Before results can be loaded into projects, they must be assigned a “Project Intended Use” by your WIN Coordinator.  These projects will be listed in ascending order by the “Date Approved” with the “Project ID” displayed as a hyperlink to allow you to click to be taken to the “Project List” screen.  If you have a role of WA or WC (your orgs only), you will see projects that need an assigned “Project Intended Use”.  If your role is other than WA or WC, you will only see your Projects.   Note that once the “Project Intended Use” is assigned, the Projects will only be displayed for 14 days."|"01-JAN-2014 00:00:00"|""|""|""|"Welcome"|"My Reminders"|"1"|"UC-01"
"5"|"Request New Organization - Org. Address    This screen is used to create a new Organization and become the Data Provider Administrator for the new organization.  This section of the screen is where you enter the Organization Address information for the new organization.    ORG. ADDRESS FIELDS: (At least 1 Address is required)  • Address Type - Required.  Select type from drop-down list.  • Address 1 - Required.  You can enter up to 50 characters.  • Address 2 - You can enter up to 120 characters.  • City - Required.  You can enter up to 50 characters.  As you are entering the city, all cities matching the characters you enter will appear in a list where you can select the city.  • State - Required, Select state from drop-down list.  • Zip Code - Required.  You will enter 5 digits.    ORG. ADDRESS ACTION BUTTONS:  • + Add - Initially displayed to allow add of the first address and displayed when not in Edit mode to allow adding additional addresses for the Organization.  When clicked, the Save and Cancel buttons will be displayed.  • Edit -Displayed when not in Add mode to allow updating of the address in focus.  When clicked, the Save and Cancel buttons will be displayed.  • Save - Displayed after Edit or Add is selected to allow saving of the changes entered.  • Cancel - Displayed after Edit or Add is selected to allow canceling any changes entered and getting out of update mode.   • Delete - Only displayed if more than one address exists.  When clicked, it will delete the address record in focus if you OK the confirmation message.    RECORD COUNTS and NAVIGATION:  A relative count will be displayed below the address grid to show how many addresses exist for this request and which one you are on (e.g. 2 of 3).  Navigation arrows exist to allow you to go to the First, Next, Previous or Last address record."|"01-JAN-2014 00:00:00"|""|""|""|"Request New Organization"|"Org. Address"|"1"|"UC-02"
"6"|"Request New Organization - Org. Phone    This screen is used to create a new Organization and become the Data Provider Administrator for the new organization.  This section of the screen is where you enter the Organization Phone records for the new organization.    ORG. PHONE FIELDS: (At least 1 Phone Number is required)  • Phone No. Type - Required, Select type from drop-down list  • Phone Number - Required, You can enter the phone number in (999)999-9999 format  • Phone Extension - You can enter up to 6 numbers    ORG. PHONE ACTION BUTTONS:  • + Add - Initially displayed to allow add of the first phone number and displayed when not in Edit mode to allow adding additional phone numbers for the Organization.  When clicked, the Save and Cancel buttons will be displayed.  • Edit -Displayed when not in Add mode to allow updating of the phone record in focus.  When clicked, the Save and Cancel buttons will be displayed.  • Save - Displayed after Edit or Add is selected to allow saving of the changes entered.  • Cancel - Displayed after Edit or Add is selected to allow canceling any changes entered and getting out of update mode.   • Delete - Only displayed if more than one phone number exists.  When clicked, it will delete the phone number record in focus if you OK the confirmation message.    RECORD COUNTS and NAVIGATION:  A relative count will be displayed below the phone grid to show how many phone numbers exist for this request and which one you are on (e.g. 2 of 3).  Navigation arrows exist to allow you to go to the First, Next, Previous or Last phone number record."|"01-JAN-2014 00:00:00"|""|""|""|"Request New Organization"|"Org. Phone"|"1"|"UC-02"
"7"|"Request New Organization - Organization Detail    This screen is used to create a new Organization and become the Data Provider Administrator for the new organization.  This section of the screen is where you enter the Organization Detail information for the new organization.    ORGANIZATION DETAIL FIELDS:  • Organization Type - Required. Select a type from drop-down list.  • Coordination Area - Defaults to Pending and you cannot update it.  • Org ID - Defaults to Pending and you cannot update it.  • Org Status - Defaults to In Progress and you cannot update it.  • Organization Name - Required.  You can enter up to 120 characters and it must be unique within the WIN system.  • Org Internet Address - You can enter up to 120 characters.  • Org Description - You can enter up to 500 characters.    ORGANIZATION DETAIL ACTION BUTTONS:  • Save - Saves the Organization Detail information.  Once the detail information passes all edits and is saved, the Org. Address and Org. Phone sections are displayed; the Save button is hidden and the Edit button is displayed.  This button is also displayed after the Edit button is clicked to make updates. • Edit - Click this button if you need to make a change to the Organization Detail.  Once clicked, the updateable fields will allow changes and the Save and Cancel buttons will be displayed.  The Edit button will be hidden. • Cancel - If you do not wish to make any changes to the Organization Detail, clicking this button will clear any changes you have made since the last Save return to the view where only with the Edit button displayed.    REQUEST NEW ORGANIZATION ACTION BUTTONS:  • Save & Request New Organization and DPA - Once you have entered all of the information into the Organization Detail, Org Address, and Org Phone sections according to the requirements, click on this button to submit your request.  An email will be sent to the WIN Administrator notifying them of the request.  You will get a message from the WIN system saying “Your request has been submitted for approval.  Please contact a WIN Administrator if you have any questions.”    • Cancel Request for New Organization - This button is displayed at all times.  If you decide to not continue the request for a new organization, click on this button.  The system will not save the request and send you to the Welcome screen."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"06-MAR-2019 15:24:48"|"Request New Organization"|"Organization Detail"|"1"|"UC-02"
"8"|"Request Org Role - Contact Address by Organization    This screen is used to join an existing Organization which you currently are not actively associated with, or a new Organization as a Data Provider (DPA, DL or MLM).  This section of the screen is where you enter the Address fields for the Organization you are wanting to join.  If you selected a radio button in the Existing Organization - Roles section, the Address information from that Organization Role will be defaulted in the fields but you can update the information if needed.  If an Organization Role was not selected, this section will default to your address from the DEP Portal.    CONTACT ADDRESS BY ORGANIZATION FIELDS: (At least 1 Address is required)  • Address Type - Required.  You can update by selecting a type from the drop-down list.  • Address 1 - Required.  You can enter up to 50 characters.  • Address 2 - You can enter up to 120 characters.  • City - Required.  You can update by entering up to 50 characters.  As you are entering the city, all cities matching the characters you enter will appear in a list where you can select the city.  • State - Required.  You can update by selecting a state from the drop-down list.  • Zip Code - Required.  You can update by entering up to 5 digits.      CONTACT ADDRESS BY ORGANIZATION ACTION BUTTONS:  • + Add - Initially displayed to allow the addition of the first address, and displayed when not in Edit mode to allow adding additional addresses for the Organization.  When clicked, the Save and Cancel buttons will be displayed.  • Edit -Displayed when not in Add mode to allow updating of the address in focus.  When clicked, the Save and Cancel buttons will be displayed.  • Save - Displayed after Edit or Add is selected to allow saving of the changes entered.  • Cancel - Displayed after Edit or Add is selected to allow the cancellation of any changes entered.  • Delete - Only displayed if more than one address exists.  When clicked, it will delete the address record in focus if you click OK on the confirmation message.    RECORD COUNTS and NAVIGATION:  A relative count will be displayed below the address grid to show how many addresses exist for this request and which one you are on (e.g. 2 of 3).  Navigation arrows exist to allow you to go to the First, Next, Previous or Last address record."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"06-MAR-2019 13:49:50"|"Request Org Role"|"Contact Address by Organization"|"1"|"UC-03"
"9"|"Request Org Role - Contact Detail by Organization    This screen is used to join an existing Organization which you currently are not actively associated with, or a new Organization as a Data Provider (DPA, DL or MLM).  This section of the screen is where you enter the Contact information for the Organization you are wanting to join.  If you selected a radio button in the Existing “Organization – Roles” section, the Contact information from that Organization Role will be defaulted in the fields but you can update the information if needed.  If an Organization Role was not selected, this section will default to your contact information from the DEP Portal.    CONTACT DETAIL BY ORGANIZATION FIELDS:  • Name - Required.  Contains a field for the First name and one for the Last name.  You can update these fields by entering up to 100 characters into each field.  • Qualifier -  Defaults to “DEP” for DEP staff, “External” for non-DEP staff, and cannot be updated.  • User ID -  Defaults to your User ID and cannot be updated.  • Email - Required. You can update by entering up to 100 characters and it must contain the “@” character  • Status - Defaults to “In Progress” and  cannot be updated.  Once you submit the request, the status will change to “Pending”.  • Type - Required.  Select the desired organization type from the drop-down list.  • Role Requested - Required.  Select the desired role for the organization from the drop-down list.  • Description - You can enter up to 1,000 characters.    CONTACT DETAIL BY ORGANIZATION BUTTONS:  • Edit - Click this button if you need to make a change to the Contact Detail.  Once clicked, the updateable fields will allow changes.  The Save and Cancel buttons will be displayed and the Edit button will be hidden.  • Save - Displayed when the Contact Detail section is in update mode.  After making your changes to the detail information, click on Save to have the system verify the information entered.  The information is saved if no errors are found.  The Contact Address by Organization and Contact Phone by Organization and Join and Organization sections are displayed and the Save and Cancel buttons are hidden and the Edit button is displayed.    • Cancel - If you do not wish to make any changes to the Contact Detail, clicking on this button will clear any changes you have made since the last Save and change the section back to view only with the Edit button displayed."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"06-MAR-2019 13:42:34"|"Request Org Role"|"Contact Detail by Organization"|"1"|"UC-03"
"10"|"Request Org Role - Contact Phone by Organization    This screen is used to join an existing Organization which you currently are not actively associated with, or a new Organization as a Data Provider (DPA, DL or MLM).  This section of the screen is where you enter the Phone Number fields for the Organization you are wanting to join.  If you selected a radio button in the Existing Organization - Roles section, the Phone information from that Organization Role will be defaulted in the fields but you can update the information if needed.  If an Organization Role was not selected, this section will default to your phone information from the DEP Portal.    CONTACT PHONE BY ORGANIZATION FIELDS:  (At least 1 Phone is required)   • Phone No. Type - Required.  You can update by selecting a type from the drop-down list.  • Phone Number - Required.  You can enter the phone number in (999)999-9999 format.  • Phone Extension - You can enter up to 6 numbers.    CONTACT PHONE BY ORGANIZATION ACTION BUTTONS:  • + Add - Initially displayed to allow the addition of the first phone number.  After the first number is entered and saved, + Add is displayed to allow adding additional phone numbers for the Organization.  When clicked, the Save and Cancel buttons will be displayed.  • Edit -Displayed when not in + Add mode to allow updating of the phone record in focus.  When clicked, the Save and Cancel buttons will be displayed.  • Save - Displayed after Edit or Add is selected to allow the saving of the changes entered.  • Cancel - Displayed after Edit or Add is selected to allow the canceling of any changes entered. • Delete - Only displayed if more than one phone number exists.  When clicked, it will allow the deletion of the phone number record in focus.   Confirm the deletion by clicking OK in the confirmation message.    RECORD COUNTS and NAVIGATION:  A relative count will be displayed below the phone grid to show how many phone numbers exist for this request and which one you are on (e.g. 2 of 3).  Navigation arrows exist to allow you to go to the First, Next, Previous or Last phone number record."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"06-MAR-2019 13:59:31"|"Request Org Role"|"Contact Phone by Organization"|"1"|"UC-03"
