"WIN_SYSTEM_VAR_ID"|"SYS_VAR_NAME"|"SYS_VAR_VALUE_NBR"|"SYS_VAR_DSC"|"BEGIN_DATE"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"
"1"|"Upload File Days to Purge"|"45"|"Days after which the uploaded file will be purged."|"01-JAN-2014 00:00:00"|""|"ZIMMERMAN_JM"|"22-MAY-2017 08:26:45"
"2"|"Edit Days to Purge"|"5"|"The duration, in days, records may remain in staging once the user selects to edit them from the migrated environment and move them back to staging to complete the edits."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"21-OCT-2020 14:19:26"
"3"|"Insert Days to Purge"|"1"|"The duration, in days, records may remain in staging once the user requests to add a new result to an existing activity from the migrated environment."|"01-JAN-2014 00:00:00"|""|""|""
"4"|"Upload Max Limit MB"|"40"|"The maximum upload file size allowed by WIN in MegaBytes."|"01-JAN-2014 00:00:00"|""|"JOHNSON_WL"|"04-FEB-2020 13:02:46"
"5"|"Query Limit"|"2500"|"WIN will use a Query Limit to restrict the users from selecting a large volume of data for display and management within the Migrated Data area of WIN.  WIN will perform a 'select count (*)' before running returning any data to the screens. If the query count exceeds the value identified by the Query Limit, the user will be requested to refine their selection criteria."|"01-JAN-2014 00:00:00"|""|"SCHWENNING_L"|"01-MAR-2022 15:06:18"
"6"|"Migrated Limit"|"5000"|"System variable defining the limit above which WIN users are restricted from selecting data for display on one of the data list screens off the Load Report.  If the Load Report data type count exceeds the value identified by the Migrated Limit, the user will be requested to refine their date ranges on the Load Report."|"01-JAN-2014 00:00:00"|""|""|""
"7"|"DLR_LowerLimit"|"10000"|"System variable defining the limit below which an immediate export is available off the Load Report in the Migrated area. The system will check to see if the number of records to be exported is <= DLR_LowerLimit .  If it is, then the system will perform the export immediately.  If the number of records to be exported is greater than the DLR_LowerLimit, but less than the Data Load Report Upper Limit (DLR_UpperLimit), then the export will occur during the evening hours and the user will be emailed a link to the file on an FTP server."|"01-JAN-2014 00:00:00"|""|"JOHNSON_MR"|"04-MAY-2017 13:31:02"
"8"|"DLR_UpperLimit"|"1000000"|"System variable defining the limit at which above which the user is prevented from exporting off the Load Report in the Migrated area. If the number of records to be exported is greater than the DLR_LowerLimit, but less than the DLR_UpperLimit, then the export will occur during the evening hours and the user will be emailed a link to the file on an FTP server.  If the number of records to be exported is greater than the DLR_UpperLimit, then a screen will be presented that instructs the user to refine their Load Report dates or select fewer organizations in order to perform the export."|"01-JAN-2014 00:00:00"|""|""|""
"9"|"FTP_INCOMING_URL"|"ftp://ftp.dep.state.fl.us/pub/incoming/WIN/"|"URL for the Incoming FTP Files. This is no longer used in the WIN application as the upload source, but has been retained for future use, if needed."|"01-JAN-2014 00:00:00"|""|""|""
"10"|"FTP_OUTGOING_URL"|"ftp://ftp.dep.state.fl.us/pub/outgoing/WIN/"|"URL for the Outgoing FTP Files generated by user actions, such as Export Records in Error, Load Report Export, etc. "|"01-JAN-2014 00:00:00"|""|""|""
