"WIN_TABLE_ID"|"LONG_NAME"|"DB_SCHEMA_NAME"|"DB_TABLE_NAME"|"DB_TABLE_TYPE_IND"|"USER_MANAGEABLE_IND"|"WH_EXTRACTION_IND"|"BEGIN_DATE"|"DESCRIPTION"|"END_DATE"|"MODIFY_USER_NAME"|"MODIFY_TS"|"PK_COLUMN_NAME"|"FK_COLUMN_NAME"|"SCREEN_TYPE_NAME"|"WIN_CLASS_NAME"
"1"|"Elevation Method Codes"|"WIN"|"ELEVATION_METHOD_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The name that identifies the Method used to collect the land surface Elevation value."|""|""|""|"ELEVATION_METHOD_ID"|"ELMETH_ELEVATION_METHOD_ID"|"codeTableBaseGrid"|"ElevationMethodCodesEntity"
"2"|"Elevation Reference Codes"|"WIN"|"ELEVATION_REFERENCE_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The point of reference used to calculate the Elevation Value. Particularly in case of Ground Water monitoring location, a monitoring location may have many vertical elevation values including elevation from the top of casing, elevation from bottom of meter box, elevation from shutoff valve (for artesian wells), etc."|""|""|""|"ELEVATION_REFERENCE_ID"|"ELREFC_ELEVATION_REFERENCE_ID"|"codeTableBaseGrid"|"ElevationReferenceCodesEntity"
"3"|"Equipment Blank Samples"|"WIN"|"EQUIPMENT_BLANK_SAMPLES"|"M"|"N"|"N"|"01-JAN-2014 00:00:00"|"The entity representing the m-m relationship between the Equipment Sample Activities and the Equipment Blank Activities built though the EquipmentBlankBatchID once both the Blank and the Samples are Migrated."|""|""|""|"EQUIPMENT_BLANK_SAMPLE_KEY"|""|""|""
"4"|"Field Blank Samples"|"WIN"|"FIELD_BLANK_SAMPLES"|"M"|"N"|"N"|"01-JAN-2014 00:00:00"|"The entity representing the m-m relationship between the Field Sample Activities and the Field Blank Activities built though the FieldBlankBatchID once both the Blank and the Samples are Migrated."|""|""|""|"FIELD_BLANK_SAMPLE_KEY"|"FLBLSM_FIELD_BLANK_SAMPLE_KEY"|""|""
"5"|"Imp Dataset Type Codes"|"WIN"|"IMP_DATASET_TYPE_CODES"|"C"|"N"|"Y"|"01-JAN-2014 00:00:00"|"Display the imported dataset Type, such as: Projects, Surface Water Monitoring Location, etc."|""|""|""|"IMP_DATASET_TYPE_ID"|"IDSTPC_IMP_DATASET_TYPE_ID"|"codeTableBaseGrid"|"ImpDatasetTypeCodesEntity"
"6"|"Laboratory Codes"|"WIN"|"LABORATORY_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The laboratory performing the analysis. Use DOH certification number if possible."|""|""|""|"LABORATORY_ID"|"LABC_LABORATORY_ID"|"codeTableBaseGrid"|"LaboratoryCodesEntity"
"7"|"Lab Accreditation Auth Codes"|"WIN"|"LAB_ACCREDITATION_AUTH_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The accreditation authority that certified the laboratory for the submitted analyte."|""|""|""|"ACCREDITATION_AUTH_ID"|"LABACA_ACCREDITATION_AUTH_ID"|"codeTableBaseGrid"|"LabAccreditationAuthCodesEntity"
"8"|"Matrix Codes"|"WIN"|"MATRIX_CODES"|"C"|"Y"|"Y"|"01-JAN-2014 00:00:00"|"The name or code indicating the environmental matrix as a subdivision of the sample medium."|""|""|""|"MATRIX_ID"|"MATRXC_MATRIX_ID"|"matrixCodeGrid"|"MatrixCodesEntity"
"9"|"Mdqs Rl Actres Value Combs"|"WIN"|"MDQS_RL_ACTRES_VALUE_COMBS"|"C"|"R"|"N"|"01-JAN-2014 00:00:00"|"Stores the Values of any Activity and Results MDQS Advanced Business Rules (BR) when the BR is function of a series of Activity and Results attributes (or function of attribute/s) and the related values expressed by either a list or a matrix (i.e. a combination of values). From a relational perspective, this entity represent the middle table for the M:M relationship between Advanced Business Rules using combination of code values and the Code Values itself."|""|""|""|"MDQS_RL_ACTRES_VALUE_COMB_KEY"|""|""|"MdqsRlActresValueCombsEntity"
"10"|"Mdqs Rule Codes"|"WIN"|"MDQS_RULE_CODES"|"C"|"R"|"Y"|"01-JAN-2014 00:00:00"|"The Entity collecting the WIN MDQS (Minimum Data quality Standard) Business Rules which must be verified by the WIN Data prior to Migration in Production."|""|""|""|"MDQS_RULE_KEY"|"MDQSRC_MDQS_RULE_KEY"|""|"MdqsRuleCodesEntity"
