Requested report - WIN WAVES
COUNTY = DUVAL, FLORIDA, FLAGLER, FLORIDA, ST. JOHNS, FLORIDA
Report Run on MARCH 29, 2024The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Organization Name"|"Monitoring Location ID"|"Monitoring Location Name"|"Primary Type"|"Secondary Type"|"Waterbody Name"|"Org Decimal Latitude"|"Org Latitude (DD MM SS.SSSS)"|"Org Decimal Longitude"|"Org Longitude (DD MM SS.SSSS)"|"Org Datum"|"Org Method"|"DEP Latitude"|"DEP Longitude"|"DEP Point Moved"|"Verifier Name"|"Verifier Timestamp"|"DEP Datum"|"NHD Reach Code"|"NHD Reach Code Date"|"STORET Monitoring Location ID"|"Land Surface Elevation (ft)"|"Land Surface Elevation Method"|"Land Surface Elevation Datum"|"Monitoring Loc Description"|"Monitoring Location Comment"|"ML Loaded Date"|"ML Updated Date"|"Florida Unique Well ID"|"GW Waterbody Subname"|"Well Type"|"Well Status"|"Aquifer Confinement"|"Well Total Depth (ft)"|"Well Casing Depth (ft)"|"ScreenOpenHoleBeginDepth (ft)"|"ScreenOpenHoleEndDepth (ft)"|"Well Construction Method"|"ConstructionMethodExplanation"|"Well Drill Date"|"Well Finish"|"Well Casing Material"|"Well Casing Diameter (in)"|"Well Screen Material"|"Well Screen Diameter (in)"|"Well Lead Weight"|"Water Level Recorder Indicator"|"Well Log Type"|"Primary Elevation Value (ft)"|"Primary Elevation Reference"|"Primary Elevation Method"|"Primary Elevation Datum"|"Secondary Elevation Value (ft)"|"Secondary Elevation Reference"|"Secondary Elevation Method"|"Secondary Elevation Datum"|"Top Of Aquifer"|"Bottom Of Aquifer"|"County"|"BMAP"|"BMAP Sub-Boundary"|"WBID"|"DEP District"|"Water Management District"|"Basin"|"Planning Unit"|"HUC12 Value"|"HUC12 Name"|"HUC8 Value"|"HUC8 Name"|"Basin Group"|"State"|"WBID Water Type"|"Waterbody Class"
"21FLKWAT"|"FLORIDA LAKEWATCH"|"FLA-GRANDH13-3"|"Flagler-Grand Haven 13-3"|"Surface Water"|"Lake"|""|"29.532"|""|"-81.1634"|""|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.532000001"|"-81.1634"|"N"|"HORSBURGH_C_1"|"08/11/2019 18:27:03"|"North American Datum Of 1983"|"03080201021324"|"06/27/2014"|"Fla-GrandH13-3"|""|""|""|""|""|"08/22/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2363D"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"PELLICER CREEK"|"030802010304"|"PELLICER CREEK-BIG MULBERRY BRANCH FRONTAL"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"TIM11"|"TIM11"|"Surface Water"|"Estuary"|""|"30.43877"|""|"-81.4271667"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.43877"|"-81.4271667"|"N"|"KARLAVIGE_W_2"|"03/29/2018 15:39:40"|"North American Datum Of 1983"|""|""|"TIM11"|""|""|""|"Ft. George River at NE corner of Ft. George Is."|""|"05/10/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|""|""|"2198B"|"NORTHEAST"|"SJRWMD"|"NASSAU - ST. MARYS"|"NASSAU RIVER"|"030702050304"|"NASSAU SOUND-FORT GEORGE INLET FRONTAL"|"03070205"|"NASSAU"|"GROUP 4"|"FLORIDA"|"ESTUARY"|"2"
"21FLJXWQ"|"CITY OF JACKSONVILLE ENVIRONMENTAL QUALITY DIVISION"|"MC15"|"MC15"|"Surface Water"|"River/Stream"|""|"30.3332778"|""|"-81.7008056"|""|"North American Datum Of 1983"|"Satellite Imagery"|"30.33325436"|"-81.700836781"|"Y"|"KARLAVIGE_W_2"|"08/23/2019 15:37:07"|"North American Datum Of 1983"|"03080103034127"|"12/04/2013"|""|""|""|""|"McCoys Creek (north branch) at Broadway Ave. on north side"|""|"08/23/2019"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2257"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031405"|"MCCOY CREEK"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLGW"|"FDEP WATERSHED MONITORING SECTION"|"61543"|"Z3-CN-17006 UNNAMED CANAL"|"Surface Water"|"Canal Drainage"|"UNNAMED CANAL"|""|"29 27 15.273"|""|"-81 10 4.399"|"World Geodetic Survey Of 1984"|"Differentially Corrected C/A Code Phase GPS"|"29.454242489"|"-81.167888611"|"N"|"ADAMS_TL"|"05/10/2023 15:36:59"|"North American Datum Of 1983"|"03080201012886"|"09/18/2014"|"NOT IN FLSTORET"|""|""|""|""|"PUBLIC ACCESS"|"05/10/2023"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2620"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"HALIFAX RIVER"|"030802010301"|"BULOW CREEK"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"3M"
"21FLSJWM"|"ST. JOHNS RIVER WATER MANAGEMENT DISTRICT"|"45393"|"BUC"|"Surface Water"|"Canal Drainage"|""|""|"29 25 29"|""|"-81 26 12"|"North American Datum Of 1983"|"C/A Code Phase GPS with Wide-Area Augmentation Service Correction"|"29.424722222"|"-81.436666667"|"N"|"CONNORS_S_1"|"08/10/2017 14:55:09"|"North American Datum Of 1983"|"03080103001622"|"02/27/2012"|"BUC"|""|""|""|"Bull Creek Canal 100 M Upstr of Dead Lake"|""|"09/01/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2615"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"CRESCENT LAKE"|"030801030301"|"DEAD LAKE"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030737"|"ST JOHNS RIVER LITTLE JETTIES PIER SHERMAN PT."|"Surface Water"|"Estuary"|""|"30.37975"|""|"-81.444306"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.379750001"|"-81.444306"|"N"|"PARRISH_JM"|"06/15/2017 11:09:47"|"North American Datum Of 1983"|""|""|"20030737"|""|""|""|""|""|"06/15/2017"|"07/17/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|""|"2213A"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031606"|"CHICOPIT BAY"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030582"|"WILLS BR N FORK @ OLD MIDDLEBURG RD."|"Surface Water"|"River/Stream"|""|"30.291139"|""|"-81.765806"|""|"North American Datum Of 1983"|"Digital Aerial Photography"|"30.291139"|"-81.765806"|"N"|"PARRISH_JM"|"06/15/2017 10:59:56"|"North American Datum Of 1983"|"03080103002467"|"12/11/2014"|"20030582"|""|""|""|""|""|"06/15/2017"|"07/17/2017"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM/LSJT - LOWER ST. JOHNS TRIBUTARIES I AND II"|"LOWER ST. JOHNS MAINSTEM - Marine/LOWER ST. JOHNS TRIBUTARIES I AND II - LSJT"|"2282"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"ORTEGA RIVER"|"030801031402"|"CEDAR RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030491"|"SISTERS CREEK AT HECKSCHER DR"|"Surface Water"|"Estuary"|""|"30.393816"|""|"-81.459741"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.393816001"|"-81.459741"|"N"|"PARRISH_JM"|"02/23/2018 10:45:13"|"North American Datum Of 1983"|""|""|"20030491"|""|""|""|""|""|"12/15/2017"|"02/23/2018"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2205A"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"NORTH MAINSTEM"|"030801031606"|"CHICOPIT BAY"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"ESTUARY"|"3M"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"20030131"|"LITTLE SIX MILE CR OLD KINGS RD"|"Surface Water"|"River/Stream"|""|"30.364333"|""|"-81.738083"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"30.364333001"|"-81.738083"|"N"|"PARRISH_JM"|"10/18/2019 10:18:54"|"North American Datum Of 1983"|"03080103001981"|"03/20/2014"|"NOT IN FLSTORET"|""|""|""|""|""|"10/18/2019"|"07/29/2021"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"DUVAL"|"LSJM - LOWER ST. JOHNS MAINSTEM"|"LOWER ST. JOHNS MAINSTEM - Marine"|"2238"|"NORTHEAST"|"SJRWMD"|"LOWER ST. JOHNS"|"TROUT RIVER"|"030801031502"|"LOWER TROUT RIVER"|"03080103"|"LOWER ST. JOHNS"|"GROUP 2"|"FLORIDA"|"STREAM"|"3F"
"21FLA"|"FDEP NORTHEAST REGIONAL OPERATIONS CENTER"|"G5NE0592"|"Pellicer Creek @ Styles Creek"|"Surface Water"|"Estuary"|""|"29.65812"|""|"-81.24422"|""|"World Geodetic Survey Of 1984"|"Digital Aerial Photography"|"29.658119989"|"-81.24422"|"Y"|"PARRISH_JM"|"02/17/2020 09:14:27"|"North American Datum Of 1983"|""|""|"NOT IN FLSTORET"|""|""|""|""|""|"02/17/2020"|"11/28/2022"|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|""|"FLAGLER"|""|""|"2580A"|"NORTHEAST"|"SJRWMD"|"UPPER EAST COAST"|"PELLICER CREEK"|"030802010403"|"PELLICER CREEK"|"03080201"|"DAYTONA-ST. AUGUSTINE"|"GROUP 5"|"FLORIDA"|"ESTUARY"|"2"
