Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F_C,PO4F,F_PO4F,TDP_C,TDP,F_TDP,TP_C,TP,F_TP,PHOSP_C,PHOSP,F_PHOSP,NH4F_C,NH4F,F_NH4F,NO2F_C,NO2F,F_NO2F,NO3F_C,NO3F,F_NO3F,NO23F_C,NO23F,F_NO23F,DIN_C,DIN,F_DIN,TDN_C,TDN,F_TDN,TN_C,TN,F_TN,PN_C,PN,F_PN,UncCHLa_N_C,UncCHLa_N,F_UncCHLa_N,CHLA_N_C,CHLA_N,F_CHLA_N,PHEA_C,PHEA,F_PHEA,POC_C,POC,F_POC,SiO4F_C,SiO4F,F_SiO4F,TSS_C,TSS,F_TSS,WTEM_N_C,WTEM_N,F_WTEM_N,SALT_N_C,SALT_N,F_SALT_N,DO_N_C,DO_N,F_DO_N,PH_N_C,PH_N,F_PH_N,TURB_N_C,TURB_N,F_TURB_N,COLOR_C,COLOR,F_COLOR,SECCHI_C,SECCHI,F_SECCHI,IRR0_N_C,IRR0_N,F_IRR0_N,IRR1_N_C,IRR1_N,F_IRR1_N,Kd_N_C,Kd_N,F_Kd_N
gtmfmnut,1/7/2004 9:15,1,1,,,0.016,<4>,,0.014,<4>,,0.029,<4>,C,0.015,<4>,,0.061,<4>,,0.0018,<4>,C,0.0051,<4>,,0.0069,<4>,C,0.068,<4>,,0.1622,<4>,,0.2228,<4>,C,0.0606,<4>,,0.7,<4>,,0.8,<4>,B,0.01,<4>,,0.85,<4>,,1.888,<4>,,10,<4>,,14.3,<4>,,33.5,<4>,,9.8,<4>,,8.2,<4>,,2.9,<4>,,5,<4>,,1.9,<4>,,124.8,<4>,,26.4,<4>,C,1.553,<4>
gtmfmnut,1/7/2004 9:16,1,2,,,0.017,<4>,,0.015,<4>,,0.027,<4>,C,0.012,<4>,,0.042,<4>,,0.0017,<4>,C,0.0039,<4>,,0.0056,<4>,C,0.048,<4>,,0.1428,<4>,,0.1834,<4>,C,0.0406,<4>,,1.5,<4>,,1.3,<4>,,0.3,<4>,,1,<4>,,1.893,<4>,,33,<4>,,14.3,<4>,,33.5,<4>,,9.8,<4>,,8.2,<4>,,2.6,<4>,,3,<4>,,1.9,<4>,,124.8,<4>,,26.4,<4>,C,1.553,<4>
gtmpcnut,1/7/2004 14:00,1,1,,,0.03,<4>,,0.038,<4>,,0.056,<4>,C,0.018,<4>,,0.031,<4>,B,0.0014,<4>,C - B,,<4>,,0.0033,<4>,C,0.034,<4>,,0.2124,<4>,,0.34,<4>,C,0.1276,<4>,,2.2,<4>,,1.9,<4>,,0.7,<4>,,1.58,<4>,,5.3,<4>,,28,<4>,,13.2,<4>,,19.3,<4>,,8.3,<4>,,8.1,<4>,,5.1,<4>,,39,<4>,,0.4,<4>,,1187,<4>,,87.2,<4>,C,2.611,<4>
gtmpcnut,1/7/2004 14:01,1,2,,,0.029,<4>,,0.04,<4>,,0.06,<4>,C,0.02,<4>,,0.022,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1651,<4>,,0.3211,<4>,C,0.156,<4>,,2.4,<4>,,2,<4>,,0.8,<4>,,1.54,<4>,,5.557,<4>,,28,<4>,,13.2,<4>,,19.3,<4>,,8.3,<4>,,8.1,<4>,,5.5,<4>,,38,<4>,,0.4,<4>,,1187,<4>,,87.2,<4>,C,2.611,<4>
gtmpinut,1/21/2004 9:27,1,1,,,0.015,<4>,,0.023,<4>,,0.048,<4>,C,0.025,<4>,B,0.008,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1847,<4>,,0.3624,<4>,C,0.1777,<4>,,5.6,<4>,,4.2,<4>,,2.6,<4>,,0.95,<4>,,2.628,<4>,,52,<4>,,13.5,<4>,,32.1,<4>,,8,<4>,,7.7,<4>,,6.7,<4>,,8,<4>,,1.3,<4>,,929.5,<4>,,237.7,<4>,C,1.364,<4>
gtmpinut,1/21/2004 9:28,1,2,,,0.013,<4>,,0.017,<4>,,0.045,<4>,C,0.028,<4>,B,0.008,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1687,<4>,,0.3185,<4>,C,0.1498,<4>,,4.6,<4>,,3.7,<4>,,1.8,<4>,,0.98,<4>,,2.507,<4>,,18,<4>,,13.5,<4>,,32.1,<4>,,8,<4>,,7.7,<4>,,6,<4>,,8,<4>,,1.3,<4>,,929.5,<4>,,237.7,<4>,C,1.364,<4>
gtmssnut,1/21/2004 10:45,1,1,,,0.013,<4>,,0.015,<4>,,0.033,<4>,C,0.018,<4>,,0.009,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1423,<4>,,0.2529,<4>,C,0.1106,<4>,,4.2,<4>,,3.4,<4>,,1.6,<4>,,1.36,<4>,,2.701,<4>,,45,<4>,,13.9,<4>,,32.3,<4>,,8,<4>,,7.8,<4>,,5.5,<4>,,8,<4>,,1.3,<4>,,1016,<4>,,321.9,<4>,C,1.149,<4>
gtmssnut,1/21/2004 10:46,1,2,,,0.014,<4>,,0.019,<4>,,0.033,<4>,C,0.014,<4>,,0.009,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.2203,<4>,,0.288,<4>,C,0.0677,<4>,,3.8,<4>,,2.8,<4>,,1.8,<4>,,1.05,<4>,,2.458,<4>,,47,<4>,,13.9,<4>,,32.3,<4>,,8,<4>,,7.8,<4>,,4.4,<4>,,17,<4>,,1.3,<4>,,1016,<4>,,321.9,<4>,C,1.149,<4>
gtmpcnut,1/26/2004 10:30,2,1,,,0.027,<4>,,0.035,<4>,,0.055,<4>,C,0.02,<4>,,0.014,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1683,<4>,,0.2528,<4>,C,0.0845,<4>,,1.3,<4>,,0.7,<4>,,1.2,<4>,,0.82,<4>,,5.467,<4>,M,,<4>,M,,<4>,,20,<4>,M,,<4>,M,,<4>,,3.5,<4>,,28,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/26/2004 13:00,2,1,,,0.027,<4>,,0.037,<4>,,0.058,<4>,C,0.021,<4>,B,0.008,<4>,B,0.0014,<4>,C - B,,<4>,B,0.0014,<4>,C - B,,<4>,,0.1624,<4>,,0.2301,<4>,C,0.0677,<4>,,3.3,<4>,,2,<4>,,2.2,<4>,,1.15,<4>,,7.019,<4>,M,,<4>,M,,<4>,,17,<4>,M,,<4>,M,,<4>,,4.9,<4>,,38,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
