Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,01/26/2009 11:02,2,1,,0.024,0,0.052,<1> (CHB),0.070,<1> (CHB),0.018,<1> (CHB),0.032,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0089,0,0.041,0,0.318,0,0.430,0,0.1115,0,4.0,0,3.1,0,1.7,0,2.89,0,2.50,0,50.7,0,,<-1>,30.0,0,,<-1>,,<-1>,7.1,0,21.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/26/2009 13:32,2,1,,0.029,0,0.040,<1> (CHB),0.085,<1> (CHB),0.045,<1> (CHB),0.060,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0081,0,0.068,0,0.309,0,0.441,0,0.1319,0,6.2,0,5.1,0,2.1,0,3.25,0,3.73,0,34.7,0,,<-1>,24.0,0,,<-1>,,<-1>,6.0,0,23.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/26/2009 16:02,2,1,,0.033,0,0.046,<1> (CHB),0.072,<1> (CHB),0.026,<1> (CHB),0.032,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0127,0,0.045,0,0.320,0,0.461,0,0.1407,0,8.2,0,6.5,0,3.2,0,3.10,0,4.50,0,33.0,0,,<-1>,21.0,0,,<-1>,,<-1>,6.8,0,27.5,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/26/2009 18:32,2,1,,0.035,0,0.045,<1> (CHB),0.074,<1> (CHB),0.029,<1> (CHB),0.023,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0146,0,0.038,0,0.308,0,0.434,0,0.1264,0,6.4,0,5.0,0,2.5,0,2.05,0,5.75,0,22.7,0,,<-1>,17.0,0,,<-1>,,<-1>,4.9,0,31.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/26/2009 21:02,2,1,,0.034,0,0.058,<1> (CHB),0.077,<1> (CHB),0.019,<1> (CHB),0.036,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0121,0,0.048,0,0.309,0,0.474,0,0.1642,0,6.3,0,5.2,0,2.0,0,2.20,0,4.54,0,20.3,0,,<-1>,20.0,0,,<-1>,,<-1>,5.6,0,27.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/26/2009 23:32,2,1,,0.031,0,0.054,<1> (CHB),0.066,<1> (CHB),0.012,<1> (CHB),0.037,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0094,0,0.046,0,0.322,0,0.453,0,0.1316,0,5.0,0,4.2,0,1.4,0,2.50,0,3.52,0,40.3,0,,<-1>,25.0,0,,<-1>,,<-1>,5.8,0,22.7,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/27/2009 02:02,2,1,,0.034,0,0.050,<1> (CHB),0.072,<1> (CHB),0.022,<1> (CHB),0.032,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0110,0,0.043,0,0.293,0,0.474,0,0.1815,0,6.3,0,4.9,0,2.6,0,2.74,0,4.66,0,30.3,0,,<-1>,20.0,0,,<-1>,,<-1>,4.6,0,31.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/27/2009 04:32,2,1,,0.034,0,0.047,<1> (CHB),0.075,<1> (CHB),0.028,<1> (CHB),0.026,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0102,0,0.036,0,0.293,0,0.425,0,0.1325,0,6.5,0,5.1,0,2.6,0,2.65,0,5.02,0,23.3,0,,<-1>,18.0,0,,<-1>,,<-1>,3.8,0,74.4,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/27/2009 07:02,2,1,,0.032,0,0.045,<1> (CHB),0.069,<1> (CHB),0.024,<1> (CHB),0.026,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0065,0,0.032,0,0.275,0,0.390,0,0.1144,0,8.3,0,6.9,0,2.6,0,2.64,0,5.92,0,23.3,0,,<-1>,15.0,0,,<-1>,,<-1>,3.1,0,78.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/27/2009 09:32,2,1,,0.032,0,0.042,<1> (CHB),0.086,<1> (CHB),0.044,<1> (CHB),0.033,0,0.0032,0,0.0073,0,0.0105,0,0.044,0,0.326,0,0.445,0,0.1186,0,8.6,0,7.4,0,2.4,0,2.95,0,4.22,0,27.7,0,,<-1>,22.0,0,,<-1>,,<-1>,4.9,0,70.7,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmssnut,01/27/2009 09:45,1,1,,0.009,0,0.022,<1> (CHB),0.050,<1> (CHB),0.028,<1> (CHB),0.041,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0090,0,0.050,0,0.265,<1> (CHB),0.309,<1> (CHB),0.0442,<1> (CHB),1.8,0,1.1,0,1.3,0,0.66,0,0.30,<1> (CHB),29.0,0,15.3,0,33.5,0,7.6,0,7.9,0,2.6,0,3.4,0,2.5,0,408.8,0,102.8,0,1.380,0
gtmssnut,01/27/2009 09:46,1,2,,0.011,0,0.015,<1> (CHB),0.033,<1> (CHB),0.018,<1> (CHB),0.043,0,0.0032,<-4> [SBL],,<-4> [SCB],0.0057,0,0.049,0,0.260,<1> (CHB),0.323,<1> (CHB),0.0639,<1> (CHB),1.6,0,1.3,0,0.6,0,0.63,0,0.28,<-4> [SBL] (CHB),28.8,0,15.3,0,33.5,0,7.6,0,7.9,0,2.4,0,6.0,0,2.5,0,408.8,0,102.8,0,1.380,0
