Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmfmnut,01/13/2010 10:11,1,1,,0.016,0,0.079,0,0.031,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0063,0,0.037,0,0.380,0,5.1,0,4.5,0,1.3,0,1.39,0,36.8,0,10.6,0,28.2,0,5.9,0,7.0,<0> (CSM),0.8,0,66.4,0,1.5,0,1626.0,0,203.2,0,2.080,0
gtmfmnut,01/13/2010 10:12,1,2,,0.008,0,0.059,0,0.019,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0076,0,0.027,0,0.360,0,5.5,0,5.1,0,0.8,0,1.33,0,43.2,0,10.6,0,28.2,0,5.9,0,7.0,<0> (CSM),0.8,0,25.3,0,1.5,0,1626.0,0,203.2,0,2.080,0
gtmssnut,01/13/2010 12:06,1,1,,0.007,0,0.048,0,0.019,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0122,0,0.031,0,0.281,0,6.3,0,5.4,0,1.9,0,0.74,0,39.6,0,10.9,0,31.7,0,10.9,0,7.0,<0> (CSM),1.2,0,15.5,0,1.5,0,1850.0,0,338.9,0,1.697,0
gtmssnut,01/13/2010 12:07,1,2,,0.006,0,0.060,0,0.023,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0062,0,0.029,0,0.305,0,7.1,0,6.5,0,1.2,0,0.91,0,35.6,0,10.9,0,31.7,0,10.9,0,7.0,<0> (CSM),0.8,0,18.4,0,1.5,0,1850.0,0,338.9,0,1.697,0
gtmpinut,01/13/2010 13:26,1,1,,0.008,0,0.033,0,0.025,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0115,0,0.036,0,0.167,0,1.7,0,1.6,0,0.4,0,0.65,0,32.4,0,11.4,0,32.4,0,11.4,0,7.0,<0> (CSM),0.8,0,14.6,0,2.5,0,1958.0,0,628.1,0,1.137,0
gtmpinut,01/13/2010 13:27,1,2,,0.006,0,0.040,0,0.019,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0061,0,0.025,0,0.129,0,1.8,0,1.8,0,0.2,<-4> [SBL],0.85,0,53.4,0,11.4,0,32.4,0,11.4,0,7.0,<0> (CSM),0.7,0,13.7,0,2.5,0,1958.0,0,628.1,0,1.137,0
gtmpcnut,01/13/2010 15:51,1,1,,0.026,0,0.068,0,0.026,0,0.0100,<-4> [SBL],,<-4> [SCB],0.0109,0,0.037,0,0.320,0,7.1,0,6.5,0,1.2,0,5.24,0,24.2,0,11.5,0,19.4,0,6.5,0,7.0,<0> (CSM),2.1,0,32.2,0,1.2,0,660.7,0,71.1,0,2.229,0
gtmpcnut,01/13/2010 15:52,1,2,,0.027,0,0.057,0,0.046,0,0.0100,<-4> [SBL],,<-4> [SCB] (CHB),0.0105,<1> (CHB),0.056,<1> (CHB),0.256,0,6.6,0,6.5,0,0.4,0,5.16,0,18.4,0,11.5,0,19.4,0,6.5,0,7.0,<0> (CSM),1.9,0,33.0,0,1.2,0,660.7,0,71.1,0,2.229,0
gtmpcnut,01/13/2010 17:30,2,1,,0.022,0,0.052,0,0.022,0,0.0100,<-4> [SBL],,<-4> [SCB] (CHB),0.0040,<1> (CHB),0.026,<1> (CHB),0.292,0,7.4,0,7.2,0,0.7,0,4.41,0,29.0,0,,<-1>,20.0,0,,<-1>,,<-1>,2.8,0,28.8,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/13/2010 20:00,2,1,,0.019,0,0.071,0,0.0177,<-4> [SBL],0.0100,<-4> [SBL],,<-4> [SCB] (CHB),0.0021,<-4> [SBL] (CHB),,<-4> [SCB] (CHB),0.286,0,13.2,0,12.7,0,1.3,0,4.79,0,22.8,0,,<-1>,20.0,0,,<-1>,,<-1>,2.7,0,28.6,0,,<-1>,,<-1>,,<-1>,,<-1>
