Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,SiO4F,F_SiO4F,TSS,F_TSS,SALT_N,F_SALT_N,TURB_N,F_TURB_N,Color,F_Color,WTEM_N,F_WTEM_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,01/22/2012 08:30,2,1,,0.012,0,0.071,0,0.017,0,0.0012,0,0.0049,0,0.0061,0,0.023,0,0.716,0,,<-1>,0.693,0,7.8,0,9.1,0,2.5,0,3.67,0,49.7,0,24.0,0,7.3,0,35.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 11:00,2,1,,0.017,0,0.061,0,0.0134,<-4> [SBL],0.0012,<-4> [SBL],,<-4> [SCB],0.0051,0,,<-4> [SCB],0.608,0,,<-1>,,<-4> [SCB],3.6,0,5.4,0,3.3,0,3.28,0,79.7,0,27.0,0,7.7,0,28.4,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 13:30,2,1,,0.023,0,0.074,0,0.016,0,0.0012,<-4> [SBL],,<-4> [SCB],0.0059,0,0.022,0,0.668,0,,<-1>,0.646,0,4.0,0,6.0,0,3.5,0,3.12,0,62.7,0,25.0,0,8.9,0,31.3,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 16:00,2,1,,0.024,0,0.069,0,0.033,0,0.0012,0,0.0074,0,0.0086,0,0.042,0,0.702,0,,<-1>,0.660,0,6.2,0,8.6,0,4.4,0,3.18,0,64.3,0,26.0,0,8.5,0,32.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 18:30,2,1,,0.025,0,0.085,0,0.020,0,0.0014,0,0.0063,0,0.0077,0,0.028,0,0.762,0,,<-1>,0.734,0,14.5,0,17.5,0,5.6,0,3.24,0,44.3,0,23.0,0,7.7,0,37.2,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 21:00,2,1,,0.027,0,0.068,0,0.017,0,0.0012,0,0.0053,0,0.0065,0,0.024,0,0.710,0,,<-1>,0.687,0,6.5,0,9.3,0,5.1,0,3.27,0,55.7,0,24.0,0,7.3,0,32.6,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/22/2012 23:30,2,1,,0.022,0,0.064,0,0.035,0,0.0012,<-4> [SBL],,<-4> [SCB],0.0059,0,0.041,0,0.644,0,,<-1>,0.604,0,4.5,0,6.0,0,2.8,0,2.91,0,39.0,0,27.0,0,7.6,0,26.0,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/23/2012 02:00,2,1,,0.024,0,0.064,0,0.019,0,0.0012,<-4> [SBL],,<-4> [SCB],0.0057,0,0.025,0,0.710,0,,<-1>,0.685,0,10.0,0,12.6,0,4.7,0,3.38,0,41.3,0,25.0,0,6.6,0,30.7,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/23/2012 04:30,2,1,,0.025,0,0.081,0,0.030,0,0.0012,<-4> [SBL],,<-4> [SCB],0.0061,0,0.036,0,0.867,0,,<-1>,0.831,0,20.6,0,24.2,0,7.0,0,3.39,0,42.3,0,26.0,0,7.1,0,31.0,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/23/2012 07:00,2,1,,0.032,0,0.077,0,0.036,0,0.0012,<-4> [SBL],,<-4> [SCB],0.0090,0,0.045,0,0.720,0,,<-1>,0.675,0,8.7,0,10.7,0,3.7,0,3.95,0,34.7,0,21.0,0,5.5,0,40.0,0,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>,,<-1>
