Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpinut,1/10/2017 8:53:00 AM,1,1,,0.014,,0.037,,0.014,,0.002,<-4> [SBL],0.005,,0.007,,0.021,,0.477,,0.47,,0.456,,4.4,,5.3,,1.2,,11,,5,<1> (CHB),,<-1>,13.1,,31.77,,8.24,,7.63,,1.7,,4.2,
gtmpinut,1/10/2017 8:55:00 AM,1,2,,0.014,,0.044,,0.011,,0.002,<-4> [SBL],0.004,,0.006,,0.017,,0.506,,0.5,,0.489,,4.7,,5.5,,1.1,,11,,7,<1> (CHB),,<-1>,13.1,,31.77,,8.24,,7.63,,1.7,,4.1,
gtmssnut,1/10/2017 10:11:00 AM,1,1,,0.013,,0.036,,0.017,,0.002,<-4> [SBL],0.016,,0.018,,0.035,,0.418,,0.4,,0.383,,3.3,,4,,0.92,,20,,21,<1> (CHB),,<-1>,13.9,,34.31,,8.07,,7.76,,1.1,,2.8,
gtmssnut,1/10/2017 10:13:00 AM,1,2,,0.015,,0.038,,0.017,,0.002,<-4> [SBL],0.018,,0.02,,0.037,,0.3,,0.28,,0.263,,1.7,,2,,0.4,<-4> [SBL],22,,13,<1> (CHB),,<-1>,13.9,,34.31,,8.07,,7.76,,1.1,,2.5,
gtmfmnut,1/10/2017 11:28:00 AM,1,1,,0.012,,0.027,,0.012,,0.002,<-4> [SBL],0.006,,0.008,,0.02,,0.308,,0.3,,0.288,,1.4,,1.5,,0.4,<-4> [SBL],7,,5,<1> (CHB),,<-1>,13.5,,34.62,,8.28,,7.85,,1.9,,2.5,
gtmfmnut,1/10/2017 11:31:00 AM,1,2,,0.012,,0.028,,0.012,,0.002,<-4> [SBL],0.01,,0.012,,0.024,,0.392,,0.38,<1> (CSM),0.368,,1.6,,1.7,,0.4,<-4> [SBL],6,,5,<1> (CHB),,<-1>,13.5,,34.62,,8.28,,7.85,,1.9,,2.5,
gtmpcnut,1/10/2017 10:52:00 AM,1,1,{CSM},0.024,,0.043,<1> (CSM),0.021,,0.002,<-4> [SBL],0.005,,0.007,,0.028,,0.567,,0.56,,0.539,,2.4,,2.9,,0.66,,7,,48,<1> (CHB),110,<1> (CHB),12.1,,23.87,,8.15,,7.46,,1.35,,4.8,
gtmpcnut,1/10/2017 10:58:00 AM,1,2,{CSM},0.025,,0.042,,0.011,,0.002,<-4> [SBL],0.003,,0.005,,0.016,,0.555,,0.55,,0.539,,2.6,,3,,0.47,,8,,62,<1> (CHB),,<-1>,12.1,,23.87,,8.15,,7.46,,1.35,,4.5,
gtmpcnut,1/9/2017 9:30:00 AM,2,1,,0.024,<1> (CHB),0.05,,0.024,,0.002,<-4> [SBL] (CHB),0.004,,0.006,,0.03,,0.456,,0.45,,0.426,,2.7,<1> (CHB),3.3,<1> (CHB),0.97,<1> (CHB),10,,,<-2> [GDM],,<-1>,10.04,,27.66,,9.02,,8.01,,,<-1>,4.6,
gtmpcnut,1/9/2017 12:00:00 PM,2,1,,0.036,,0.065,,0.015,,0.002,<-4> [SBL],0.011,,0.013,,0.028,,0.483,,0.47,,0.455,,3.5,,4.3,,1.2,,7,,120,<1> (CHB),,<-1>,11.15,,22.87,,8.89,,7.84,,,<-1>,6,
gtmpcnut,1/9/2017 2:30:00 PM,2,1,,0.045,,0.071,,0.028,,0.002,<-4> [SBL],0.01,,0.012,,0.04,,0.512,,0.5,,0.472,,5.5,,6.7,,1.8,,5,,100,<1> (CHB),,<-1>,12.69,,18.28,,8.57,,7.71,,,<-1>,7,
gtmpcnut,1/9/2017 5:00:00 PM,2,1,,0.044,,0.072,,0.023,,0.002,<-4> [SBL],0.008,,0.01,,0.033,,0.46,,0.45,,0.427,,5.3,,6.9,,2.3,,9,,110,<1> (CHB),,<-1>,13.13,,18.5,,8.99,,7.76,,,<-1>,7,
gtmpcnut,1/9/2017 7:30:00 PM,2,1,,0.034,,0.058,,0.01,,0.002,<-4> [SBL],0.007,,0.009,,0.019,,0.469,,0.46,,0.45,,3.2,,4,,1.2,,8,,140,<1> (CHB),,<-1>,12.47,,23.24,,9.66,,7.91,,,<-1>,7.1,
gtmpcnut,1/9/2017 10:00:00 PM,2,1,,0.035,,0.061,,0.016,,0.002,<-4> [SBL],0.008,,0.01,,0.026,,0.44,,0.43,,0.414,,3,,3.8,,1.1,,11,,120,<1> (CHB),,<-1>,12.39,,24.04,,9.56,,7.92,,,<-1>,6.2,
gtmpcnut,1/10/2017 12:30:00 AM,2,1,,0.043,,0.064,,0.033,,0.002,<-4> [SBL],0.011,,0.013,,0.046,,0.503,,0.49,,0.457,,3.7,,4.8,,1.7,,9,,110,<1> (CHB),,<-1>,12.63,,19.48,,8.73,,7.75,,,<-1>,6.5,
gtmpcnut,1/10/2017 3:00:00 AM,2,1,,0.05,,0.071,,0.01,,0.002,<-4> [SBL],0.017,,0.019,,0.029,,0.499,,0.48,,0.47,,3,,4.2,,1.8,,10,,120,<1> (CHB),,<-1>,12.73,,19.14,,8.25,,7.68,,,<-1>,8.5,
gtmpcnut,1/10/2017 5:30:00 AM,2,1,,0.044,,0.071,,0.036,,0.002,<-4> [SBL],0.012,,0.014,,0.05,,0.464,,0.45,,0.414,,3.2,,4.3,,1.8,,6,,110,<1> (CHB),,<-1>,12.25,,18.53,,8.32,,7.68,,,<-1>,6.8,
gtmpcnut,1/10/2017 8:00:00 AM,2,1,,0.027,,0.058,,0.017,,0.002,<-4> [SBL],0.003,,0.005,,0.022,,0.365,,0.36,,0.343,,2.8,,3.6,,1.2,,10,,86,<1> (CHB),,<-1>,11.33,,25.73,,8.7,,7.93,,,<-1>,5.2,
gtmpcnut,1/10/2017 10:30:00 AM,2,1,,0.021,,0.044,,0.013,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.017,,0.524,,0.52,,0.507,,1.9,,2.2,<1> (CSM),0.61,,9,,36,<1> (CHB),,<-1>,11.56,,29.59,,8.53,,8.03,,,<-1>,4.1,
gtmpinut,2/8/2017 8:48:00 AM,1,1,,0.02,,0.05,,0.014,,0.002,<-4> [SBL],0.002,,0.004,<-4> [SBL],0.018,,0.414,,0.41,,0.396,,5,,6.3,,1.9,,16,<1> (CSM),3,<1> [GSM] (CHB),,<-1>,17.5,,33.95,,6.96,,7.65,,1.1,,4.1,
gtmpinut,2/8/2017 8:50:00 AM,1,2,,0.021,,0.048,,0.01,,0.002,<-4> [SBL],0.003,,0.005,,0.015,,0.415,,0.41,,0.4,,5.1,,6.4,,1.9,,16,,2,<1> [GSM] (CHB),,<-1>,17.5,,33.95,,6.96,,7.65,,1.1,,4.1,
gtmssnut,2/8/2017 9:57:00 AM,1,1,,0.025,,0.056,,0.027,,0.004,,0.036,,0.04,,0.067,,0.3,,0.26,,0.233,,3.2,,4.8,,2.4,,27,,31,<1> [GSM] (CHB),,<-1>,17.9,,35.85,,6.39,,7.85,,0.6,,2.7,
gtmssnut,2/8/2017 10:01:00 AM,1,2,,0.024,,0.061,,0.027,,0.004,,0.027,,0.031,,0.058,,0.361,,0.33,,0.303,,3.2,,4.9,,2.7,,28,,50,<1> [GSM] (CHB),,<-1>,17.9,,35.85,,6.39,,7.85,,0.6,,2.8,
gtmfmnut,2/8/2017 11:07:00 AM,1,1,,0.013,,0.031,,0.019,,0.002,,0.02,,0.022,,0.041,,0.192,,0.17,,0.151,,1.9,,2.5,,0.8,,12,,13,<1> [GSM] (CHB),,<-1>,18.8,,36.15,,6.3,,8.05,,1.15,,2.2,
gtmfmnut,2/8/2017 11:10:00 AM,1,2,,0.014,,0.029,,0.021,,0.002,,0.005,,0.007,,0.028,,0.257,,0.25,,0.229,,1.8,,2.3,,0.7,,12,,5,<1> [GSM] (CHB),,<-1>,18.8,,36.15,,6.3,,8.05,,1.15,,2.3,
