Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,DON,F_DON,PON,F_PON,TDN,F_TDN,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,ENTERO_MPN,F_ENTERO_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,1/21/2019 9:30:00 AM,2,1, ,0.029,<1> (CHB),0.079, ,0.03, ,0.004,<1> (CHB),0.016,<1> [GQS],0.02, ,0.05,,0.66,,0.64, ,0.63, ,0.61,,0.6,,0.01,,0.65,,4.8,<1> (CHB),7,<1> (CHB),3.3,<1> (CHB),25, , ,<-2> [GDM], ,<-1>  , ,<-1>  ,11.74,,13.59,,8.23,,7.56,,,<-1>  ,17, 
gtmpcnut,1/21/2019 12:00:00 PM,2,1, ,0.017, ,0.049, ,0.012, ,0.002,<1> [SBL] (CHB),0.015,<1> [GQS],0.017, ,0.029,,0.547,,0.53, , ,<-1>  ,0.518,, ,<-1>  ,0.53,,0.017,,4,<1> (CHB),5.4,<1> (CHB),2.1,<1> (CHB),11, ,25,<1> (CHB), ,<-1>  , ,<-1>  ,11.5,,20.56,,8.66,,7.88,,,<-1>  ,11, 
gtmpcnut,1/21/2019 2:30:00 PM,2,1, ,0.028, ,0.07, ,0.024, ,0.004,<1> (CHB),0.019,<1> [GQS],0.023, ,0.047,,0.743,,0.72, , ,<-1>  ,0.696,, ,<-1>  ,0.72,,0.023,,3.4,,4.6, ,1.8,,18, ,56,<1> (CHB), ,<-1>  , ,<-1>  ,12.18,,14.15,,8.48,,7.64,,,<-1>  ,18, 
gtmpcnut,1/21/2019 5:00:00 PM,2,1, ,0.032, ,0.067, ,0.027, ,0.005,<-3> [GSM] (CHB),0.245,<-3> [GCR],0.25, ,0.277,,0.97,,0.72, , ,<-1>  ,0.693,, ,<-1>  ,0.72,,0.25,,2.1,,2.7, ,1.2,<-4> [SBL],10, ,86,<1> [GSM] (CHB), ,<-1>  , ,<-1>  ,13.2,,7.92,,8.41,,7.32,,,<-1>  ,22, 
gtmpcnut,1/21/2019 7:30:00 PM,2,1, ,0.035, ,0.069, ,0.027, ,0.006,<1> (CHB),0.254,<1> [GQS],0.26, ,0.287,,1,,0.74, , ,<-1>  ,0.713,, ,<-1>  ,0.74,,0.26,,1.7,,2.1,,1.2,<-4> [SBL],6,,110,<1> (CHB), ,<-1>  , ,<-1>  ,13.39,,4.71,,8.41,,7.22,,,<-1>  ,24, 
gtmpcnut,1/21/2019 10:00:00 PM,2,1, ,0.03, ,0.062, ,0.026, ,0.004,,0.021,,0.025, ,0.051,,0.595,,0.57, , ,<-1>  ,0.544,, ,<-1>  ,0.57,,0.025,,2.3,,2.9,,1.2,<-4> [SBL],12,,68,<1> (CHB), ,<-1>  , ,<-1>  ,12.45,,11.15,,8.79,,7.49,,,<-1>  ,18, 
gtmpcnut,1/22/2019 12:30:00 AM,2,1, ,0.027, ,0.06, ,0.021, ,0.003,,0.267,,0.27, ,0.291,,0.82,,0.55, , ,<-1>  ,0.529,, ,<-1>  ,0.55,,0.27,,2.9,,3.9,,1.5,,12,,46,<1> (CHB), ,<-1>  , ,<-1>  ,11.95,,15.94,,9.01,,7.71,,,<-1>  ,15, 
gtmpcnut,1/22/2019 3:00:00 AM,2,1, ,0.032, ,0.063, ,0.028, ,0.005,,0.021,,0.026, ,0.054,,0.696,,0.67, , ,<-1>  ,0.642,, ,<-1>  ,0.67,,0.026,,2,,2.6,,1.4,<-4> [SBL],8,,70,<1> (CHB), ,<-1>  , ,<-1>  ,12.5,,10.04,,8.6,,7.42,,,<-1>  ,20, 
gtmpcnut,1/22/2019 5:30:00 AM,2,1, ,0.035, ,0.065, ,0.03, ,0.006, ,0.274,,0.28, ,0.31,,0.94,,0.66, , ,<-1>  ,0.63,, ,<-1>  ,0.66,,0.28,,1.9,,2.1,,1.2,<-4> [SBL],6,,120,<1> (CHB), ,<-1>  , ,<-1>  ,12.52,,7.11,,8.5,,7.29,,,<-1>  ,23, 
gtmpcnut,1/22/2019 8:00:00 AM,2,1, ,0.036, ,0.067, ,0.025, ,0.006, ,0.264,,0.27, ,0.295,,1.02,,0.75, , ,<-1>  ,0.725,, ,<-1>  ,0.75,,0.27,,1.8,,2,,1.2,<-4> [SBL],5,,140,<1> (CHB), ,<-1>  , ,<-1>  ,12.24,,3.54,,8.67,,7.18,,,<-1>  ,24, 
gtmfmnut,1/22/2019 9:34:00 AM,1,1, ,0.004,<-4> [SBL],0.03, ,0.005,,0.002,<-4> [SBL],0.005,,0.007,,0.012,,0.257,,0.25,,0.18,,0.245,,0.175,,0.07,,0.187,,6.7, ,8.4,,2.4, ,14,,3,<1> (CHB), ,<-1>  , ,<-1>  ,14.7,,33.71,,8.29,,8.08,,1.3,,2.2, 
gtmfmnut,1/22/2019 9:38:00 AM,1,2, ,0.004,<-4> [SBL],0.032, ,0.003,,0.002,<-4> [SBL],0.128,<1> [GQS],0.13,<1> [SRD],0.133,,0.38,,0.25,,0.23,,0.247,,0.227,,0.02,,0.36,,6.5, ,8.3,,2.4, ,13,<1> (CSM),2,<1> [SBL] (CHB), ,<-1>  , ,<-1>  ,14.7,,33.71,,8.29,,8.08,,1.3,,2.2, 
gtmpcnut,1/22/2019 10:30:00 AM,2,1, ,0.03, ,0.086, ,0.026, ,0.004,,0.022,,0.026,,0.052,,0.736,,0.71, , ,<-1>  ,0.684,, ,<-1>  ,0.71,,0.026,,4.3, ,6.1,,2.8,,28, ,68,<1> (CHB), ,<-1>  , ,<-1>  ,12.29,,12.81,,9.19,,7.6,,1.2,,18, 
gtmssnut,1/22/2019 10:40:00 AM,1,1, ,0.004,<-4> [SBL],0.034, ,0.002,,0.002,<-4> [SBL],0.011,,0.013,,0.015,,0.603,,0.59, ,0.18,,0.588,,0.178,,0.41,,0.193,,6.7,<1> (CSM),8.9,<1> (CSM),3.2,<1> (CSM),12, ,15,<1> (CHB), ,<-1>  , ,<-1>  ,14.7,,33.19,,8.22,,8.16,,1.2,,2.3, 
gtmssnut,1/22/2019 10:42:00 AM,1,2, ,0.004,<-4> [SBL],0.036, ,0.002,<-4> [SBL],0.002,<-4> [SBL],0.008,,0.01,,0.012,,0.65,,0.64, ,0.22,,0.638,,0.218,,0.42,,0.23,,6.4, ,8.9, ,3.7, ,13,<1> (CSM),46,<1> (CHB), ,<-1>  , ,<-1>  ,14.7,,33.19,,8.22,,8.16,,1.2,,2.3, 
gtmpcnut,1/22/2019 11:55:00 AM,1,1, ,0.022, ,0.077, ,0.008, ,0.002,<-4> [SBL],0.007,,0.009,,0.017,,0.739,,0.73, ,0.36,,0.722,,0.352,,0.37,,0.369,,3.3, ,4.6, ,2.1,,36, ,31,<1> (CHB),86,<1> (CHB), ,<-1>  ,12.8,,27.21,,8.42,,7.94,,1,,12, 
gtmpinut,1/22/2019 11:55:00 AM,1,1, ,0.015, ,0.048, ,0.008, ,0.002,<-4> [SBL],0.015,,0.017,,0.025,,0.467,<1> [GQS],0.45,<1> (CSM),0.44,,0.442,<1> [GQS],0.432,,0.01,<1> [GQS],0.457,,6, ,7.8, ,2.5, ,12, ,8,<1> (CHB), ,<-1>  , ,<-1>  ,13.8,,18.88,,10.92,,7.13,,0.4,,5.6, 
gtmpinut,1/22/2019 11:57:00 AM,1,2, ,0.014, ,0.049, ,0.008, ,0.002,<-4> [SBL],0.128,,0.13,,0.138,,0.61,,0.48, ,0.4,,0.472,,0.392,,0.08,,0.53,,5.9, ,7.7, ,2.6, ,11, ,10,<1> (CHB), ,<-1>  , ,<-1>  ,13.8,,27.21,,8.42,,7.94,,1,,5.7, 
gtmpcnut,1/22/2019 11:58:00 AM,1,2, ,0.022, ,0.082, ,0.009, ,0.002,<-4> [SBL],0.003,,0.005,,0.014,,0.645,,0.64, ,0.41,,0.631,,0.401,,0.23,,0.415,,6, ,8.7, ,4, ,38, ,28,<1> (CHB), ,<-1>  , ,<-1>  ,12.8,,18.88,,10.92,,7.13,,0.4,,12, 
gtmpcnut,2/4/2019 9:30:00 AM,2,1, ,0.024,<1> (CHB),0.055,,0.019,,0.006,<1> [SCC],-0.001,<-3> [SNV],0.005,<1> [SCC],0.024,<1> [GQS],0.735,<1> [GQS],0.73,,0.63,,0.711,,0.611,,0.1,,0.635,<1> [GQS],1.9,<1> (CHB),2.8,<1> (CHB),1.3,<1> (CHB),11,, ,<-2> [GDM], ,<-1>  , ,<-1>  ,15.58,,5.78,,7.49,,6.84,,,<-1>  ,25,
