Species
Odontella aurita
Coscinodiscus sp.
Tropidoneis sp.
Scrippsielloid sp.
Cymbella sp.
Takayama tuberculata
Grammatophora sp.
Licmophora sp.
Eutreptia lanowii
Cerataulina pelagica
Cylindrotheca closterium
Navicula sp.
Karlodinium veneficum
Karenia brevis
Prorocentrum gracile
Gyrodinium sp.
Cryptomonad unidentified
Karenia mikimotoi
Kryptoperidinium foliaceum
Leptocylindrus danicus
Paralia sulcata
Pleurosigma sp.
Pseudo-nitzschia sp.
Pyrodinium bahamense
Skeletonema costatum
Thalassionema nitzschioides
Thalassiosira sp.
Heterocapsa pygmaea
Warnowia sp.
Plagiotropis lepidoptera
Haslea sp.
Pyramimonas sp.
Heterocapsa rotundata
Amphora sp.
Gonyaulax sp.
Margalefidinium polykrikoides
Guinardia delicatula
Dictyocha fibula
Phaeodactylum tricornutum
Coccolithophorid unidentified
Chaetoceros sp.
Tripos hircus
Eucampia sp.
Asterionellopsis glacialis
Guinardia striata
Hemiaulus sp.
Proboscia alata
Polykrikos kofoidii
Striatella sp.
Dactyliosolen fragilissimus
Sundstroemia pungens
Guinardia flaccida
Protoperidinium sp.
Leptocylindrus minimus
Peridinium quinquecorne
Pronoctiluca sp.
Heterocapsa niei
Pseudo-nitzschia brasiliana
Prorocentrum cordatum
Rhizosolenia imbricata
Ditylum brightwellii
Dinophysis caudata
Heterocapsa sp.
Gymnodinoid sp.
Prorocentrum triestinum
Takayama sp.
Sundstroemia setigera
Diploneis sp.
Prorocentrum scutellum
Bacteriastrum sp.
Biddulphia sp.
Karenia longicanalis
Gyrosigma sp.
Corethron hystrix
Phalacroma oxytoxoides
Lebouridinium glaucum
Skeletonema sp.
Levanderina fissa
Odontella sp.
Oxyrrhis marina
Nitzschia sp.
Akashiwo sanguinea
Polykrikos schwartzii
Takayama helix
Bacillaria paxillifera
Ebria tripartita
Takayama pulchella
Melosira sp.
Peridinium sp.
Rhaphoneis sp.
Prorocentrum micans
Scrippsiella sp.
Proboscia indica
Torodinium cf. robustum
Lioloma sp.
Rhizosolenia sp.
Hermesinum adriaticum
Amphidinium sp.
Alexandrium sp.
Gonyaulax polygramma
Prorocentrum rhathymum
Thalassionema bacillare
Pseudosolenia calcar-avis
Gyrodinium spirale
Heterosigma akashiwo
Prorocentrum lima
Chattonella subsalsa
Cyanobacteria unidentified
Naviculoid spp. 20-100um
Takayama tasmanica
Oxytoxum gracile
Katodinium asymmetricum
Podolampas sp.
Tripos furca
Protoperidinium minisculum
Diplopsaloid sp.
Actinoptychus senarius
Heterocapsa cf minima
Naviculoid spp. < 20um
Cerataulina dentata
Karenia selliformis
Nitzschia longissima
Bellerochea horologicalis
Karenia asterichroma
Heterocapsa spp.
Tripos muelleri
Lithodesmium undulatum
Podolampas palmipes
Eutreptia sp.
Pyrophacus horologium
Helicotheca tamesis
Tripos lineatum
Gyrodinium spp.
Pseudo-nitzschia spp.
Thalassionema sp.
Johannesbaptistia pellucida
Torodinium sp.
Dinoflagellate unidentified
Cymatosira sp.
Syracosphaera sp.
Trichodesmium erythraeum
Protoperidinium spp.
Amphiprora sp.
Triceratium sp.
Euglena sp.
Karenia cf umbella
Protoceratium reticulatum
Karenia sp.
Eunotogramma marinum
Proterythropsis sp.
Thalassiothrix mediterranea
Hemiaulus indicus
Prorocentrum sp.
Chaetoceros spp.
Anaulus australis
Cocconeis sp.
Tripos fusus
Gonyaulax spinifera
Detritus
Cerataulina sp.
Cyclotella sp.
