data_source,original_name,dashboard_name
WIN,Organization ID,OrganizationID
WIN,Monitoring Location ID,MonitoringLocationID
WIN,HUC12 Name,HUC12Name
WIN,Project ID,ProjectID
WIN,Activity ID,ActivityID
WIN,Activity Type,SampleType
WIN,Activity Start Date Time,SampleDate
WIN,Activity End Date Time,ActivityEndDateTime
WIN,Activity Time Zone,ActivityTimeZone
WIN,Media,Media
WIN,Matrix,Matrix
WIN,Sample Collection Type,SampleCollectionType
WIN,Sampling Agency Name,SamplingAgencyName
WIN,SampleCollectionEquipmentName,SampleCollectionEquipmentName
WIN,Activity Depth,ActivityDepth
WIN,Activity Depth Unit,ActivityDepthUnit
WIN,Relative Depth,RelativeDepth
WIN,Activity Top Depth,ActivityTopDepth
WIN,Activity Bottom Depth,ActivityBottomDepth
WIN,Activity Depth Top Bottom Unit,ActivityDepthTopBottomUnit
WIN,Total Depth,TotalDepth
WIN,Total Depth Unit,TotalDepthUnit
WIN,Activity Representative Ind,ActivityRepresentativeInd
WIN,Activity Comments,ActivityComments
WIN,Sampler Name,SamplerName
WIN,Field Blank Batch ID,FieldBlankBatchID
WIN,Equipment Blank Batch ID,EquipmentBlankBatchID
WIN,Trip Blank Batch ID,TripBlankBatchID
WIN,Master Activity ID,MasterActivityID
WIN,Activity Loaded Date,ActivityLoadedDate
WIN,Activity Updated Date,ActivityUpdatedDate
WIN,DEP Result ID,DEPResultID
WIN,Org Result ID,OrgResultID
WIN,DEP Analyte Group,DEPAnalyteGroup
WIN,DEP Analyte Name,ComponentLong
WIN,ADaPT Analyte ID,ADaPTAnalyteID
WIN,Org Analyte Name,OrgAnalyteName
WIN,Org Result Value,OrgResultValue
WIN,Org Result Unit,OrgResultUnit
WIN,Org MDL,OrgMDL
WIN,Org PQL,OrgPQL
WIN,Org Detection Unit,OrgDetectionUnit
WIN,DEP Result Value Number,Result
WIN,DEP Result Value Text,DEPResultValueText
WIN,DEP Result Unit,Unit
WIN,DEP MDL,DEPMDL
WIN,DEP PQL,DEPPQL
WIN,Value Qualifier,ValueQualifier
WIN,Sample Fraction,SampleFraction
WIN,Prep Method,PrepMethod
WIN,Preparation Date Time,PreparationDateTime
WIN,Preparation Time Zone,PreparationTimeZone
WIN,Analysis Method,AnalysisMethod
WIN,Analysis Date Time,AnalysisDateTime
WIN,Analysis Time Zone,AnalysisTimeZone
WIN,Lab ID,LabID
WIN,Lab Name,LabName
WIN,Lab Accreditation Authority,LabAccreditationAuthority
WIN,Result Comments,ResultComments
WIN,Lab Sample ID,LabSampleID
WIN,Method Batch ID,MethodBatchID
WIN,Analytical Batch ID,AnalyticalBatchID
WIN,Dilution,Dilution
WIN,Percent Moisture,PercentMoisture
WIN,Percent Recovery,PercentRecovery
WIN,Relative Percent Difference,RelativePercentDifference
WIN,Error,Error
WIN,Target Species,TargetSpecies
WIN,Finfish Size,FinfishSize
WIN,Finfish Unit,FinfishUnit
WIN,Result Value Type,ResultValueType
WIN,Statistical Base,StatisticalBase
WIN,Audit Censored Decisions,AuditCensoredDecisions
WIN,Result Loaded Date,ResultLoadedDate
WIN,Result Updated Date,ResultUpdatedDate
WIN,RowID,RowID
WIN,LocationID,LocationID
WIN,ProgramID,ProgramID
WIN,Station ID,StationID
WIN,Station Name,StationName
WIN,Station Type,StationType
WIN,County,County
WIN,Start Date,StartDate
WIN,End Date,EndDate
WIN,Location_1,Latitude
WIN,Location_2,Longitude
GTMNERR,UNID,UNID
GTMNERR,StationCode,StationCode
GTMNERR,SampleDate,SampleDate
GTMNERR,SampleType,SampleType
GTMNERR,Lat,Latitude
GTMNERR,Long,Longitude
GTMNERR,ComponentShort,ComponentShort
GTMNERR,ComponentLong,ComponentLong
GTMNERR,Result,Result
GTMNERR,Remark,Remark
GTMNERR,Flag,Flag
GTMNERR,Unit,Unit
GTMNERR,MRL,MRL
GTMNERR,MDL,MDL
GTMNERR,Dilution,Dilution
GTMNERR,PQL,PQL
GTMNERR,DateRecieved,DateRecieved
GTMNERR,DateAnalyzed,DateAnalyzed
GTMNERR,TestComments,TestComments
GTMNERR,AnalysisMethod,AnalysisMethod
GTMNERR,Lab ID,LabID
GTMNERR,Lab Accredidation Authority,LabAccredidationAuthority
GTMNERR,Laboratory,Laboratory
GTMNERR,RQ#,RQ#
