value,new
"2,4-Dichlorophenoxyacetic acid","2,4-Dichlorophenoxyacetic acid"
"2,4,5-T","2,4,5-T"
Acesulfame K,Acesulfame K
Acetaminophen ,Acetaminophen 
Acetamiprid,Acetamiprid
Afidopyropen,Afidopyropen
Air temperature,Air temperature
"Ammonium, Filtered",Ammonium (filtered)
"Ammonium, Filtered ",Ammonium (filtered)
AMPA,AMPA
Bentazon,Bentazon
Bentazon ,Bentazon 
Benzovindiflupyr,Benzovindiflupyr
bird specific Helicobacter GFD genetic marker,bird specific Helicobacter GFD genetic marker
Bromide,Bromide
canine-specific DG3 Bacteroides genetic marker,canine-specific DG3 Bacteroides genetic marker
Carbamazepine,Carbamazepine
Carbamazepine ,Carbamazepine 
Chloride,Chloride
Chlorophyll,Chlorophyll
Chlorophyll a- corrected,Chlorophyll a (corrected)
Chlorophyll a- uncorrected,Chlorophyll a (uncorrected)
"Chlorophyll a, Corrected (Monochromatic)",Chlorophyll a (corrected)
"Chlorophyll a, Uncorrected (Trichromatic)",Chlorophyll a (uncorrected)
Chlorophyll b (Trichromatic),Chlorophyll b (Trichromatic)
Chlorophyll c (Trichromatic),Chlorophyll c (Trichromatic)
Chlorophyll_bottom,Chlorophyll_bottom
Clothianidin,Clothianidin
coastal bird specific Catellicoccus marimammalium Gull2 genetic marker,coastal bird specific Catellicoccus marimammalium Gull2 genetic marker
"Coliform, Fecal",Fecal coliform
Color (true),Color (true)
Copper,Copper
Dinotefuran,Dinotefuran
Dissolved Oxygen,Dissolved oxygen
Dissolved Oxygen Saturation,Dissolved Oxygen Saturation
"Dissolved oxygen, bottom","Dissolved oxygen, bottom"
"Dissolved oxygen, percent saturation","Dissolved oxygen, percent saturation"
"Dissolved oxygen, percent saturation, bottom","Dissolved oxygen, percent saturation, bottom"
Diuron,Diuron
Endothall,Endothall
Enterococcus,Enterococcus
Escherichia Coli-Quanti-Tray,Escherichia Coli-Quanti-Tray
Fenuron,Fenuron
Fluoride,Fluoride
Fluridone,Fluridone
Fluridone ,Fluridone 
Glufosinate,Glufosinate
Glyphosate,Glyphosate
human-specific HF183 Bacteroides genetic marker,human-specific HF183 Bacteroides genetic marker
Hydrocodone,Hydrocodone
Hydrocodone ,Hydrocodone 
Ibuprofen,Ibuprofen
Ibuprofen ,Ibuprofen 
Imazapyr,Imazapyr
Imidacloprid,Imidacloprid
"Kjeldahl Nitrogen, Filtered","Kjeldahl Nitrogen, Filtered"
"Kjeldahl Nitrogen, Filtered ","Kjeldahl Nitrogen, Filtered "
Linuron,Linuron
Mandestrobin,Mandestrobin
Methylchlorophenoxypropionic acid,Methylchlorophenoxypropionic acid
Naproxen,Naproxen
Nitrate+Nitrite,Nitrate+Nitrite
"Nitrogen, Kjeldahl",TKN (Total Kjeldahl nitrogen: ammonia nitrogen + organic nitrogen)
"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Total nitrogen (TKN + nitrate + nitrite)
OD664b/OD665a,OD664b/OD665a
Organic Carbon,Organic carbon
Orthophosphate,Orthophosphate
Orthophosphate ,Orthophosphate 
"Orthophosphate, Filtered","Orthophosphate, Filtered"
pH,pH
"pH, bottom","pH, bottom"
Phaeophytin a,Phaeophytin a
Pheophytin a,Pheophytin a
Phosphorus- Total,Phosphorus (total)
Phycoerythrin,Phycoerythrin
"Phycoerythrin, bottom","Phycoerythrin, bottom"
Primidone,Primidone
Pyraclostrobin,Pyraclostrobin
Ruminant specific Bacteroidetes BacR genetic marker,Ruminant specific Bacteroidetes BacR genetic marker
Salinity,Salinity
"Salinity, bottom","Salinity, bottom"
Secchi Disk,Secchi Disk
Silvex,Silvex
Specific Conductance,Specific conductance
"Specific Conductance, bottom","Specific Conductance, bottom"
Sucralose,Sucralose
Sulfate,Sulfate
TDS,Total dissolved solids
"Temperature, Water",Water temperature
Thiamethoxam,Thiamethoxam
Tolfenpyrad,Tolfenpyrad
Total Alkalinity ,Total Alkalinity 
Total Kjeldahl Nitrogen,TKN (Total Kjeldahl nitrogen: ammonia nitrogen + organic nitrogen)
Total Kjeldahl Nitrogen ,TKN (Total Kjeldahl nitrogen: ammonia nitrogen + organic nitrogen)
Total Kjeldahl Nitrogen  ,TKN (Total Kjeldahl nitrogen: ammonia nitrogen + organic nitrogen)
Total Kjeldahl Nitrogen Filtered,Total Kjeldahl Nitrogen Filtered
Total Nitrogen,Total nitrogen (TKN + nitrate + nitrite)
Total Phosphorus,Phosphorus (total)
Total Phosphorus ,Phosphorus (total)
Total Suspended Solids,Total dissolved solids
Triclopyr,Triclopyr
Turbidity,Turbidity
Turbidity ,Turbidity
Water Depth,Water Depth
Water temperature,Water temperature
"Water temperature, bottom","Water temperature, bottom"
Wind Direction,Wind Direction
Wind Speed,Wind Speed
