Station Code,DateTimeStamp,Monitoring Program,REP,F_Record,PO4F_C,PO4F,F_PO4F,TDP_C,TDP,F_TDP,TP_C,TP,F_TP,PHOSP_C,PHOSP,F_PHOSP,NH4F_C,NH4F,F_NH4F,NO2F_C,NO2F,F_NO2F,NO3F_C,NO3F,F_NO3F,NO23F_C,NO23F,F_NO23F,DIN_C,DIN,F_DIN,TDN_C,TDN,F_TDN,TN_C,TN,F_TN,PN_C,PN,F_PN,UncCHLa_N_C,UncCHLa_N,F_UncCHLa_N,CHLA_N_C,CHLA_N,F_CHLA_N,PHEA_C,PHEA,F_PHEA,POC_C,POC,F_POC,SiO4F_C,SiO4F,F_SiO4F,TSS_C,TSS,F_TSS,WTEM_N_C,WTEM_N,F_WTEM_N,SALT_N_C,SALT_N,F_SALT_N,DO_N_C,DO_N,F_DO_N,PH_N_C,PH_N,F_PH_N,TURB_N_C,TURB_N,F_TURB_N,COLOR_C,COLOR,F_COLOR,SECCHI_C,SECCHI,F_SECCHI,IRR0_N_C,IRR0_N,F_IRR0_N,IRR1_N_C,IRR1_N,F_IRR1_N,Kd_N_C,Kd_N,F_Kd_N
gtmpcnut,1/16/2006 13:30,2,1,,,0.009,<4>,,0.03,<4>,,0.067,<4>,C,0.037,<4>,,0.04,<4>,,0.0057,<4>,C,0.0025,<4>,,0.0082,<4>,C,0.048,<4>,,0.3672,<4>,,0.7364,<4>,C,0.3692,<4>,,1.6,<4>,,0.9,<4>,,1.8,<4>,,1.1,<4>,,1.757,<4>,M,,<4>,M,,<4>,,24,<4>,M,,<4>,M,,<4>,,4.6,<4>,,45,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/16/2006 16:00,2,1,,,0.014,<4>,,0.035,<4>,,0.059,<4>,C,0.024,<4>,,0.053,<4>,,0.0053,<4>,C,0.0084,<4>,,0.0137,<4>,C,0.067,<4>,,0.4341,<4>,,0.6844,<4>,C,0.2503,<4>,,1.4,<4>,,1,<4>,,1.5,<4>,,1.03,<4>,,1.964,<4>,M,,<4>,M,,<4>,,19,<4>,M,,<4>,M,,<4>,,5.8,<4>,,68,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/16/2006 18:30,2,1,,,0.018,<4>,,0.037,<4>,,0.059,<4>,C,0.022,<4>,,0.105,<4>,,0.0057,<4>,C,0.0093,<4>,,0.015,<4>,C,0.12,<4>,,0.456,<4>,,0.6825,<4>,C,0.2265,<4>,,1.7,<4>,,1,<4>,,2,<4>,,0.92,<4>,,2.131,<4>,M,,<4>,M,,<4>,,19,<4>,M,,<4>,M,,<4>,,4.5,<4>,,72,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/16/2006 21:00,2,1,,,0.025,<4>,,0.043,<4>,,0.068,<4>,C,0.025,<4>,,0.092,<4>,,0.0071,<4>,C,0.012,<4>,,0.0191,<4>,C,0.111,<4>,,0.5024,<4>,,0.7469,<4>,C,0.2445,<4>,,1.6,<4>,,0.8,<4>,,2,<4>,,0.8,<4>,,3.188,<4>,M,,<4>,M,,<4>,,14,<4>,M,,<4>,M,,<4>,,3.5,<4>,,96,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/16/2006 23:30,2,1,,,0.023,<4>,,0.045,<4>,,0.059,<4>,C,0.014,<4>,,0.043,<4>,,0.0074,<4>,C,0.0106,<4>,,0.018,<4>,C,0.061,<4>,,0.4875,<4>,,0.6356,<4>,C,0.1481,<4>,,1.2,<4>,,0.7,<4>,,1.4,<4>,,0.9,<4>,,3.371,<4>,M,,<4>,M,,<4>,,13,<4>,M,,<4>,M,,<4>,,3.8,<4>,,92,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/17/2006 2:00,2,1,,,0.018,<4>,,0.041,<4>,,0.067,<4>,C,0.026,<4>,,0.042,<4>,,0.007,<4>,C,0.0069,<4>,,0.0139,<4>,C,0.056,<4>,,0.4274,<4>,,0.7749,<4>,C,0.3475,<4>,,1.1,<4>,,0.8,<4>,,1.1,<4>,,0.86,<4>,,2.274,<4>,M,,<4>,M,,<4>,,20,<4>,M,,<4>,M,,<4>,,4.1,<4>,,63,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/17/2006 4:30,2,1,,,0.018,<4>,,0.039,<4>,,0.06,<4>,C,0.021,<4>,,0.044,<4>,,0.0068,<4>,C,0.0079,<4>,,0.0147,<4>,C,0.059,<4>,,0.4407,<4>,,0.6297,<4>,C,0.189,<4>,,2,<4>,,1,<4>,,2.4,<4>,,0.91,<4>,,2.378,<4>,M,,<4>,M,,<4>,,19,<4>,M,,<4>,M,,<4>,,4.9,<4>,,68,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/17/2006 7:00,2,1,,,0.02,<4>,,0.039,<4>,,0.063,<4>,C,0.024,<4>,,0.073,<4>,,0.0072,<4>,C,0.0093,<4>,,0.0165,<4>,C,0.09,<4>,,0.4775,<4>,,0.6236,<4>,C,0.1461,<4>,,1.8,<4>,,1.3,<4>,,1.9,<4>,,0.8,<4>,,2.87,<4>,M,,<4>,M,,<4>,,18,<4>,M,,<4>,M,,<4>,,4.3,<4>,,76,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/17/2006 9:30,2,1,,,0.024,<4>,,0.043,<4>,,0.061,<4>,C,0.018,<4>,,0.048,<4>,,0.0069,<4>,C,0.0132,<4>,,0.0201,<4>,C,0.068,<4>,,0.4745,<4>,,0.614,<4>,C,0.1395,<4>,,0.9,<4>,,0.4,<4>,,1.2,<4>,,0.75,<4>,,3.021,<4>,M,,<4>,M,,<4>,,15,<4>,M,,<4>,M,,<4>,,3.3,<4>,,89,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpcnut,1/17/2006 12:00,2,1,,,0.02,<4>,,0.036,<4>,,0.067,<4>,C,0.031,<4>,,0.046,<4>,,0.0066,<4>,C,0.0068,<4>,,0.0134,<4>,C,0.059,<4>,,0.378,<4>,,0.6119,<4>,C,0.2339,<4>,,2.2,<4>,,1.9,<4>,,2,<4>,,1.15,<4>,,3.296,<4>,M,,<4>,M,,<4>,,16,<4>,M,,<4>,M,,<4>,,5.1,<4>,,91,<4>,M,,<4>,M,,<4>,M,,<4>,C - M,,<4>
gtmpinut,1/17/2006 12:41,1,1,,,0.016,<4>,,0.031,<4>,,0.051,<4>,C,0.02,<4>,,0.03,<4>,,0.0062,<4>,C,0.0037,<4>,,0.0099,<4>,C,0.04,<4>,,0.3271,<4>,,0.523,<4>,C,0.1959,<4>,,1.4,<4>,,1.1,<4>,,1.3,<4>,,0.78,<4>,,1.069,<4>,,49,<4>,,14.4,<4>,,26.8,<4>,,8.2,<4>,,7.9,<4>,,4.5,<4>,,27,<4>,,1.4,<4>,,1367,<4>,,220.3,<4>,C,1.825,<4>
gtmpinut,1/17/2006 12:42,1,2,,,0.016,<4>,,0.033,<4>,,0.057,<4>,C,0.024,<4>,,0.045,<4>,,0.0065,<4>,C,0.0023,<4>,,0.0088,<4>,C,0.054,<4>,,0.424,<4>,,0.6564,<4>,C,0.2324,<4>,,2.3,<4>,,2.2,<4>,,1.8,<4>,,0.82,<4>,,1.177,<4>,,42,<4>,,14.4,<4>,,26.8,<4>,,8.2,<4>,,7.9,<4>,,3.7,<4>,,29,<4>,,1.4,<4>,,1367,<4>,,220.3,<4>,C,1.825,<4>
gtmpcnut,1/17/2006 14:16,1,1,,,0.026,<4>,,0.05,<4>,,0.065,<4>,C,0.015,<4>,,0.055,<4>,,0.0056,<4>,C,0.0123,<4>,,0.0179,<4>,C,0.073,<4>,,0.5406,<4>,,0.673,<4>,C,0.1324,<4>,,1.5,<4>,,1.1,<4>,,1.5,<4>,,1.31,<4>,M,,<4>,,21,<4>,,16.3,<4>,,31,<4>,,8.4,<4>,,8,<4>,,4.5,<4>,,106,<4>,,1.4,<4>,,619.2,<4>,,130.9,<4>,C,1.554,<4>
