Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TDP,F_TDP,TP,F_TP,PHOSP,F_PHOSP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TDN,F_TDN,TN,F_TN,PN,F_PN,UncCHLa_N,F_UncCHLa_N,CHLA_N,F_CHLA_N,PHEA,F_PHEA,POC,F_POC,SiO4F,F_SiO4F,TSS,F_TSS,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,TURB_N,F_TURB_N,Color,F_Color,SECCHI,F_SECCHI,IRR0_N,F_IRR0_N,IRR1_N,F_IRR1_N,Kd_N,F_Kd_N
gtmpcnut,01/07/2008 10:30,2,1,,0.019,0,0.034,0,0.051,0,0.017,0,0.037,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0124,0,0.049,0,0.183,0,0.281,0,0.0984,0,4.0,0,2.7,0,2.5,0,1.20,0,3.66,0,44.0,0,,<-1>,25.0,0,,<-1>,,<-1>,4.5,0,53.5,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/07/2008 13:00,2,1,,0.023,0,0.037,0,0.047,0,0.010,0,0.030,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0135,0,0.043,0,0.253,0,0.294,0,0.0407,0,3.1,0,2.2,0,1.6,0,0.97,0,3.97,0,33.0,0,,<-1>,23.0,0,,<-1>,,<-1>,3.2,0,61.6,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/07/2008 15:30,2,1,,0.024,0,0.037,0,0.049,0,0.012,0,0.032,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0137,0,0.046,0,0.225,0,0.269,0,0.0437,0,2.5,0,1.8,0,1.3,0,0.85,0,3.89,0,37.3,0,,<-1>,24.0,0,,<-1>,,<-1>,4.5,0,60.5,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/07/2008 18:00,2,1,,0.026,0,0.039,0,0.053,0,0.014,0,0.036,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0152,0,0.051,0,0.363,0,0.398,0,0.0349,0,4.0,0,3.2,0,1.5,0,0.83,0,4.90,0,32.3,0,,<-1>,22.0,0,,<-1>,,<-1>,3.3,0,64.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/07/2008 20:30,2,1,,0.027,0,0.040,0,0.053,0,0.013,0,0.028,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0135,0,0.042,0,0.228,0,0.260,0,0.0318,0,4.2,0,3.5,0,1.3,0,1.12,0,4.47,0,34.0,0,,<-1>,21.0,0,,<-1>,,<-1>,4.4,0,64.9,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/07/2008 23:00,2,1,,0.024,0,0.036,0,0.046,0,0.010,0,0.027,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0124,0,0.039,0,0.323,0,0.384,0,0.0616,0,5.2,0,4.2,0,1.9,0,1.00,0,4.29,0,34.0,0,,<-1>,23.0,0,,<-1>,,<-1>,3.5,0,57.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/08/2008 01:30,2,1,,0.025,0,0.037,0,0.058,0,0.021,0,0.025,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0132,0,0.038,0,0.264,0,0.393,0,0.1287,0,8.8,0,7.6,0,2.4,0,1.07,0,4.28,0,31.7,0,,<-1>,23.0,0,,<-1>,,<-1>,4.3,0,61.6,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/08/2008 04:00,2,1,,0.025,0,0.039,0,0.054,0,0.015,0,0.035,<1> (CHB),0.0043,<-4> [SBL],,<-4> [SCB],0.0131,0,0.048,<1> (CHB),0.243,0,0.303,0,0.0600,0,8.3,0,7.4,0,1.8,0,0.91,0,4.57,0,29.0,0,,<-1>,22.0,0,,<-1>,,<-1>,3.7,0,58.3,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmpcnut,01/08/2008 06:30,2,1,,0.027,0,0.040,0,0.048,0,0.008,0,0.039,0,0.0058,0,0.0090,0,0.0148,0,0.054,0,0.252,0,0.262,0,0.0105,0,3.9,0,3.1,0,1.4,0,0.70,0,4.40,0,30.3,0,,<-1>,23.0,0,,<-1>,,<-1>,3.4,0,57.2,0,,<-1>,,<-1>,,<-1>,,<-1>
gtmssnut,01/08/2008 08:51,1,1,,0.006,0,0.012,0,0.021,0,0.009,0,0.019,0,0.0043,<-4> [SBL],,<-4> [SCB],0.0075,0,0.026,0,0.207,<1> [SCC],0.198,<1> [SCC],-0.0083,<-3> [SNV],2.6,0,2.4,0,0.3,0,0.52,0,0.31,<-4> [SBL],32.2,0,15.6,0,32.9,0,8.2,0,7.4,0,2.6,0,8.3,0,2.3,0,212.9,0,74.6,0,1.049,0
