Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI
gtmpcnut,01/12/2014 09:30,2,1,,0.032,0,0.083,0,0.052,0,0.005,<1> (CHB),0.019,<1> (CHB),0.024,0,0.076,0,0.750,0,0.698,0,1.30,<1> (CHB),2.70,<1> (CHB),2.20,<1> (CHB),41,0,,<-2> [GDM] (CSM),17.60,0,11.70,0,6.60,0,7.30,0,,<-1>
gtmpcnut,01/12/2014 12:00,2,1,,0.038,<1> (CHB),0.078,0,0.059,0,0.005,<1> (CHB),0.022,<1> (CHB),0.027,0,0.086,0,0.690,0,0.631,0,0.94,0,1.80,0,1.30,0,23,0,11,<1> (CHB),17.60,0,11.10,0,6.20,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 14:30,2,1,,0.037,0,0.074,0,0.079,0,0.006,<1> (CHB),0.037,<1> (CHB),0.043,0,0.122,0,0.690,0,0.611,0,0.85,<1> [SBL],2.00,0,1.80,0,18,0,16,<1> (CHB),17.50,0,9.50,0,6.70,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 17:00,2,1,,0.044,0,0.075,0,0.088,0,0.006,<1> [GQS] (CSM),0.045,<1> [GQS] (CSM),0.051,0,0.139,0,0.750,0,0.662,0,0.82,<1> [SBL],1.60,0,1.40,0,18,0,24,<1> (CHB),17.40,0,8.50,0,6.10,0,7.20,0,,<-1>
gtmpcnut,01/12/2014 19:30,2,1,,0.040,0,0.076,0,0.081,0,0.006,0,0.031,0,0.037,0,0.118,0,0.700,0,0.619,0,0.83,<1> [SBL],1.60,0,1.30,0,19,0,15,<1> (CHB),17.70,0,5.90,0,6.80,0,7.10,0,,<-1>
gtmpcnut,01/12/2014 22:00,2,1,,0.039,0,0.067,0,0.078,0,0.005,0,0.027,0,0.032,0,0.110,0,0.710,0,0.632,0,0.94,0,1.70,0,1.20,0,16,0,18,<1> (CHB),17.60,0,10.50,0,5.90,0,7.20,0,,<-1>
gtmpcnut,01/13/2014 00:30,2,1,,0.042,0,0.083,0,0.092,0,0.006,0,0.034,0,0.040,0,0.132,0,0.770,0,0.678,0,1.20,0,1.90,0,1.20,0,19,0,25,<1> (CHB),17.60,0,8.60,0,5.80,0,7.10,0,,<-1>
gtmpcnut,01/13/2014 03:00,2,1,,0.043,0,0.074,0,0.091,0,0.006,<1> [GQS] (CSM),0.039,<1> [GQS] (CSM),0.046,0,0.137,0,0.780,0,0.689,0,0.66,0,1.50,0,1.30,0,11,0,15,<1> (CHB),17.50,0,7.30,0,6.10,0,7.10,0,,<-1>
gtmpcnut,01/13/2014 05:30,2,1,,0.044,0,0.082,0,0.090,0,0.007,0,0.061,0,0.068,0,0.158,0,0.840,0,0.750,0,0.73,0,1.70,0,1.50,0,18,0,15,<1> (CHB),16.60,0,3.60,0,6.60,0,7.00,0,,<-1>
gtmpcnut,01/13/2014 08:00,2,1,,0.041,0,0.096,0,0.063,0,0.006,0,0.019,0,0.024,0,0.087,0,0.790,0,0.727,0,1.60,0,3.00,0,2.20,0,32,0,26,<1> (CHB),15.30,0,4.10,0,7.00,0,7.10,0,,<-1>
gtmpinut,01/13/2014 09:35,1,1,,0.025,0,0.051,0,0.034,0,0.002,<-4> [SBL],,<-4> [SCB],0.020,0,0.054,0,0.470,0,0.436,0,2.00,0,2.50,0,0.73,0,8,0,15,<1> (CHB),14.70,0,24.54,0,7.76,0,7.58,0,1.25,0
gtmpinut,01/13/2014 09:45,1,2,,0.026,0,0.051,0,0.031,0,0.002,<-4> [SBL],,<-4> [SCB],0.020,0,0.051,0,0.080,<-4> [SBL],,<-4> [SCB],2.10,0,2.50,0,0.58,0,8,0,11,<1> (CHB),14.70,0,24.54,0,7.76,0,7.58,0,,<-1>
gtmpcnut,01/13/2014 10:00,1,1,,0.066,0,0.095,0,0.034,0,0.005,0,0.022,0,0.027,0,0.061,0,0.720,0,0.686,0,2.30,0,3.30,0,1.40,0,8,0,,<-2> [GDM],14.70,0,11.50,0,7.10,0,6.00,0,0.40,0
gtmpcnut,01/13/2014 10:21,1,2,,0.042,0,0.073,0,0.033,0,0.005,0,0.011,0,0.016,0,0.049,0,0.800,0,0.767,0,2.50,0,3.40,0,1.30,0,10,0,25,<1> (CHB),14.70,0,10.40,0,7.10,0,6.00,0,,<-1>
gtmpcnut,01/13/2014 10:30,2,1,,0.033,0,0.074,0,0.036,0,0.004,0,0.009,0,0.014,0,0.050,0,0.700,0,0.664,0,1.40,0,3.00,0,2.50,0,24,0,21,<1> (CHB),14.90,0,13.20,0,7.10,0,7.50,0,,<-1>
gtmssnut,01/13/2014 10:47,1,1,,0.018,0,0.042,0,0.067,0,0.002,0,0.022,0,0.025,0,0.092,0,0.500,0,0.433,0,2.90,<1> (CSM),3.50,<1> (CSM),0.77,0,9,0,15,<1> (CHB),14.90,0,31.53,0,7.71,0,7.88,0,1.50,0
gtmssnut,01/13/2014 10:57,1,2,,0.018,0,0.044,0,0.066,0,0.002,0,0.024,0,0.027,0,0.093,0,0.430,0,0.364,0,2.80,0,3.50,0,0.91,0,9,0,18,<1> (CHB),14.90,0,31.53,0,7.71,0,7.88,0,,<-1>
gtmfmnut,01/13/2014 12:13,1,1,,0.011,0,0.029,0,0.014,0,0.002,<-4> [SBL],,<-4> [SCB],0.008,0,0.022,0,0.330,0,0.316,0,1.70,0,2.00,0,0.40,<-4> [SBL],7,0,2,<1> (CHB),15.00,0,33.07,0,7.81,0,8.01,0,1.75,0
gtmfmnut,01/13/2014 12:31,1,2,,0.009,0,0.033,0,0.012,0,0.002,<-4> [SBL],,<-4> [SCB],0.008,0,0.020,0,0.320,0,0.308,0,1.80,0,2.10,0,0.40,<-4> [SBL],9,0,2,<1> (CHB),15.00,0,33.07,0,7.81,0,8.01,0,,<-1>
gtmpcnut,02/25/2014 12:00,2,1,,0.036,0,0.071,0,0.031,0,0.003,<1> (CHB),0.006,<1> (CHB),0.009,0,0.040,0,0.094,0,0.063,0,1.20,0,2.10,0,1.40,0,8,0,210,<1> (CHB),17.70,0,0.40,0,6.50,0,6.00,0,,<-1>
gtmpcnut,02/25/2014 14:30,2,1,,0.034,0,0.068,0,0.024,0,0.003,<-4> [SBL],,<-4> [SCB],0.011,0,0.035,0,1.000,0,0.976,0,1.90,0,2.50,0,0.99,0,4,0,280,<1> (CHB),19.30,0,0.10,0,6.60,0,6.60,0,,<-1>
gtmpcnut,02/25/2014 17:00,2,1,,0.038,0,0.089,0,0.032,0,0.003,<-4> [SBL],,<-4> [SCB],0.008,0,0.040,0,1.100,0,1.068,0,1.20,0,1.90,0,1.10,0,16,0,150,<1> (CHB),19.70,0,0.30,0,6.60,0,6.60,0,,<-1>
gtmpcnut,02/25/2014 19:30,2,1,,0.036,0,0.084,0,0.050,0,0.004,0,0.016,0,0.019,0,0.069,0,0.900,0,0.850,0,2.10,0,3.10,0,1.50,0,14,0,120,<1> (CHB),20.40,0,2.10,0,6.60,0,6.70,0,,<-1>
gtmpcnut,02/25/2014 22:00,2,1,,0.036,0,0.081,0,0.028,0,0.003,<-4> [SBL],,<-4> [SCB],0.006,0,0.034,0,0.910,0,0.882,0,1.20,0,1.90,0,1.10,0,12,0,110,<1> (CHB),19.20,0,0.20,0,6.50,0,6.60,0,,<-1>
gtmpcnut,02/26/2014 00:30,2,1,,0.035,0,0.066,0,0.036,0,0.003,<-4> [SBL],,<-4> [SCB],0.004,<-4> [SBL],,<-4> [SCB],0.920,0,0.884,0,1.00,0,1.50,0,0.69,0,5,0,130,<1> (CHB),18.80,0,0.10,0,6.50,0,6.50,0,,<-1>
gtmpcnut,02/26/2014 03:00,2,1,,0.035,0,0.062,0,0.035,0,0.004,0,0.004,<-4> [SBL],0.004,0,0.039,0,0.960,0,0.925,0,0.93,0,1.40,0,0.68,0,2,0,120,<1> (CHB),18.20,0,0.10,0,6.50,0,6.50,0,,<-1>
gtmpcnut,02/26/2014 05:30,2,1,,0.037,0,0.069,0,0.036,0,0.004,0,0.004,<-4> [SBL],0.007,0,0.043,0,0.910,0,0.874,0,1.70,0,2.50,0,1.10,0,6,0,150,<1> (CHB),18.20,0,0.20,0,6.40,0,6.60,0,,<-1>
gtmpcnut,02/26/2014 08:00,2,1,,0.028,0,0.080,0,0.058,0,0.008,<1> [GQS] (CSM),0.004,<-4> [SBL] (CSM),0.007,0,0.065,0,0.850,0,0.792,0,3.60,0,5.30,0,2.70,0,21,0,74,<1> (CHB),19.30,0,12.50,0,6.30,0,7.20,0,,<-1>
gtmpinut,02/26/2014 08:34,1,1,,0.024,0,0.049,0,0.048,0,0.003,0,0.010,0,0.012,0,0.060,0,0.550,0,0.502,0,2.80,0,3.40,0,0.83,0,8,0,2,<1> (CHB),18.60,0,21.86,0,6.31,0,7.51,0,1.00,0
gtmpinut,02/26/2014 08:36,1,2,,0.023,0,0.050,0,0.045,0,0.003,0,0.008,0,0.011,0,0.056,0,0.590,0,0.545,0,3.20,0,3.90,0,1.00,0,7,0,5,<1> (CHB),18.60,0,21.86,0,6.31,0,7.51,0,,<-1>
gtmssnut,02/26/2014 09:33,1,1,,0.022,0,0.053,0,0.100,0,0.004,0,0.010,0,0.014,0,0.240,0,0.510,0,0.410,0,2.50,0,3.50,0,1.50,0,14,0,26,<1> (CHB),17.90,0,30.42,0,6.36,0,7.87,0,1.30,0
gtmssnut,02/26/2014 09:42,1,2,,0.024,0,0.047,0,0.099,0,0.002,<-4> [SBL],,<-4> [SCB],0.013,0,0.112,0,0.470,0,0.371,0,2.30,0,3.30,0,1.50,0,14,<1> (CSM),26,<1> (CHB),17.90,0,30.42,0,6.36,0,7.87,0,,<-1>
gtmpcnut,02/26/2014 10:30,2,1,,0.028,0,0.062,0,0.053,0,0.007,0,0.004,<-4> [SBL],0.007,0,0.060,0,0.790,0,0.737,0,2.20,0,3.30,0,1.70,0,13,0,100,<1> (CHB),19.00,0,13.40,0,6.40,0,7.20,0,,<-1>
gtmfmnut,02/26/2014 10:31,1,1,,0.018,0,0.039,0,0.056,0,0.002,0,0.004,0,0.006,0,0.062,0,0.490,0,0.434,0,1.40,0,1.70,<1> (CSM),0.50,0,7,0,8,<1> (CHB),18.50,0,31.98,0,6.07,0,7.90,0,1.20,0
gtmfmnut,02/26/2014 10:42,1,2,,0.018,0,0.042,0,0.064,0,0.002,0,0.005,0,0.007,0,0.071,0,0.550,0,0.486,0,1.90,0,2.10,0,0.40,<-4> [SBL],8,0,2,<1> (CHB),18.50,0,31.98,0,6.07,0,7.90,0,,<-1>
gtmpcnut,02/26/2014 10:52,1,1,,0.037,0,0.071,0,0.026,0,0.003,0,0.013,0,0.016,0,0.042,0,1.000,<1> [GQS] (CSM),0.974,<1> [GQS] (CSM),1.90,0,2.60,0,1.10,0,10,0,120,<1> (CHB),18.40,0,2.50,0,,<-2> [GDM],7.00,0,0.30,0
