Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI
gtmpcnut,1/20/2015 9:47:00 AM,1,1,,0.027,,0.051,,0.014,,0.008,<1> [SCC] (CSM),-0.003,<-3> [SNV],0.005,<1> [SCC],0.019,,0.755,,0.75,,0.736,,2.2,<1> (CSM),2.8,<1> (CSM),0.99,,6,,160,<1> (CHB),,,11.9,,5.7,,8.29,,6.82,,0.58,
gtmpcnut,1/20/2015 10:09:00 AM,1,2,,0.025,,0.054,,0.015,,0.007,<1> [SCC],-0.001,<-3> [SNV],0.006,<1> [SCC],0.021,,1.006,,1,<1> (CSM),0.985,,1.9,,2.7,,1.2,,15,<1> (CSM),130,<1> (CHB),,,12.3,,9.75,,8.13,,7.05,,0.58,
gtmpcnut,1/19/2015 9:30:00 AM,2,1,,0.019,<1> (CHB),0.053,,0.021,,0.005,<1> [SCC],-0.001,<-3> [SNV],0.004,<1> [SCC],0.025,,0.644,,0.64,,0.619,,1.8,<1> (CHB),3.3,<1> (CHB),1.3,<1> (CHB),19,,,<-2> (CHB),,,17.79,,14.66,,8.16,,7.48,,,
gtmpcnut,1/19/2015 12:00:00 PM,2,1,,0.024,,0.045,,0.02,,0.004,<1> (CHB),0,,0.004,<-4> [SBL],0.024,,,<-4> [SCB],0.59,,0.57,,1.4,,2.4,,1.5,,11,,98,<1> (CHB),,,12.85,,14.5,,8.2,,7.54,,,
gtmpcnut,1/19/2015 2:30:00 PM,2,1,,0.024,,0.057,,0.016,,0.003,<-4> [SBL],0.005,,0.008,,0.024,,0.838,,0.83,,0.814,,0.76,,1.6,,1.3,,11,,270,<1> (CHB),,,13.33,,1.72,,8.06,,6.67,,,
gtmpcnut,1/19/2015 5:00:00 PM,2,1,,0.027,,0.049,,0.009,,0.003,<-4> [SBL],0.003,,0.006,,0.015,,0.836,,0.83,,0.821,,0.55,<-4> [SBL],0.58,,0.4,<-4> [SBL],2,<-4> [SBL],200,<1> (CHB),,,13.68,,0.39,,7.96,,6.47,,,
gtmpcnut,1/19/2015 7:30:00 PM,2,1,,0.026,,0.053,,0.016,,0.003,<-4> [SBL],0.005,,0.008,,0.024,,0.848,,0.84,,0.824,,0.55,,0.94,,0.61,,6,,190,<1> (CHB),,,13.56,,1.14,,8.01,,6.51,,,
gtmpcnut,1/19/2015 10:00:00 PM,2,1,,0.024,,0.048,,0.017,,0.007,<1> [SCC],-0.003,<-3> [SNV],0.004,<1> [SCC],0.021,,0.804,,0.8,,0.783,,0.97,,1.7,,1.1,,8,,130,<1> (CHB),,,13.28,,5.01,,8.3,,6.88,,,
gtmpcnut,1/20/2015 12:30:00 AM,2,1,,0.023,,0.053,,0.014,,0.003,<-4> [SBL],0.005,,0.008,,0.022,,0.828,,0.82,,0.806,,0.55,<-4> [SBL],0.94,,0.62,,4,,130,<1> (CHB),,,12.89,,1.42,,8.08,,6.68,,,
gtmpcnut,1/20/2015 3:00:00 AM,2,1,,0.023,,0.049,,0.015,,0.003,<-4> [SBL],0.004,,0.007,,0.022,,0.847,,0.84,,0.825,,0.55,<-4> [SBL],0.4,<-4> [SBL],0.5,,4,,140,<1> (CHB),,,12.71,,0.29,,7.85,,6.45,,,
gtmpcnut,1/20/2015 5:30:00 AM,2,1,,0.028,,0.049,,0.014,,0.003,<-4> [SBL],0.004,,0.007,,0.021,,0.887,,0.88,,0.866,,0.55,<-4> [SBL],0.4,<-4> [SBL],0.4,<-4> [SBL],3,,220,<1> (CHB),,,12.55,,0.14,,7.67,,6.42,,,
gtmpcnut,1/20/2015 8:00:00 AM,2,1,,0.03,,0.05,,0.013,,0.003,<-4> [SBL],0.005,,0.008,,0.021,,0.888,,0.88,,0.867,,0.55,<-4> [SBL],0.63,,0.4,<-4> [SBL],2,,210,<1> (CHB),,,12.12,,0.45,,7.83,,6.49,,,
gtmpcnut,1/20/2015 10:30:00 AM,2,1,,0.019,,0.059,,0.018,,0.005,<1> [SCC],-0.001,<-3> [SNV],0.004,<1> [SCC],0.022,,0.754,,0.75,,0.732,,2.4,,3.9,,2.4,,23,,96,<1> (CHB),,,12.9,,15.42,,8.12,,7.5,,,
gtmpinut,1/20/2015 10:14:00 AM,1,1,,0.026,,0.044,<1> [SRD],0.016,,0.002,<-4> [SBL],0.014,,0.016,,0.032,,0.536,,0.52,,0.504,,3,,3.9,,1.4,,11,,3,<1> (CHB),,,13.4,,23.5,,9.57,,8.59,,,<-1> [GDM]
gtmpinut,1/20/2015 10:25:00 AM,1,2,,0.029,,0.059,<1> [SRD],0.016,,0.002,<-4> [SBL],0.015,,0.017,,0.033,,0.587,,0.57,,0.554,,2.8,,3.5,,0.99,,10,,2,<1> (CHB),,,13.4,,23.5,,9.57,,8.59,,,<-1> [GDM]
gtmssnut,1/20/2015 11:21:00 AM,1,1,,0.013,,0.043,,0.018,,0.002,<-4> [SBL],0.009,,0.011,,0.029,,0.391,,0.38,,0.362,,3.8,,5,,1.8,,13,,42,<1> (CHB),,,13.2,,29.19,,11.09,,8.13,,,<-1> [GDM]
gtmssnut,1/20/2015 11:32:00 AM,1,2,,0.013,,0.045,,0.016,,0.002,<-4> [SBL],0.009,,0.011,,0.027,,0.361,,0.35,,0.334,,3,,3.9,,1.3,,12,,42,<1> (CHB),,,13.2,,29.19,,11.09,,8.13,,,<-1> [GDM]
gtmfmnut,1/20/2015 12:39:00 PM,1,1,,0.016,,0.033,,0.015,,0.002,<-4> [SBL],0.003,,0.005,,0.02,,0.335,,0.33,,0.315,,1.8,,2.2,,0.58,,10,,6,<1> (CHB),,,13.7,,28.32,,10.5,,8.1,,,<-1> [GDM]
gtmfmnut,1/20/2015 12:42:00 PM,1,2,,0.015,,0.032,,0.016,,0.002,<-4> [SBL],0.003,,0.005,,0.021,,0.345,,0.34,,0.324,,1.7,,2.1,,0.55,,11,<1> (CSM),8,<1> (CHB),,,13.7,,28.32,,10.5,,8.1,,,<-1> [GDM]
