Station Code,DateTimeStamp,Monitoring Program,Rep,F_Record,PO4F,F_PO4F,TP,F_TP,NH4F,F_NH4F,NO2F,F_NO2F,NO3F,F_NO3F,NO23F,F_NO23F,DIN,F_DIN,TN,F_TN,TKN,F_TKN,TKNF,F_TKNF,TON,F_TON,CHLA_N,F_CHLA_N,UncCHLa_N,F_UncCHLa_N,PHEA,F_PHEA,TSS,F_TSS,FECCOL_CFU,F_FECCOL_CFU,ECOLI_MPN,F_ECOLI_MPN,WTEM_N,F_WTEM_N,SALT_N,F_SALT_N,DO_N,F_DO_N,PH_N,F_PH_N,SECCHI,F_SECCHI,DOC,F_DOC
gtmpcnut,1/15/2018 9:30:00 AM,2,1, ,0.038,<1> (CHB),0.079, ,0.048, ,0.003,<1> [SBL] (CHB),0.024,,0.027, ,0.075,,0.857,,0.83, ,0.84, ,0.782,,1.8,<1> (CHB),2.8,<1> (CHB),1.5,<1> (CHB),11, , ,<-2> [GDM], ,<-1>  ,11.31, ,,<-1>  ,9.08, ,7.1, ,,<-1>  ,28, 
gtmpcnut,1/15/2018 12:00:00 PM,2,1, ,0.034,<1> (CHB),0.07, ,0.036, ,0.006,<1> (CSM),0.009,,0.015, ,0.051,,0.775,,0.76, , ,<-1>  ,0.724,,1.8,<1> (CHB),2.6,<1> (CHB),1.1,<1> (CHB),10, ,,<-2> [GDM], ,<-1>  ,10.72, ,,<-1>  ,9.69, ,7.55, ,,<-1>  ,24, 
gtmpcnut,1/15/2018 2:30:00 PM,2,1, ,0.036, ,0.08, ,0.028, ,0.002,<-4> [SBL],0.016,,0.019, ,0.047,,1.119,,1.1, , ,<-1>  ,1.072,,1.1,,1.9, ,1.1,,15, ,240,<1> (CHB), ,<-1>  ,13.57, ,,<-1>  ,8.26, ,6.87, ,,<-1>  ,32, 
gtmpcnut,1/15/2018 5:00:00 PM,2,1, ,0.036, ,0.065, ,0.024, ,0.002,<-4> [SBL],0.012,,0.015, ,0.039,,1.115,,1.1, , ,<-1>  ,1.076,,0.56,,0.92,,0.56,,6,,300,<1> (CHB), ,<-1>  ,13.73, ,,<-1>  ,8.06, ,6.75, ,,<-1>  ,33, 
gtmpcnut,1/15/2018 7:30:00 PM,2,1, ,0.037, ,0.067, ,0.026, ,0.002,<-4> [SBL],0.013,,0.016, ,0.042,,0.986,,0.97, , ,<-1>  ,0.944,,0.55,<-4> [SBL],0.79,,0.4,,7,,220,<1> (CHB), ,<-1>  ,13.35, ,,<-1>  ,8.27, ,6.78, ,,<-1>  ,33, 
gtmpcnut,1/15/2018 10:00:00 PM,2,1, ,0.037, ,0.067, ,0.038, ,0.002,<-4> [SBL],0.018,,0.021, ,0.059,,0.921,,0.9, , ,<-1>  ,0.862,,0.64,,1.3,,1,,6,,320,<1> (CHB), ,<-1>  ,12.45, ,,<-1>  ,8.94, ,6.99, ,,<-1>  ,29, 
gtmpcnut,1/16/2018 12:30:00 AM,2,1, ,0.038, ,0.073, ,0.032, ,0.002,<-4> [SBL],0.015,,0.018, ,0.05,,1.018,,1, , ,<-1>  ,0.968,,0.55,<-4> [SBL],1,,0.86,,10,,340,<1> (CHB), ,<-1>  ,12.68, ,,<-1>  ,8.4, ,6.88, ,,<-1>  ,32, 
gtmpcnut,1/16/2018 3:00:00 AM,2,1, ,0.035, ,0.061, ,0.022, ,0.002,<-4> [SBL],0.01,,0.013, ,0.035,,0.953,,0.94, , ,<-1>  ,0.918,,0.55,<-4> [SBL],0.66,,0.4,<-4> [SBL],4,,310,<1> (CHB), ,<-1>  ,12.07, ,,<-1>  ,8.24, ,6.71, ,,<-1>  ,32, 
gtmpcnut,1/16/2018 5:30:00 AM,2,1, , ,<-2> (CSM),0.055, ,0.02, , ,<-2> (CSM),0.014,,0.014, ,0.034,,0.944,,0.93, , ,<-1>  ,0.91,,0.55,<-4> [SBL],0.51,,0.4,<-4> [SBL],3,,210,<1> (CHB), ,<-1>  ,11.67, ,,<-1>  ,8.17, ,6.66, ,,<-1>  ,32, 
gtmpcnut,1/16/2018 8:00:00 AM,2,1, ,0.036, ,0.062, ,0.028, ,0.002,<-4> [SBL],0.014,,0.017, ,0.045,,0.957,,0.94, , ,<-1>  ,0.912,,0.91,,1.2, ,0.48,,4,,310,<1> (CHB), ,<-1>  ,11.46, ,,<-1>  ,8.35, ,6.73, ,,<-1>  ,31, 
gtmpinut,1/16/2018 10:23:00 AM,1,1, ,0.036, ,0.057, ,0.04, ,0.002,,0.032,,0.034, ,0.074,,0.544,,0.51, ,0.51, ,0.47,,3.6, ,4, ,0.4,<-4> [SBL],6,,3,<1> (CHB), ,<-1>  ,11.5, ,24.53,,10.72, ,6.73, ,1.5,,8, 
gtmpinut,1/16/2018 10:26:00 AM,1,2, ,0.036, ,0.055, ,0.038, ,0.002,<-4> [SBL],0.028,,0.03, ,0.068,,0.51,,0.48, ,0.46, ,0.442,,3.4, ,3.7, ,0.4,<-4> [SBL],7,,7,<1> (CHB), ,<-1>  ,11.5, ,24.53,,10.72, ,6.73, ,1.5,,7.8, 
gtmpcnut,1/16/2018 10:30:00 AM,2,1, ,0.032, ,0.061, ,0.033, ,0.006,<1> (CSM),0.006,,0.012, ,0.045,,0.822,,0.81, , ,<-1>  ,0.777,,2.5, ,3.1, ,0.86,,7,<1> (CSM),150,<1> (CHB), ,<-1>  ,10.89, ,,<-1>  ,9.26, ,7.4, ,,<-1>  ,24, 
gtmpcnut,1/16/2018 10:54:00 AM,1,1, ,0.032, ,0.058, ,0.032, ,0.006, ,0.007,,0.013, ,0.045,,0.793,,0.78, ,0.67, ,0.748,,1.7, ,2.3, ,0.67,,7,,160,<1> (CHB),238,<1> (CSM)  ,11, ,11.6,,9.69, ,6.76, ,0.55,,22, 
gtmpcnut,1/16/2018 10:57:00 AM,1,2, ,0.032, ,0.056, ,0.027, ,0.006, ,0.004,,0.01, ,0.037,,0.88,,0.87, ,0.69, ,0.843,,1.8, ,2.4, ,0.88,,7,<1> (CSM),170,<1> (CHB), ,<-1>  ,11, ,11.6,,9.69, ,6.76, ,0.55,,22, 
gtmssnut,1/16/2018 11:38:00 AM,1,1, ,0.016, ,0.039, ,0.012, ,0.002,<-4> [SBL],0.026,,0.028, ,0.04,,0.338,,0.31,,0.36,,0.298,,3.3, ,3.9, ,0.74,,9,,16,<1> (CHB), ,<-1>  ,10.9, ,32.79,,10.94, ,7.21, ,1.5,,3.3, 
gtmssnut,1/16/2018 11:40:00 AM,1,2, ,0.017, ,0.037, ,0.01, ,0.002,<-4> [SBL],0.03,,0.032, ,0.042,,0.332,,0.3,,0.22,<1> (CSM),0.29,,4.1, ,4.8, ,0.92,,8,,25,<1> (CHB), ,<-1>  ,10.9, ,32.79,,10.94, ,7.21, ,1.5,,3.4, 
gtmfmnut,1/16/2018 12:56:00 PM,1,1, ,0.017, ,0.035, ,0.01, ,0.002,<-4> [SBL],0.01,,0.012, ,0.022,,0.332,,0.32,,0.35,,0.31,,1.6,,2, ,0.47,,5,,6,<1> (CHB), ,<-1>  ,12.2, ,31.43,,10.59, ,7.48, ,1.6,,4.6, 
gtmfmnut,1/16/2018 12:58:00 PM,1,2, ,0.018, ,0.035, ,0.008, ,0.002,<-4> [SBL],0.009,,0.011, ,0.019,,0.301,,0.29,,0.31,,0.282,,1.3,,1.6, ,0.4,<-4> [SBL],7,,10,<1> (CHB), ,<-1>  ,12.2, ,31.43,,10.59, ,7.48, ,1.6,,4.8, 
gtmpcnut,2/12/2018 9:30:00 AM,2,1, ,0.041, ,0.079, ,0.053, ,0.002,<-4> [SBL],0.032,,0.035, ,0.088,,0.845,,0.81, ,0.95, ,0.757,,1.2,<1> (CHB),2.2,<1> (CHB),1.5,<1> (CHB),12, , ,<-2> [GDM], ,<-1>  ,19.6, ,,<-1>  ,9.3, ,8.31, ,,<-1>  ,28, 
